FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Sam,Clucas,MID,SWA,4900000,7,18,2.6,5.306122448979589e-07,3.6734693877551003e-06,0,3476,0,5,0,0,0,1,0,3.7,228,-1,0,18,1,0.6,0,2.7,0,0,2,0,0,0.1,5458,0,0,0,0,414,1148,0,0,72,Brighton,Burnley,Bournemouth,Chelsea,Stoke,1.9,2.2,2.4,2.4,2.1,2.2,1.3,2.9,2.5,1.5,2.5,1.5,2.0,2.3,2.7,2.1,2.0,1.8,2.6,2.1,1.7,1.3,1.9,3.0,1.4,1.6,2.5,2.0,14.2
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,25484,0,0,0,0,0,0,0,0.0,326,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.3,994,0,0,0,0,0,40,0,0,0,West Ham,Southampton,Chelsea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4300000,0,0,0.0,0.0,0.0,0,49083,0,0,0,0,0,0,0,0.0,6167,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.3,64161,0,0,0,0,0,13089,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,36422,0,0,0,0,0,0,0,0.0,1639,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.6,16423,0,0,0,0,0,416,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,0,0,0.0,0.0,0.0,0,7265,0,0,0,0,0,0,0,0.0,134,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,584,0,0,0,0,0,31,0,0,0,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Collins,DEF,WHU,4300000,0,8,0.266666666666667,6.201550387596901e-08,1.86046511627907e-06,0,14223,0,3,0,0,0,0,0,1.9,503,-2,0,8,2,0.0,0,0.0,0,0,1,0,0,0.2,6513,0,0,0,0,237,45,0,0,44,Liverpool,Watford,Leicester,Everton,Man City,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.7
Francis,Coquelin,MID,ARS,4400000,0,3,0.1,2.2727272727272702e-08,6.81818181818182e-07,0,28057,0,3,0,0,0,0,0,0.7,1049,-1,0,3,1,0.1,0,0.3,0,0,0,0,0,0.6,10659,0,0,0,0,76,629,0,0,11,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Jack,Cork,MID,BUR,4500000,2,23,2.3,5.11111111111111e-07,5.11111111111111e-06,0,146581,4,9,0,0,0,0,0,5.1,9716,0,0,23,0,0.4,0,1.7,0,0,4,0,1,3.3,259600,0,0,0,0,900,1964,0,0,143,Southampton,Swansea,Arsenal,Bournemouth,Leicester,1.8,2.1,2.5,1.9,1.5,1.2,1.9,1.3,1.4,1.2,1.5,2.2,1.6,1.7,1.4,1.2,2.2,1.6,2.8,1.5,1.5,1.4,1.8,2.2,1.5,1.8,1.2,2.3,38.1
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,64024,0,0,0,0,0,0,0,0.0,326,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2288,0,0,0,0,0,11,0,0,0,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5400000,6,40,4.0,7.407407407407409e-07,7.40740740740741e-06,0,353639,0,10,0,25,0,0,0,7.4,23850,-1,0,40,1,0.6,0,3.3,2,0,4,0,0,12.6,137833,0,0,0,0,900,6700,0,0,186,Man Utd,West Brom,Liverpool,Swansea,Newcastle,3.8,4.9,3.8,3.1,4.6,4.6,4.8,3.7,3.8,4.8,4.1,3.4,3.6,4.9,4.2,6.0,4.9,3.3,3.8,5.4,4.9,3.7,4.9,5.2,4.8,4.5,4.8,4.1,17.7
Philippe,Coutinho,MID,LIV,8900000,0,30,1.0,1.12359550561798e-07,3.37078651685393e-06,0,653766,0,8,0,0,0,2,0,3.4,166458,-1,1,30,1,0.2,0,1.7,6,0,1,0,1,5.2,588765,0,0,0,1,414,2504,-1,0,122,West Ham,Southampton,Chelsea,Stoke,Brighton,0.0,0.5,0.5,0.5,0.5,0.9,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,58.6
Martin,Cranie,DEF,HUD,4000000,0,0,0.0,0.0,0.0,0,7069,0,0,0,0,0,0,0,0.0,427,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,6194,0,0,0,0,0,520,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Cresswell,DEF,WHU,5000000,4,30,3.3,6.6e-07,6e-06,0,44804,0,12,0,0,0,0,0,6.0,8581,0,0,30,0,0.4,0,2.0,3,0,3,0,1,1.0,62233,0,0,0,0,684,961,0,0,138,Liverpool,Watford,Leicester,Everton,Man City,0.0,4.0,3.5,2.0,2.0,3.3,4.5,2.6,4.3,2.7,2.9,4.5,2.8,4.0,4.9,2.9,3.7,2.0,2.5,4.0,3.6,3.6,3.0,3.9,1.8,2.9,1.8,3.5,35.5
Peter,Crouch,FWD,STK,4900000,0,16,0.5333333333333329,1.0884353741496599e-07,3.26530612244898e-06,0,118411,1,3,0,0,0,2,0,3.3,8226,-1,0,16,1,0.1,0,0.3,3,0,0,0,0,1.4,65576,0,0,0,0,132,383,0,0,63,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.0
Charlie,Daniels,DEF,BOU,4800000,2,31,3.1,6.45833333333333e-07,6.45833333333333e-06,0,510846,0,14,0,0,0,1,0,6.3,18521,-2,1,31,2,0.4,0,2.0,2,0,1,0,1,9.1,104800,0,0,0,0,900,9408,-1,0,172,Newcastle,Huddersfield,Swansea,Burnley,Southampton,2.4,3.9,2.6,3.5,3.0,3.7,1.8,3.8,2.1,3.9,3.0,2.9,4.0,2.7,3.1,3.3,2.9,3.7,2.0,3.0,4.0,4.0,4.6,2.1,3.1,3.2,2.5,2.9,38.4
