FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Tom,Ince,MID,HUD,5800000,2,20,2.5,4.3103448275862105e-07,3.4482758620689696e-06,0,66529,0,9,0,0,0,0,0,3.4,3785,-2,0,20,2,0.4,0,2.3,0,0,4,0,0,0.7,23441,0,0,0,0,720,346,0,0,69,Man Utd,Liverpool,West Brom,Bournemouth,Man City,1.7,1.2,2.2,2.0,1.2,1.3,2.3,2.5,1.9,2.0,2.3,2.5,2.0,1.8,3.2,1.5,2.3,1.2,3.1,1.5,1.9,2.4,2.8,1.8,1.3,1.4,2.1,3.1,1.2,3.6,40.7
Danny,Ings,FWD,LIV,5400000,0,0,0.0,0.0,0.0,0,3497,0,0,0,0,0,0,0,0.0,161,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,1568,0,0,0,0,0,121,0,0,0,Tottenham,Huddersfield,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,Iwobi,MID,ARS,5100000,2,15,0.625,1.2254901960784303e-07,2.94117647058824e-06,0,131624,0,2,0,0,0,1,0,2.9,5253,-4,0,15,4,0.7,0,3.7,1,0,2,0,0,1.0,39029,0,0,0,0,250,6307,0,0,67,Everton,Swansea,Man City,Tottenham,Burnley,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,26.8
,Izquierdo,MID,BHA,5900000,1,5,0.208333333333333,3.53107344632768e-08,8.474576271186441e-07,0,1550,0,3,0,0,0,0,0,0.8,90,-1,0,5,1,0.2,0,1.0,0,0,0,0,0,0.0,2055,0,0,0,0,115,82,0,0,13,West Ham,Southampton,Swansea,Stoke,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.3
Phil,Jagielka,DEF,EVE,4900000,2,12,2.4,4.89795918367347e-07,2.44897959183673e-06,0,257340,0,8,0,0,0,0,0,2.4,6865,-1,0,12,1,0.1,0,0.7,1,0,1,0,0,3.6,80276,0,0,0,0,442,610,0,0,94,Arsenal,Leicester,Watford,Crystal Palace,Southampton,3.1,1.2,2.0,2.8,2.2,3.2,2.7,1.4,1.5,1.7,2.0,2.0,1.6,2.0,2.3,2.8,2.0,1.2,3.5,2.6,2.0,3.3,1.5,1.4,2.6,1.7,2.3,2.0,1.9,1.5,12.1
Eldin,Jakupovic,GLK,LEI,4400000,0,0,0.0,0.0,0.0,0,6268,0,0,0,0,0,0,0,0.0,257,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,518,0,0,0,0,0,23,0,0,0,Swansea,Everton,Stoke,Man City,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty,James,MID,LEI,4500000,0,8,2.0,4.44444444444444e-07,1.77777777777778e-06,0,20193,1,6,0,0,0,0,0,1.8,928,0,0,8,0,0.0,0,0.0,0,0,1,0,0,0.3,16288,0,0,0,0,338,28,0,0,35,Swansea,Everton,Stoke,Man City,West Ham,0.0,0.0,1.0,1.0,1.0,1.0,1.4,1.2,1.5,2.1,1.3,1.3,1.0,1.7,1.4,1.0,1.6,1.8,1.0,1.8,2.3,1.0,2.7,1.0,1.8,1.3,1.3,1.4,2.4,1.2,7.3
Daryl,Janmaat,DEF,WAT,4900000,0,7,0.29166666666666696,5.95238095238095e-08,1.4285714285714301e-06,0,11587,0,6,0,0,0,1,0,1.4,484,-1,0,7,1,0.0,0,0.0,0,0,0,0,0,0.2,3927,0,0,0,0,135,118,0,0,34,Chelsea,Stoke,Everton,West Ham,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,9.4
Vincent,Janssen,FWD,TOT,7400000,0,1,1.0,1.35135135135135e-07,1.35135135135135e-07,0,8239,0,0,0,0,0,0,0,0.1,116,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.1,894,0,0,0,0,1,1,0,0,2,Liverpool,Man Utd,Crystal Palace,Arsenal,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,11719,0,0,0,0,0,0,0,0.0,197,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,676,0,0,0,0,0,5,0,0,0,Everton,Swansea,Man City,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
