FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Patrick,Bamford,FWD,MID,4900000,0,9,0.111111111111111,2.2675736961451203e-08,1.8367346938775502e-06,0,5355,0,2,0,0,0,0,0,1.8,226,-1,0,9,1,0.0,0,0.0,0,0,0,0,0,0.1,6730,0,0,0,0,84,37,0,0,26,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3641,0,0,0,0,0,0,0,0.0,13,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2591,0,0,0,0,0,2,0,0,0,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,5,29,0.358024691358025,8.32615561297732e-08,6.74418604651163e-06,0,10665,4,15,0,0,0,0,0,6.7,306,-2,0,29,2,0.3,0,1.5,0,0,3,0,0,0.1,8715,0,107,0,0,1078,109,0,0,177,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ross,Barkley,MID,EVE,7100000,5,101,4.0,5.63380281690141e-07,1.4225352112676098e-05,0,704380,3,25,0,0,0,4,0,14.2,4894,-4,0,101,4,0.5,0,3.7,9,0,7,0,7,8.2,650441,0,654,0,1,2003,44445,0,0,380,West Brom,Hull City,Liverpool,Man Utd,Leicester,4.4,5.6,2.0,3.4,5.6,5.7,2.5,3.8,3.4,5.4,2.4
Ashley,Barnes,FWD,BUR,4500000,0,49,0.604938271604938,1.3443072702332002e-07,1.0888888888888901e-05,0,140105,3,15,0,0,0,4,0,10.9,8087,0,0,49,0,0.1,0,0.3,5,0,3,0,2,2.9,241232,0,0,0,1,1057,5834,0,1,147,Liverpool,Sunderland,Tottenham,Stoke,Middlesbrough,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4400000,0,57,2.9,6.59090909090909e-07,1.29545454545455e-05,0,96584,5,21,0,0,0,0,0,13.0,1336,-1,0,57,1,0.0,0,0.0,8,0,5,0,0,0.7,102994,0,0,0,0,1721,359,0,0,355,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,2.4,2.4,2.6,3.4,3.7,2.8,2.9,2.3,3.6,3.0
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,120451,1,23,0,0,0,0,0,6.8,685,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.7,111704,0,120,0,0,1145,24,0,0,136,Hull City,Bournemouth,Middlesbrough,Tottenham,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4400000,2,56,2.4,5.454545454545451e-07,1.27272727272727e-05,0,363417,6,25,0,0,0,2,0,12.7,3258,-1,0,56,1,0.2,0,1.0,3,0,5,0,1,3.6,377711,0,418,0,0,1653,1846,0,0,292,West Brom,Hull City,Liverpool,Man Utd,Leicester,2.0,2.8,1.2,1.5,2.8,2.9,1.2,1.7,1.5,2.7,1.2
Joey,Barton,MID,BUR,4500000,2,23,0.283950617283951,6.310013717421121e-08,5.11111111111111e-06,0,7601,1,7,0,0,0,1,0,5.1,1148,0,0,23,0,0.6,0,2.7,0,0,1,0,2,0.3,20622,0,0,0,0,475,454,0,0,112,Liverpool,Sunderland,Tottenham,Stoke,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Borja,Baston,FWD,SWA,6700000,0,28,0.34567901234567894,5.1593882439653603e-08,4.17910447761194e-06,0,9907,0,11,0,0,0,1,0,4.2,42,-3,0,28,3,0.0,0,0.0,1,0,1,0,2,0.0,6703,0,0,0,0,510,157,0,0,70,Hull City,Bournemouth,Middlesbrough,Tottenham,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
