FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Carl,Jenkinson,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,10416,0,0,0,0,0,0,0,0.0,848,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,659,0,0,0,0,0,7,0,0,0,West Brom,Brighton,Watford,Everton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Jese,MID,STK,6000000,2,16,1.06666666666667,1.77777777777778e-07,2.66666666666667e-06,0,235280,0,4,0,0,0,1,0,2.7,84906,0,0,16,0,0.3,0,2.0,2,0,1,0,0,8.3,544957,0,0,0,1,266,15751,0,0,47,Chelsea,Southampton,Man City,Bournemouth,Watford,0.6,0.5,0.5,1.0,0.5,0.9,0.5,0.5,0.9,0.6,0.5,0.5,1.5,0.6,0.5,0.5,0.7,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.5,1.2,0.5,0.5,0.5,0.6,0.5,0.9,0.9,20.6
,Jesus,FWD,MCI,10500000,6,29,5.8,5.52380952380952e-07,2.76190476190476e-06,0,349219,1,2,0,0,0,4,0,2.8,61730,0,-1,29,0,0.9,0,9.0,6,0,2,0,0,13.3,411855,0,0,0,1,323,180163,1,0,104,Crystal Palace,Chelsea,Stoke,Burnley,West Brom,7.3,6.5,8.7,7.1,6.7,8.7,7.3,6.4,5.0,8.7,5.6,8.7,4.3,8.4,6.6,8.1,4.6,6.1,6.1,6.2,8.0,8.4,5.7,5.5,7.0,7.6,7.3,6.3,8.5,4.1,6.0,6.5,8.0,43.8
,Joel Pereira,GLK,MUN,3900000,0,0,0.0,0.0,0.0,0,18771,0,0,0,0,0,0,0,0.0,5187,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.2,25515,0,0,0,0,0,16127,0,0,0,Southampton,Crystal Palace,Liverpool,Huddersfield,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen,Johnson,DEF,STK,4300000,0,0,0.0,0.0,0.0,0,18680,0,0,0,0,0,0,0,0.0,2341,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.4,1845,0,0,0,0,0,484,0,0,0,Chelsea,Southampton,Man City,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Jones,DEF,MUN,5100000,6,26,5.2,1.0196078431372601e-06,5.09803921568627e-06,0,86470,0,2,0,0,0,0,0,5.1,20272,1,0,26,-1,0.9,0,4.7,1,0,4,0,0,8.5,433555,0,0,0,0,450,98327,0,0,132,Southampton,Crystal Palace,Liverpool,Huddersfield,Tottenham,7.3,7.4,3.8,5.2,6.4,5.8,7.0,7.6,7.8,3.2,4.7,7.8,6.1,3.6,6.4,6.6,4.4,7.8,5.3,7.8,7.2,5.5,6.9,6.2,7.8,4.3,5.5,4.1,7.5,5.0,7.8,6.0,6.2,11.2
,Joselu,FWD,NEW,5500000,2,11,2.8,5.09090909090909e-07,2e-06,0,21934,1,1,0,0,0,1,0,2.0,6586,0,0,11,0,0.7,0,3.7,1,0,2,0,0,0.8,48620,0,0,0,0,264,15781,0,0,29,Brighton,Liverpool,Southampton,Crystal Palace,Burnley,2.8,3.7,2.6,3.3,2.7,4.0,1.5,1.6,2.0,1.9,3.5,3.6,1.6,1.7,1.8,3.3,2.2,1.4,2.0,2.7,3.2,2.3,2.9,1.7,1.7,2.9,2.4,2.3,3.6,2.5,2.3,3.6,1.9,36.2
Christian,Kabasele,DEF,WAT,4500000,-1,12,3.0,6.66666666666667e-07,2.66666666666667e-06,0,2046,0,6,0,0,0,0,0,2.7,660,0,0,12,0,0.8,0,3.7,0,0,2,0,0,0.1,4250,0,0,0,0,278,791,0,0,59,Swansea,West Brom,Arsenal,Chelsea,Stoke,4.5,4.2,2.0,3.7,2.4,2.9,3.5,3.5,1.5,1.5,3.4,4.5,1.6,4.1,1.5,1.5,2.7,1.5,2.4,3.3,1.5,2.9,1.6,2.1,2.2,2.5,2.0,1.5,3.3,2.4,4.5,1.5,2.4,8.5
Younes,Kaboul,DEF,WAT,4400000,0,7,0.46666666666666706,1.0606060606060599e-07,1.59090909090909e-06,0,15182,0,3,0,0,0,0,0,1.6,1703,-1,0,7,1,0.5,0,2.0,0,0,1,0,0,0.3,2874,0,0,0,0,151,217,0,0,35,Swansea,West Brom,Arsenal,Chelsea,Stoke,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,5.0
Elias,Kachunga,MID,HUD,6000000,2,16,3.2,5.33333333333333e-07,2.66666666666667e-06,0,11903,0,2,0,0,0,0,0,2.7,3063,0,0,16,0,0.4,0,2.3,0,0,3,0,1,0.3,11511,0,0,0,0,395,694,0,0,51,Burnley,Tottenham,Swansea,Man Utd,Liverpool,2.7,2.0,4.8,2.5,1.7,2.9,2.8,2.4,2.2,3.3,3.1,3.2,3.9,3.2,3.9,3.1,2.4,4.8,1.8,4.2,1.6,4.4,2.3,3.5,3.1,4.0,2.7,2.3,2.0,2.8,4.8,2.3,4.8,16.3
