FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Hugo,Lloris,GLK,TOT,5500000,2,41,3.7,6.727272727272729e-07,7.45454545454545e-06,0,203507,0,9,0,23,0,0,0,7.5,4311,0,0,41,0,0.3,0,1.7,1,0,4,0,0,6.9,149799,0,419,0,0,934,10257,0,0,195,Swansea,Man Utd,Hull City,Burnley,Southampton,4.1,2.7,4.6,5.0,3.7,3.7,4.1,4.6,3.0,2.8,4.0,4.1,5.0,4.9,4.2,4.9,3.0,3.7,4.5,5.5,2.3,5.1,4.3,3.6,3.9
Ruben,Loftus-Cheek,MID,CHE,5100000,0,1,0.0256410256410256,5.0276520864756205e-09,1.9607843137254898e-07,0,3690,0,0,0,0,0,0,0,0.2,32,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.1,341,0,68,0,0,9,7,0,0,3,Man City,West Brom,Sunderland,Crystal Palace,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris,Long,FWD,BUR,4500000,0,0,0.0,0.0,0.0,0,30676,0,0,0,0,0,0,0,0.0,299,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,4144,0,0,0,0,0,49,0,0,0,Stoke,Bournemouth,West Ham,Tottenham,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin,Long,DEF,BUR,4000000,0,0,0.0,0.0,0.0,0,1756,0,0,0,0,0,0,0,0.0,388,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,5159,0,0,0,0,0,428,0,0,0,Stoke,Bournemouth,West Ham,Tottenham,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane,Long,FWD,SOU,6100000,1,10,1.1,1.8032786885245898e-07,1.63934426229508e-06,0,437460,1,5,0,0,0,0,0,1.6,1757,-4,0,10,4,0.1,0,0.7,0,0,0,0,0,3.1,51565,0,435,0,0,351,576,0,0,24,Crystal Palace,Middlesbrough,Stoke,Bournemouth,Tottenham,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.9,0.7,0.8,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.7,0.6,0.9,0.6,0.6,0.6
Donald,Love,DEF,SUN,4000000,0,4,0.102564102564103,2.56410256410256e-08,1e-06,0,86016,1,5,0,0,0,0,0,1.0,4098,0,0,4,0,0.2,0,0.7,0,0,0,0,0,4.3,214109,0,3,0,0,198,3523,0,0,37,Leicester,Swansea,Chelsea,Watford,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dejan,Lovren,DEF,LIV,5100000,5,40,4.0,7.843137254901959e-07,7.84313725490196e-06,0,110145,3,11,0,0,0,2,0,8.0,2895,1,-1,40,-1,0.7,0,3.7,2,0,3,0,0,7.0,261863,0,248,0,0,900,37791,1,0,200,Bournemouth,West Ham,Middlesbrough,Everton,Stoke,3.9,6.0,4.0,3.1,5.5,4.3,3.0,2.9,4.7,4.7,4.2,5.4,2.4,5.6,5.7,3.3,5.6,6.0,5.0,4.2,5.2,3.9,5.6,4.5,4.5
Matthew,Lowton,DEF,BUR,4500000,0,29,2.2,4.88888888888889e-07,6.444444444444439e-06,0,16097,4,21,0,0,0,0,0,6.4,1153,0,0,29,0,0.1,0,0.3,2,0,3,0,0,0.8,31573,0,0,0,0,1170,708,0,0,214,Stoke,Bournemouth,West Ham,Tottenham,Middlesbrough,2.0,2.9,2.1,1.2,1.9,2.1,1.1,2.5,2.4,2.1,1.4,2.0,1.5,1.4,2.0,1.1,2.4,2.6,1.4,1.1,1.7,1.7,2.3,1.4,3.2
Leiva,Lucas,MID,LIV,4400000,1,6,0.153846153846154,3.4965034965035e-08,1.36363636363636e-06,0,7429,1,2,0,0,0,0,0,1.4,218,-1,0,6,1,0.2,0,1.0,0,0,0,0,0,0.2,8036,0,253,0,0,196,168,0,0,32,Bournemouth,West Ham,Middlesbrough,Everton,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Greg,Luer,FWD,HUL,4400000,0,0,0.0,0.0,0.0,0,3622,0,0,0,0,0,0,0,0.0,215,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4396,0,0,0,0,0,130,0,0,0,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romelu,Lukaku,FWD,EVE,9500000,1,72,6.0,6.31578947368421e-07,7.578947368421049e-06,0,770938,1,13,0,0,0,7,0,7.3,221392,5,3,72,-5,0.2,0,1.7,13,0,3,0,3,28.0,1524138,0,754,0,2,1016,8992,-3,0,253,Man Utd,Watford,Arsenal,Liverpool,Leicester,8.4,6.4,8.0,9.0,5.9,6.8,8.8,8.8,7.0,7.0,9.0,7.0,9.0,5.8,8.6,8.7,6.1,6.1,9.0,9.0,6.4,8.1,7.0,8.6,6.5
Shaun,MacDonald,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,3615,0,0,0,0,0,0,0,0.0,30,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,165,0,3,0,0,0,7,0,0,0,Liverpool,Burnley,Leicester,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo,Maffeo,DEF,MCI,4500000,0,0,0.0,0.0,0.0,0,493,0,0,0,0,0,0,0,0.0,45,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,569,0,0,0,0,0,18,0,0,0,Chelsea,Leicester,Watford,Arsenal,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry,Maguire,DEF,HUL,4400000,0,8,1.1,2.5e-07,1.81818181818182e-06,0,1179,0,14,0,0,0,0,0,1.8,85,-1,0,8,1,0.2,0,0.7,0,0,0,0,1,0.0,1480,0,0,0,0,378,17,0,0,84,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.6,0.6,0.6,0.9,0.6,0.7,0.6,0.9,0.6,0.6,1.1,1.1,0.8,0.6,0.6,0.6,1.1,0.6,0.6,0.9,0.6,0.6,0.6,0.7,0.7
Riyad,Mahrez,MID,LEI,9000000,9,48,3.7,4.11111111111111e-07,5.333333333333329e-06,0,761355,2,19,0,0,0,3,0,5.3,4386,-5,0,48,5,0.8,1,7.3,4,0,3,0,2,10.5,109104,0,994,0,0,1011,18594,0,0,161,Sunderland,Man City,Bournemouth,Stoke,Everton,3.4,3.3,2.2,2.9,4.7,4.0,3.4,3.4,2.3,2.4,4.4,2.9,3.2,4.0,2.0,2.2,3.8,5.4,2.2,2.7,3.9,2.6,4.3,2.1,4.7
