FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Sofiane,Feghouli,MID,WHU,5500000,0,0,0.0,0.0,0.0,0,1375,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,74,0,0,0,0,0,3,0,0,0,Watford,Leicester,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane,Fellaini,MID,MUN,4900000,0,30,2.7272727272727297,5.56586270871985e-07,6.1224489795918405e-06,0,152789,1,0,0,0,0,3,0,6.1,5151,-1,0,30,1,0.0,0,0.0,3,0,3,0,0,1.4,183206,0,0,0,1,343,9657,0,0,103,Newcastle,Brighton,Watford,Arsenal,Man City,3.3,2.6,1.7,1.4,1.8,3.1,1.4,1.4,2.7,2.5,2.0,2.8,1.5,1.4,3.3,1.4,2.5,1.6,2.9,1.5,3.0,1.4,3.2,1.9,3.6,1.4,2.1,39.4
Leroy,Fer,MID,SWA,5400000,2,20,2.0,3.7037037037037e-07,3.7037037037037004e-06,0,33096,4,11,0,0,0,0,0,3.7,887,-1,0,20,1,0.2,0,1.3,0,0,3,0,1,0.3,15938,0,0,0,0,779,123,0,0,98,Burnley,Bournemouth,Chelsea,Stoke,West Brom,1.5,1.4,1.6,1.4,1.5,1.0,1.9,1.6,1.0,1.7,1.0,1.4,1.3,1.8,1.4,1.2,1.3,1.5,1.3,1.0,1.0,1.3,2.0,1.0,1.0,1.8,1.2,26.4
Edimilson,Fernandes,MID,WHU,4400000,1,7,0.6363636363636359,1.44628099173554e-07,1.59090909090909e-06,0,12021,1,11,0,0,0,0,0,1.6,587,-1,0,7,1,0.3,0,1.3,0,0,0,0,0,0.2,5662,0,0,0,0,322,784,0,0,33,Watford,Leicester,Everton,Man City,Chelsea,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,9.2
Federico,Fernandez,DEF,SWA,4500000,1,36,3.3,7.33333333333333e-07,8e-06,0,98751,1,13,0,0,0,0,0,8.0,9902,0,0,36,0,0.1,0,0.3,6,0,4,0,0,3.2,169507,1,0,0,0,990,2028,0,0,204,Burnley,Bournemouth,Chelsea,Stoke,West Brom,3.7,3.0,3.7,3.4,4.0,2.1,2.6,4.5,3.0,4.6,2.9,3.2,3.6,3.9,2.7,3.0,3.7,3.6,3.6,2.8,2.3,3.7,2.7,2.8,2.6,3.8,3.1,32.5
,Fernandinho,MID,MCI,5200000,5,47,4.3,8.269230769230771e-07,9.03846153846154e-06,0,184000,3,7,0,0,0,2,0,9.0,15731,2,-1,47,-2,1.3,0,6.7,3,0,6,0,3,7.5,447816,0,0,0,1,959,94556,1,0,224,Leicester,Huddersfield,Southampton,West Ham,Man Utd,4.2,4.1,4.0,5.3,2.9,5.8,3.8,5.0,4.4,4.6,3.4,3.2,5.3,5.2,4.5,5.0,3.4,4.0,4.2,4.2,5.4,4.8,4.0,5.0,4.5,5.4,5.0,60.6
,Fernando,MID,MCI,4500000,0,0,0.0,0.0,0.0,0,4057,0,0,0,0,0,0,0,0.0,61,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,410,0,0,0,0,0,26,0,0,0,Leicester,Huddersfield,Southampton,West Ham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Field,MID,WBA,4500000,0,6,0.545454545454545,1.2121212121212098e-07,1.33333333333333e-06,0,13185,0,0,0,0,0,0,0,1.3,436,0,0,6,0,0.0,0,0.0,0,0,2,0,0,0.2,15348,0,0,0,0,154,31,0,0,12,Chelsea,Tottenham,Newcastle,Crystal Palace,Swansea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.6
Roberto,Firmino,FWD,LIV,8500000,2,47,4.3,5.05882352941176e-07,5.52941176470588e-06,0,1436540,0,12,0,0,0,3,0,5.5,73342,0,0,47,0,0.5,0,4.0,8,0,4,0,2,18.7,1216410,0,0,0,1,784,55639,0,0,190,Southampton,Chelsea,Stoke,Brighton,Everton,4.8,4.2,4.6,3.7,6.4,6.3,4.2,2.4,4.8,5.9,3.3,4.9,4.0,3.0,4.4,4.1,6.0,5.9,2.3,5.1,4.4,4.4,5.6,3.6,6.4,3.2,5.6,88.2
Jon,Flanagan,DEF,LIV,4500000,0,0,0.0,0.0,0.0,0,625,0,0,0,0,0,0,0,0.0,47,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,567,0,0,0,0,0,37,0,0,0,Southampton,Chelsea,Stoke,Brighton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley,Fletcher,FWD,WHU,4500000,0,0,0.0,0.0,0.0,0,29137,0,0,0,0,0,0,0,0.0,572,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,4476,0,0,0,0,0,146,0,0,0,Watford,Leicester,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren,Fletcher,MID,STK,4900000,2,32,2.9,5.91836734693878e-07,6.53061224489796e-06,0,33055,0,22,0,0,0,1,0,6.5,2977,-1,0,32,1,1.0,0,5.0,3,0,2,0,0,0.8,21636,0,0,0,1,990,3646,0,0,147,Brighton,Crystal Palace,Liverpool,Swansea,Tottenham,2.0,2.4,2.8,2.9,2.0,2.3,3.1,3.1,2.0,2.4,3.2,1.4,3.2,1.9,2.8,2.4,2.1,2.7,1.6,3.8,1.6,2.2,2.3,2.6,1.5,3.3,3.2,34.4
