FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Alexis,Sanchez,MID,ARS,11900000,0,0,0.0,0.0,0.0,0,51107,0,0,0,0,0,0,0,0.0,18509,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,2.3,20737,0,0,0,0,0,18411,-1,0,0,Liverpool,Bournemouth,Chelsea,West Brom,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davinson,Sanchez,DEF,TOT,6000000,0,0,0.0,0.0,0.0,0,206,0,0,0,0,0,0,0,0.0,206,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,731,0,0,0,0,0,731,0,0,0,Burnley,Everton,Swansea,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Sandro,FWD,EVE,7400000,0,2,0.33333333333333304,4.5045045045045e-08,2.7027027027027e-07,0,44776,0,0,0,0,0,0,0,0.3,20581,-1,1,2,1,0.1,0,1.0,0,0,1,0,0,0.8,1120,0,0,0,0,76,189,-1,0,2,Chelsea,Tottenham,Man Utd,Bournemouth,Burnley,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2.1
Leroy,Sane,MID,MCI,8300000,2,3,1.5,1.80722891566265e-07,3.6144578313253e-07,0,106003,0,1,0,0,0,0,0,0.4,47410,-2,1,3,2,0.2,0,1.5,0,0,0,0,0,2.8,7225,0,0,0,0,90,3042,-1,0,9,Bournemouth,Liverpool,Watford,Crystal Palace,Chelsea,1.6,0.8,1.3,0.8,1.7,2.2,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.8,2.0,0.8,0.9,1.8,1.6,0.8,0.8,1.0,0.8,1.9,0.8,0.8,0.8,0.8,0.8,1.3,0.8,1.6,0.8,1.4,0.8,1.0,2.7
Sean,Scannell,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,1277,0,0,0,0,0,0,0,0.0,814,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,89,0,0,0,0,0,15,0,0,0,Southampton,West Ham,Leicester,Burnley,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher,Schindler,DEF,HUD,4500000,9,15,7.5,1.66666666666667e-06,3.3333333333333304e-06,0,11967,0,0,0,0,0,0,0,3.3,10437,0,0,15,0,1.7,0,7.5,3,0,2,0,0,2.5,84912,0,0,0,1,180,79947,0,0,60,Southampton,West Ham,Leicester,Burnley,Tottenham,9.7,8.7,10.5,11.2,8.2,11.2,8.0,7.9,10.0,10.0,8.6,7.0,6.1,10.0,9.2,11.2,9.0,11.2,8.3,5.8,9.4,7.5,11.2,8.0,10.0,10.0,11.2,8.6,10.0,10.0,10.0,8.6,11.0,10.1,11.2,11.2,7.6
Jeffrey,Schlupp,DEF,CRY,4900000,1,1,0.166666666666667,3.40136054421769e-08,2.04081632653061e-07,0,5115,0,0,0,0,0,0,0,0.2,1965,-1,1,1,1,0.1,0,0.5,0,0,0,0,0,0.3,383,0,0,0,0,6,242,-1,0,4,Swansea,Burnley,Southampton,Man City,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Kasper,Schmeichel,GLK,LEI,5000000,6,8,4.0,8e-07,1.6e-06,0,15425,0,4,0,8,0,0,0,1.6,9639,0,0,8,0,0.8,0,4.0,0,0,1,0,0,3.5,16856,0,0,0,0,180,4947,0,0,45,Man Utd,Chelsea,Huddersfield,Liverpool,Bournemouth,2.0,5.0,2.2,5.9,3.3,6.0,4.6,5.1,2.0,4.5,2.0,5.2,4.1,3.7,2.1,6.0,3.9,4.3,2.0,4.7,3.5,4.7,2.0,5.0,4.1,6.0,5.7,3.7,5.8,3.7,6.0,4.3,4.9,3.7,4.7,5.8,5.0
Morgan,Schneiderlin,MID,EVE,5000000,-1,2,1.0,2e-07,4e-07,0,20155,0,1,0,0,0,0,0,0.4,16216,0,0,2,0,0.2,0,1.0,0,0,1,0,0,1.0,7337,0,0,0,0,177,1404,0,1,16,Chelsea,Tottenham,Man Utd,Bournemouth,Burnley,0.0,0.5,0.5,0.9,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.9,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.9,0.5,0.9,0.5,0.5,0.7,0.5,0.5,0.8,0.6,1.0,0.5,0.6,0.5,2.7
Kyle,Scott,MID,CHE,4500000,0,0,0.0,0.0,0.0,0,450,0,0,0,0,0,0,0,0.0,283,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,630,0,0,0,0,0,306,0,0,0,Everton,Leicester,Arsenal,Stoke,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
