FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Emerson,Hyndman,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,14,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,23,0,0,0,0,0,13,0,0,0,Everton,Brighton,Arsenal,West Ham,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordon,Ibe,MID,BOU,4800000,2,36,2.0,4.1666666666666704e-07,7.499999999999999e-06,0,40413,1,18,0,0,0,0,0,7.5,819,-2,0,36,2,0.3,0,1.3,0,0,2,0,3,0.3,31208,0,0,0,0,1026,514,0,0,142,Everton,Brighton,Arsenal,West Ham,Chelsea,2.0,1.0,1.6,1.1,1.0,1.4,1.2,1.6,1.2,1.3,1.7,1.2,1.5,1.0,1.3,1.2,1.9,1.2,78.9
Vicente,Iborra,MID,LEI,5800000,0,32,2.7,4.6551724137931004e-07,5.51724137931035e-06,0,9747,0,13,0,0,0,1,0,5.5,311,-2,0,32,2,0.3,0,1.5,2,0,2,0,0,0.1,3826,0,0,0,0,964,98,0,0,185,Liverpool,Huddersfield,Chelsea,Watford,Everton,1.4,2.9,1.8,2.0,2.3,2.9,1.4,2.3,2.7,2.1,2.5,1.7,2.6,2.0,2.3,1.8,2.6,1.5,36.5
Zlatan,Ibrahimovic,FWD,MUN,9600000,1,5,0.25,2.60416666666667e-08,5.20833333333333e-07,0,34007,0,2,0,0,0,0,0,0.5,1691,-4,1,5,4,0.0,0,0.3,0,0,0,0,0,0.2,37027,0,0,0,0,102,1305,-1,0,18,Southampton,Everton,Stoke,Burnley,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.6
Kelechi,Iheanacho,FWD,LEI,6500000,0,10,0.5,7.692307692307691e-08,1.53846153846154e-06,0,135165,1,5,0,0,0,0,0,1.5,655,-5,0,10,5,0.0,0,0.0,0,0,0,0,0,0.6,13047,0,0,0,0,254,202,0,0,25,Liverpool,Huddersfield,Chelsea,Watford,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Giannelli,Imbula,MID,STK,4500000,0,0,0.0,0.0,0.0,0,8170,0,0,0,0,0,0,0,0.0,59,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,961,0,0,0,0,0,2,0,0,0,Chelsea,Newcastle,Man Utd,Huddersfield,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Ince,MID,HUD,5500000,10,55,2.9,5.27272727272727e-07,1e-05,0,85218,0,26,0,0,0,1,0,10.0,916,-5,0,55,5,0.6,0,3.5,3,0,6,0,1,0.5,30645,0,0,0,0,1678,2704,0,0,175,Burnley,Leicester,West Ham,Stoke,Liverpool,2.9,1.8,3.2,1.8,2.4,1.4,3.3,1.9,1.4,3.5,2.9,2.1,1.6,2.5,1.6,3.7,1.4,3.1,95.7
Danny,Ings,FWD,LIV,5400000,0,2,0.1,1.85185185185185e-08,3.7037037037037e-07,0,5256,0,0,0,0,0,0,0,0.4,169,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0.1,2994,0,0,0,0,11,139,0,0,5,Leicester,Burnley,Man City,Swansea,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Alex,Iwobi,MID,ARS,5100000,0,33,1.65,3.23529411764706e-07,6.47058823529412e-06,0,169399,1,9,0,0,0,1,0,6.5,1946,-4,0,33,4,0.4,0,2.0,1,0,5,0,1,0.5,50703,0,0,0,0,691,880,0,0,166,West Brom,Chelsea,Bournemouth,Crystal Palace,Swansea,0.8,1.1,0.8,1.2,0.9,1.7,0.8,0.8,0.8,1.0,0.8,1.2,1.2,0.8,1.4,0.8,1.2,0.8,72.9
,Izquierdo,MID,BHA,5900000,2,37,1.85,3.1355932203389803e-07,6.27118644067797e-06,0,4769,1,11,0,0,0,2,0,6.3,161,-1,0,37,1,0.2,0,1.3,1,0,3,0,0,0.0,5721,0,0,0,0,699,74,0,0,108,Newcastle,Bournemouth,West Brom,Chelsea,Southampton,1.0,1.7,0.9,1.3,0.9,1.6,0.9,1.8,1.6,1.1,0.9,1.4,1.8,0.9,1.2,0.9,1.2,0.9,37.7
