FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marcos,Alonso,DEF,CHE,7200000,0,143,5.1,7.08333333333333e-07,1.98611111111111e-05,0,1522717,5,23,0,0,0,6,0,19.9,24880,2,0,143,-2,0.3,0,2.0,13,0,12,0,1,19.5,1623505,0,0,0,4,2413,35043,0,0,559,Tottenham,West Ham,Southampton,Burnley,Swansea,6.8,7.5,12.1,0.0,5.4,7.0,5.1,175.8
Daniel,Amartey,MID,LEI,4300000,0,13,0.4333333333333329,1.0077519379845001e-07,3.02325581395349e-06,0,27107,0,7,0,0,0,0,0,3.0,720,-2,0,13,2,0.1,0,0.5,0,0,3,0,0,0.2,23719,0,0,0,0,486,15,0,1,53,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,0.2,0.4,0.0,0.2,0.2,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0333333333333333,7.407407407407409e-09,2.22222222222222e-07,0,695,0,1,0,0,0,0,0,0.2,20,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,786,0,0,0,0,10,13,0,0,6,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7649,0,3,0,0,0,0,0,1.2,2,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3628,0,0,0,0,198,1,0,0,11,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,51758,0,0,0,0,0,0,0,0.0,258,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,59724,0,0,0,0,0,50,0,0,0,Liverpool,Bournemouth,Brighton,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Andre Ayew,MID,SWA,6800000,0,59,1.96666666666667,2.8921568627451e-07,8.67647058823529e-06,0,103390,4,28,0,0,0,3,0,8.7,1069,-2,0,59,2,0.8,1,5.5,2,0,3,0,4,1.0,54794,0,0,0,0,1120,384,0,0,189,Man Utd,West Brom,Everton,Man City,Chelsea,1.0,1.2,2.0,1.0,1.3,1.2,1.5,61.7
Michail,Antonio,MID,WHU,7400000,0,61,2.03333333333333,2.7477477477477497e-07,8.243243243243241e-06,0,86891,1,23,0,0,0,3,0,8.2,717,-1,0,61,1,0.5,0,4.0,1,0,7,0,2,0.3,85666,0,0,0,0,1342,767,0,0,185,Southampton,Chelsea,Stoke,Arsenal,Man City,1.6,1.0,1.6,1.0,1.0,1.1,2.2,92.4
Scott,Arfield,MID,BUR,4900000,0,56,1.8666666666666698,3.80952380952381e-07,1.14285714285714e-05,0,43530,3,15,0,0,0,2,0,11.4,601,-1,0,56,1,0.0,0,0.0,6,0,6,0,2,0.2,47988,0,0,0,2,1330,10,0,0,185,West Brom,Watford,Leicester,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,0.9,1.4,60.1
Marko,Arnautovic,MID,WHU,6900000,0,93,4.0,5.79710144927536e-07,1.34782608695652e-05,0,994648,3,39,0,0,0,7,0,13.5,23419,-1,0,93,1,0.2,0,1.5,7,0,4,0,4,4.2,1209164,0,0,0,2,1612,20093,0,1,291,Southampton,Chelsea,Stoke,Arsenal,Man City,4.4,2.9,4.5,2.8,3.1,3.3,5.6,157.1
Harry,Arter,MID,BOU,4700000,0,27,0.870967741935484,1.85312285518188e-07,5.74468085106383e-06,0,41333,4,13,0,0,0,1,0,5.7,329,-3,0,27,3,0.0,0,0.0,0,0,3,0,0,0.4,13863,0,0,0,0,959,16,0,0,156,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,0.0,0.4,0.8,0.0,0.4,0.4,0.4,29.2
