FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Robbie,Brady,MID,BUR,5300000,0,56,1.8666666666666698,3.52201257861635e-07,1.05660377358491e-05,0,212475,3,12,0,0,0,1,0,10.6,159,-2,0,56,2,0.0,0,0.0,7,0,6,0,4,0.5,198964,0,0,0,1,1277,9,0,0,216,West Brom,Watford,Leicester,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,0.9,1.4,97.3
Claudio,Bravo,GLK,MCI,4600000,0,1,0.0333333333333333,7.2463768115942e-09,2.1739130434782601e-07,0,39950,0,0,0,0,0,0,0,0.2,131,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.5,8792,0,0,0,0,44,88,0,0,4,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.7096774193548392,1.65041260315079e-07,5.11627906976744e-06,0,145459,3,16,0,0,0,1,0,5.1,93,-2,0,22,2,0.2,0,0.7,0,0,2,0,0,0.5,115380,0,0,0,0,795,77,0,1,149,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.4,0.4,0.4,0.6,0.4,0.4,0.4,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.3,6.81818181818182e-08,2.04545454545455e-06,0,8834,1,1,0,0,0,0,0,2.0,29,-1,0,9,1,0.0,0,0.0,0,0,3,0,0,0.1,4154,0,0,0,0,269,22,0,0,25,Man Utd,West Brom,Everton,Man City,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,0.5333333333333329,1.0256410256410301e-07,3.07692307692308e-06,0,3918,0,8,0,0,0,0,0,3.1,7,-3,0,16,3,0.0,0,0.0,0,0,0,0,0,0.0,665,0,0,0,0,302,7,0,0,60,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.3,0.3,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,79,0,0,0,0,0,0,0,0.0,38,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,229,0,0,0,0,0,95,0,0,0,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bruno,DEF,BHA,4500000,0,66,3.1,6.88888888888889e-07,1.4666666666666698e-05,0,102088,3,19,0,0,0,0,0,14.7,1677,0,0,66,0,0.1,0,0.5,5,0,8,0,0,0.9,136261,0,0,0,0,1656,141,0,0,342,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,3.2,3.9,7.2,0.0,2.5,3.6,2.4,45.8
Chris,Brunt,MID,WBA,5000000,2,61,1.96774193548387,3.93548387096774e-07,1.22e-05,0,137777,2,16,0,0,0,0,0,12.2,1294,-5,0,61,5,0.4,0,2.0,6,0,6,0,6,0.6,127281,0,0,0,0,1287,200,0,0,283,Burnley,Swansea,Man Utd,Liverpool,Newcastle,1.5,1.7,1.0,1.2,1.1,1.3,1.0,93.3
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,624,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,100,0,0,0,0,0,0,0,0,0,Newcastle,Brighton,Watford,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,4900000,0,21,0.67741935483871,1.3824884792626701e-07,4.28571428571429e-06,0,3932,0,11,0,0,0,0,0,4.3,251,-6,0,21,6,0.4,0,2.0,0,0,0,0,2,0.0,4388,0,0,0,0,326,13,0,0,69,Burnley,Swansea,Man Utd,Liverpool,Newcastle,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.8
Reece,Burke,DEF,WHU,4000000,0,0,0.0,0.0,0.0,0,1810,0,0,0,0,0,0,0,0.0,54,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2894,0,0,0,0,0,11,0,0,0,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,Butcher,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,155,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,190,0,0,0,0,0,8,0,0,0,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Butland,GLK,STK,5000000,3,98,3.5,7e-07,1.9600000000000002e-05,0,166333,0,51,0,113,0,0,0,19.6,11236,0,0,98,0,1.1,0,5.3,12,0,5,0,0,2.7,150298,1,0,0,2,2520,1234,0,0,543,Arsenal,Tottenham,West Ham,Burnley,Liverpool,3.2,4.0,3.8,3.9,3.3,4.9,3.1,77.9
Sam,Byram,DEF,WHU,4200000,0,5,0.166666666666667,3.96825396825397e-08,1.19047619047619e-06,0,10414,1,7,0,0,0,0,0,1.2,150,-3,0,5,3,0.1,0,0.5,0,0,0,0,0,0.1,3331,0,0,0,0,246,25,0,0,41,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.1,0.1,14.5
Willy,Caballero,GLK,CHE,4800000,0,7,0.23333333333333303,4.8611111111111105e-08,1.4583333333333299e-06,0,11603,0,0,0,3,0,0,0,1.5,155,-2,0,7,2,0.0,0,0.0,0,0,1,0,0,0.1,9256,0,0,0,0,90,296,0,0,29,Tottenham,West Ham,Southampton,Burnley,Swansea,0.1,0.1,0.2,0.0,0.1,0.1,0.1,2.5
Yohan,Cabaye,MID,CRY,5300000,2,55,1.7741935483871,3.34753499695679e-07,1.0377358490566001e-05,0,34459,5,30,0,0,0,0,0,10.4,150,-2,0,55,2,0.1,0,0.7,3,0,5,0,3,0.2,18755,0,0,0,0,1810,104,0,0,322,Liverpool,Bournemouth,Brighton,Watford,Leicester,0.9,1.1,1.3,0.9,1.2,1.0,1.5,132.9
Gary,Cahill,DEF,CHE,6200000,0,57,1.9,3.06451612903226e-07,9.19354838709677e-06,0,605814,0,20,0,0,0,0,0,9.2,864,-3,0,57,3,0.2,0,1.0,2,0,7,0,0,3.0,84762,0,0,0,0,1542,250,0,1,332,Tottenham,West Ham,Southampton,Burnley,Swansea,1.6,2.1,2.7,0.0,1.1,1.7,1.0,47.8
Dominic,Calvert-Lewin,FWD,EVE,5000000,4,81,2.8,5.6e-07,1.62e-05,0,1106308,4,25,0,0,0,4,0,16.2,18658,0,0,81,0,0.4,0,2.0,3,0,6,0,7,4.5,1256354,0,0,0,1,1737,14533,0,0,232,Man City,Liverpool,Swansea,Newcastle,Huddersfield,2.7,2.7,1.9,3.2,2.1,3.1,2.0,121.4
Geoff,Cameron,DEF,STK,4300000,0,32,1.7,3.95348837209302e-07,7.44186046511628e-06,0,42079,2,29,0,0,0,0,0,7.4,859,-2,0,32,2,0.5,0,2.0,0,0,2,0,0,0.3,31437,0,0,0,0,1494,15,0,0,219,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.0,1.3,1.2,1.3,1.0,2.0,0.9,38.8
Tyrese,Campbell,FWD,STK,4500000,0,1,0.032258064516129,7.168458781362009e-09,2.22222222222222e-07,0,7244,0,1,0,0,0,0,0,0.2,1859,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.3,22088,0,0,0,0,26,4605,0,0,3,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Emre,Can,MID,LIV,4900000,1,92,3.5,7.142857142857141e-07,1.87755102040816e-05,0,639817,8,29,0,0,0,3,0,18.8,67268,-1,0,92,1,0.4,0,2.0,10,0,8,0,6,5.6,549662,0,0,0,2,2089,818,0,0,499,Crystal Palace,Everton,Bournemouth,West Brom,Stoke,0.0,3.2,3.9,3.0,3.7,2.4,3.9,120.6
Etienne,Capoue,MID,WAT,4800000,2,35,1.12903225806452,2.3521505376344103e-07,7.29166666666667e-06,0,298579,3,21,0,0,0,1,0,7.3,620,-7,0,35,7,0.4,0,2.0,0,0,3,0,1,1.4,41735,0,0,0,0,997,262,0,0,169,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.6,0.6,0.6,0.6,0.6,0.6,0.6,43.6
Michael,Carrick,MID,MUN,4200000,0,1,0.0333333333333333,7.936507936507941e-09,2.38095238095238e-07,0,115159,0,0,0,0,0,0,0,0.2,1167,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.9,88334,0,0,0,0,24,516,0,0,0,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
Andre,Carrillo,MID,WAT,5500000,0,62,2.4,4.3636363636363604e-07,1.1272727272727301e-05,0,11378,2,31,0,0,0,1,0,11.3,199,0,0,62,0,0.2,0,1.0,4,0,4,0,3,0.1,13106,0,0,0,0,1517,45,0,0,265,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,2.2,2.0,1.6,2.0,1.2,2.2,1.2,84.8
Guido,Carrillo,FWD,SOU,6300000,0,14,0.46666666666666706,7.40740740740741e-08,2.22222222222222e-06,0,11139,0,8,0,0,0,0,0,2.2,974,-2,1,14,2,0.3,0,2.0,0,0,1,0,1,0.1,15426,0,0,0,0,442,335,-1,0,37,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.2,0.2,0.4,0.0,0.2,0.2,0.2,29.4
Andy,Carroll,FWD,WHU,5700000,0,25,2.1,3.6842105263157896e-07,4.3859649122807e-06,0,103208,5,12,0,0,0,2,0,4.4,208,-3,0,25,3,0.0,0,0.0,3,0,3,0,1,0.2,103337,0,0,0,1,695,24,0,1,71,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,1.5,2.2,49.8
Tom,Carroll,MID,SWA,4300000,0,66,2.3,5.348837209302331e-07,1.53488372093023e-05,0,635629,3,29,0,0,0,0,0,15.3,18294,-2,0,66,2,0.2,0,1.0,3,0,7,0,3,4.5,575693,0,0,0,0,2032,1601,0,0,335,Man Utd,West Brom,Everton,Man City,Chelsea,1.2,1.5,2.6,1.2,1.7,1.6,1.9,102.0
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,701,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,377,0,0,0,0,0,0,0,0,0,Chelsea,Stoke,Man City,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.032258064516129,7.331378299120229e-09,2.2727272727272702e-07,0,1159,0,0,0,0,0,0,0,0.2,13,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,358,0,0,0,0,19,15,0,0,4,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Diego,Cavalieri,GLK,CRY,4000000,0,0,0.0,0.0,0.0,0,172,0,0,0,0,0,0,0,0.0,77,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,671,0,0,0,0,0,205,0,0,0,Liverpool,Bournemouth,Brighton,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,2498,0,0,0,0,0,0,0,0.0,30,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,1015,0,0,0,0,0,25,0,0,0,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5300000,0,112,3.7,6.981132075471699e-07,2.1132075471698102e-05,0,262990,1,41,0,74,0,0,0,21.1,3517,-2,0,112,2,1.1,0,6.0,7,0,10,0,0,4.5,154257,0,0,1,1,2679,13941,0,0,544,Stoke,Southampton,Newcastle,West Ham,Man Utd,5.1,4.8,2.6,5.4,2.4,4.6,2.8,60.5
,Cedric,DEF,SOU,4700000,0,55,2.3,4.8936170212766e-07,1.17021276595745e-05,0,709471,1,32,0,0,0,0,0,11.7,2945,-3,0,55,3,0.7,0,3.5,0,0,5,0,0,3.1,254764,0,0,0,0,2074,4849,0,0,340,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,2.1,1.7,3.7,0.0,1.7,1.2,1.7,84.0
Nacer,Chadli,MID,WBA,5600000,0,13,0.419354838709677,7.48847926267281e-08,2.32142857142857e-06,0,39585,1,2,0,0,0,1,0,2.3,36,-4,0,13,4,0.0,0,0.0,3,0,1,0,0,0.2,9704,0,0,0,1,174,9,0,0,30,Burnley,Swansea,Man Utd,Liverpool,Newcastle,0.0,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Nathaniel,Chalobah,MID,WAT,4200000,0,12,0.387096774193548,9.21658986175115e-08,2.8571428571428602e-06,0,205303,1,7,0,0,0,0,0,2.9,677,-3,0,12,3,0.0,0,0.0,0,0,3,0,0,0.8,129793,0,0,0,0,429,213,0,0,37,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.2,0.2,19.6
Trevoh,Chalobah,DEF,CHE,4000000,0,0,0.0,0.0,0.0,0,215,0,0,0,0,0,0,0,0.0,104,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,667,0,0,0,0,0,258,0,0,0,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Chamberlain,MID,LIV,5600000,1,83,2.67741935483871,4.781105990783411e-07,1.4821428571428601e-05,0,412071,2,26,0,0,0,3,0,14.8,14073,-4,0,83,4,0.5,0,2.7,5,0,4,0,5,3.0,371516,0,0,0,0,1556,3779,0,0,383,Crystal Palace,Everton,Bournemouth,West Brom,Stoke,1.8,2.1,2.6,1.9,2.5,1.5,2.6,150.6
Calum,Chambers,DEF,ARS,4700000,0,7,0.23333333333333303,4.9645390070922e-08,1.48936170212766e-06,0,25742,1,8,0,0,0,0,0,1.5,256,-3,0,7,3,0.1,0,0.7,0,0,0,0,0,0.2,10236,0,0,0,0,439,169,0,0,73,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,17.9
,Chicharito,FWD,WHU,6700000,0,83,3.5,5.22388059701493e-07,1.23880597014925e-05,0,1909135,3,32,0,0,0,7,0,12.4,10167,-3,0,83,3,0.2,0,1.5,12,0,6,0,2,7.7,1251159,0,0,0,2,1449,5651,0,0,275,Southampton,Chelsea,Stoke,Arsenal,Man City,4.2,2.2,4.5,2.3,3.6,3.3,4.5,102.4
Benjamin,Chilwell,DEF,LEI,4300000,0,45,1.5,3.48837209302326e-07,1.0465116279069802e-05,0,78918,0,21,0,0,0,0,0,10.5,10095,-2,0,45,2,0.8,0,3.5,0,0,4,0,1,1.5,135728,0,0,0,0,1398,23501,0,1,252,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.8,1.0,2.0,0.0,1.4,1.5,0.8,51.3
Hamza,Choudhury,MID,LEI,4400000,0,1,0.0333333333333333,7.57575757575758e-09,2.2727272727272702e-07,0,341,0,0,0,0,0,0,0,0.2,16,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,445,0,0,0,0,7,16,0,0,2,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5400000,6,107,3.6,6.66666666666667e-07,1.9814814814814803e-05,0,753339,3,45,0,0,0,5,0,19.8,46638,-1,0,107,1,0.7,0,3.7,9,0,5,0,5,2.8,846892,0,0,0,2,2241,431,0,0,341,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.0,0.0,0.0,0.0,0.0,3.6,3.1,168.1
Andreas,Christensen,DEF,CHE,5300000,0,74,3.2,6.0377358490566e-07,1.3962264150943399e-05,0,465790,0,14,0,0,0,0,0,14.0,20469,-2,0,74,2,0.4,0,2.0,4,0,8,0,0,2.1,540492,0,0,0,0,1707,20259,0,0,409,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,4.3,6.1,0.0,2.6,3.7,2.4,49.9
Ciaran,Clark,DEF,NEW,4400000,0,64,3.2,7.27272727272727e-07,1.45454545454545e-05,0,263358,3,30,0,0,0,2,0,14.5,3030,-1,0,64,1,0.0,0,0.0,6,0,4,0,1,1.8,293118,0,0,0,1,1745,1123,0,0,317,Huddersfield,Leicester,Arsenal,Everton,West Brom,3.9,2.4,4.2,2.0,3.7,3.2,3.8,67.5
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,18787,0,0,0,0,0,0,0,0.0,28,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4024,0,0,0,0,0,0,0,0,0,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,0,58,2.5,5e-07,1.1599999999999999e-05,0,102169,1,33,0,0,0,1,0,11.6,419,0,0,58,0,0.0,1,0.0,3,0,6,0,2,0.4,102432,0,0,0,1,1900,17,0,1,300,Bournemouth,Burnley,Huddersfield,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,2.4,1.2,92.1
Sam,Clucas,MID,SWA,4700000,0,63,2.7,5.744680851063829e-07,1.3404255319148899e-05,0,38728,1,24,0,0,0,3,0,13.4,4357,-3,0,63,3,0.5,0,2.5,3,0,5,0,0,0.5,67121,0,0,0,1,1667,383,0,0,250,Man Utd,West Brom,Everton,Man City,Chelsea,1.4,2.0,3.2,1.4,2.2,2.1,2.5,59.8
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,27991,0,0,0,0,0,0,0,0.0,41,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1536,0,0,0,0,0,77,0,0,0,Crystal Palace,Everton,Bournemouth,West Brom,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4200000,0,0,0.0,0.0,0.0,0,115997,0,0,0,0,0,0,0,0.0,1067,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.8,113492,0,0,0,0,0,30,0,0,0,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,86547,0,0,0,0,0,0,0,0.0,2592,0,0,0,0,0.0,0,0.0,0,0,0,0,0,4.1,207895,0,0,0,0,0,314,0,0,0,Newcastle,Brighton,Watford,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,2,15,0.483870967741936,7.56048387096774e-08,2.34375e-06,0,22247,0,4,0,0,0,0,0,2.3,8631,-1,0,15,1,0.6,0,4.0,0,0,1,0,1,0.5,28689,0,0,0,0,405,435,0,0,87,Man City,Liverpool,Swansea,Newcastle,Huddersfield,0.2,0.2,0.2,0.2,0.2,0.2,0.2,17.1
James,Collins,DEF,WHU,4300000,0,35,1.16666666666667,2.71317829457364e-07,8.139534883720931e-06,0,31054,3,19,0,0,0,1,0,8.1,1083,-2,0,35,2,0.1,0,0.5,3,0,3,0,0,0.3,31630,0,0,0,0,1047,51,0,0,198,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.6,0.9,0.6,0.6,0.6,0.6,44.4
Francis,Coquelin,MID,ARS,4300000,0,7,1.0,2.3255813953488398e-07,1.62790697674419e-06,0,41158,0,6,0,0,0,0,0,1.6,131,-2,0,7,2,0.0,0,0.0,0,0,0,0,0,0.5,15791,0,0,0,0,164,4,0,0,35,Stoke,Southampton,Newcastle,West Ham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
Jack,Cork,MID,BUR,4500000,0,76,2.5,5.55555555555556e-07,1.68888888888889e-05,0,363620,6,26,0,0,0,1,0,16.9,7411,0,0,76,0,0.6,0,2.5,3,0,11,0,1,2.8,450677,0,0,0,0,2700,8189,0,0,410,West Brom,Watford,Leicester,Chelsea,Stoke,1.9,1.6,4.0,1.7,2.2,1.4,2.2,93.3
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,66449,0,0,0,0,0,0,0,0.0,49,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2436,0,0,0,0,0,7,0,0,0,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5400000,0,113,3.9,7.22222222222222e-07,2.0925925925925898e-05,0,839980,1,27,0,58,0,0,0,20.9,32974,-1,0,113,1,0.4,0,2.0,2,0,13,0,0,10.7,488405,0,0,0,0,2610,2578,0,0,517,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,5.5,8.2,0.0,3.6,4.9,3.4,41.9
Philippe,Coutinho,MID,LIV,9100000,0,103,7.4,8.131868131868129e-07,1.13186813186813e-05,0,1728424,0,14,0,0,0,7,0,11.3,1412,1,0,103,-1,0.0,0,0.0,15,0,5,0,7,3.0,1531107,0,0,0,4,1109,3,0,0,381,Crystal Palace,Everton,Bournemouth,West Brom,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.4
Martin,Cranie,DEF,HUD,4000000,0,2,0.7,1.75e-07,5e-07,0,24793,0,7,0,0,0,0,0,0.5,240,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.2,24137,0,0,0,0,179,8,0,0,35,Newcastle,Brighton,Watford,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Aaron,Cresswell,DEF,WHU,5000000,0,87,3.1,6.2e-07,1.74e-05,0,275142,5,49,0,0,0,0,0,17.1,7383,0,1,87,0,0.3,0,1.5,10,0,7,0,6,2.4,411575,0,0,0,0,2379,3762,-1,0,464,Southampton,Chelsea,Stoke,Arsenal,Man City,3.6,2.7,3.9,2.4,2.9,2.2,3.1,116.9
Peter,Crouch,FWD,STK,4800000,2,55,2.3,4.79166666666667e-07,1.1458333333333301e-05,0,378600,1,22,0,0,0,3,0,11.5,6673,-2,0,55,2,0.3,0,1.3,4,0,0,0,2,2.3,358518,0,0,0,0,1199,3413,0,0,159,Arsenal,Tottenham,West Ham,Burnley,Liverpool,1.2,1.8,1.6,1.9,1.3,2.2,1.5,79.9
Josh,Cullen,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,406,0,0,0,0,0,0,0,0.0,32,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,728,0,0,0,0,0,37,0,0,0,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Daniels,DEF,BOU,4700000,5,78,2.8,5.95744680851064e-07,1.65957446808511e-05,0,1099654,0,38,0,0,0,1,0,16.6,20272,-3,0,78,3,0.6,0,2.7,4,0,5,0,2,7.7,578887,0,0,0,0,2371,5272,0,0,465,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,2.7,3.9,5.1,0.0,2.7,2.8,2.5,102.9
,Danilo,DEF,MCI,5000000,0,72,4.2,8.4e-07,1.4400000000000001e-05,0,421103,1,7,0,0,0,2,0,14.4,5773,-5,0,72,5,0.5,0,2.3,5,0,7,0,1,2.7,317557,0,0,0,1,948,1463,0,0,292,Everton,Man Utd,Tottenham,Swansea,West Ham,3.3,5.0,4.3,4.9,5.1,5.4,5.0,50.8
Scott,Dann,DEF,CRY,4600000,0,32,1.03225806451613,2.2440392706872397e-07,6.95652173913044e-06,0,87676,4,26,0,0,0,1,0,7.0,146,-4,0,32,4,0.0,0,0.0,0,0,1,0,0,0.3,39431,0,0,0,0,1434,13,0,0,211,Liverpool,Bournemouth,Brighton,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.5,0.6,67.0
Karl,Darlow,GLK,NEW,4400000,0,33,1.1,2.5e-07,7.499999999999999e-06,0,29908,0,15,0,35,0,0,0,7.5,897,-1,0,33,1,0.0,0,0.0,2,0,2,0,0,0.3,25018,1,0,0,1,900,196,0,0,172,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,0.6,0.9,0.6,0.7,0.6,0.7,25.9
Matteo,Darmian,DEF,MUN,4900000,0,10,0.33333333333333304,6.80272108843537e-08,2.04081632653061e-06,0,33441,0,2,0,0,0,0,0,2.0,63,-6,0,10,6,0.1,0,0.5,0,0,1,0,0,0.2,7165,0,0,0,0,196,45,0,0,49,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.2,0.2,0.4,0.0,0.2,0.2,0.2,4.8
,David Luiz,DEF,CHE,5700000,0,32,1.06666666666667,1.87134502923977e-07,5.6140350877193e-06,0,1192058,3,13,0,0,0,1,0,5.6,1713,-3,0,32,3,0.0,0,0.0,0,0,3,0,2,8.2,326706,0,0,0,0,838,23,0,1,186,Tottenham,West Ham,Southampton,Burnley,Swansea,0.0,0.0,0.0,0.0,0.5,0.7,0.5,29.6
,David Silva,MID,MCI,8100000,0,141,5.9,7.283950617283949e-07,1.74074074074074e-05,0,2340856,5,13,0,0,0,8,0,17.6,20611,1,-1,141,-1,1.4,0,11.0,21,0,12,0,9,11.0,2533965,0,0,0,4,2000,108871,1,0,547,Everton,Man Utd,Tottenham,Swansea,West Ham,7.2,6.6,5.5,7.7,6.7,8.4,7.0,238.3
Ben,Davies,DEF,TOT,5900000,0,125,5.2,8.813559322033899e-07,2.11864406779661e-05,0,1727172,1,15,0,0,0,2,0,21.2,53453,4,0,125,-4,0.5,0,3.0,14,0,10,0,6,22.7,2562524,0,0,0,4,1873,19053,0,0,529,Chelsea,Stoke,Man City,Brighton,Watford,5.9,6.3,12.1,0.0,7.6,5.3,6.5,133.7
Tom,Davies,MID,EVE,5100000,1,49,1.8,3.5294117647058796e-07,9.607843137254902e-06,0,70757,6,20,0,0,0,1,0,9.6,2608,-4,0,49,4,0.3,0,1.7,0,0,5,0,2,0.4,41035,0,0,0,0,1544,48,0,0,168,Man City,Liverpool,Swansea,Newcastle,Huddersfield,0.9,1.1,0.9,1.5,0.9,1.3,0.9,53.0
Steven,Davis,MID,SOU,4700000,0,70,2.3333333333333304,4.9645390070922e-07,1.48936170212766e-05,0,450730,0,21,0,0,0,3,0,14.9,3675,-3,0,70,3,0.0,0,0.0,6,0,4,0,2,1.4,482268,0,0,0,2,1483,35,0,0,334,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,1.3,3.3,0.0,1.9,1.9,1.2,82.4
