FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Marko,Arnautovic,MID,WHU,7100000,12,144,4.6,6.478873239436621e-07,2.02816901408451e-05,0,1122460,5,50,0,0,0,11,0,20.3,0,1,0,144,-1,0,0,0,12,0,7,0,7,7.6,1535109,0,0,0,4,2309,0,0,1,440,Everton,,,,,6.3,241.1
Harry,Arter,MID,BOU,4700000,0,27,0.72972972972973,1.55261644623347e-07,5.74468085106383e-06,0,42168,4,13,0,0,0,1,0,5.7,0,-3,0,27,3,0,0,0,0,0,3,0,0,0.3,14078,0,0,0,0,959,0,0,0,156,Burnley,,,,,0.4,29.2
Christian,Atsu,MID,NEW,4800000,0,78,2.8,5.83333333333333e-07,1.625e-05,0,540835,1,22,0,0,0,2,0,16.3,0,-2,0,78,2,0,0,0,5,0,6,0,4,1.2,453946,0,0,0,1,1776,0,0,0,236,Chelsea,,,,,0.0,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,8,87,2.35135135135135,2.1771771771771804e-07,8.05555555555556e-06,0,726140,0,15,0,0,0,10,0,8.1,0,3,0,87,-3,0,1,0,12,0,4,0,4,14.0,1545427,0,0,0,2,1056,0,0,0,354,Huddersfield,,,,,1.3,127.1
Serge,Aurier,DEF,TOT,5900000,0,77,2.0810810810810803,3.52725606962895e-07,1.30508474576271e-05,0,113870,1,13,0,0,0,2,0,13.1,0,-1,0,77,1,0,0,0,9,0,6,0,2,0.7,138247,0,0,0,3,1427,0,0,1,335,Leicester,,,,,1.6,81.4
Charlie,Austin,FWD,SOU,5800000,2,72,1.9459459459459498,3.35507921714818e-07,1.24137931034483e-05,0,482256,2,15,0,0,0,7,0,12.4,0,-7,0,72,7,0,0,0,9,0,4,0,1,1.4,484100,0,0,0,1,1024,0,0,0,215,Man City,,,,,1.3,107.7
Cesar,Azpilicueta,DEF,CHE,6900000,1,175,4.7,6.81159420289855e-07,2.53623188405797e-05,0,1138791,1,38,0,0,0,2,0,25.4,0,4,0,175,-4,0,0,0,25,0,15,0,6,21.0,1565365,1,0,0,4,3330,0,0,0,913,Newcastle,,,,,4.4,167.5
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,4254,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8688,0,0,0,0,0,0,0,0,0,Man Utd,,,,,0.0,0.0
,Badou Ndiaye,MID,STK,5000000,9,41,1.1081081081081101,2.21621621621622e-07,8.2e-06,0,1737,5,17,0,0,0,2,0,8.2,0,-5,0,41,5,0,0,0,5,0,2,0,1,0.0,2685,0,0,0,0,1138,0,0,0,159,Swansea,,,,,0.6,55.0
Eric,Bailly,DEF,MUN,6000000,6,55,1.4864864864864902,2.47747747747748e-07,9.16666666666667e-06,0,907264,2,6,0,0,0,1,0,9.2,0,0,0,55,0,0,0,0,3,0,7,0,0,5.7,621910,1,0,0,1,1000,0,0,0,248,Watford,,,,,1.4,33.0
