FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Kasey,Palmer,MID,CHE,5300000,0,4,1.0,1.88679245283019e-07,7.54716981132075e-07,0,4731,2,2,0,0,0,0,0,0.8,29,-2,0,4,2,0.0,0,0.0,0,0,1,0,0,0.0,1097,0,0,0,0,168,0,0,0,9,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
Costel,Pantilimon,GLK,WAT,4500000,0,0,0.0,0.0,0.0,0,5206,0,0,0,0,0,0,0,0.0,23,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,289,0,0,0,0,0,1,0,0,0,Everton,West Brom,Arsenal,Liverpool,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Payne,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,510,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,117,0,0,0,0,0,3,0,0,0,West Brom,Tottenham,Swansea,Crystal Palace,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Pedro,MID,CHE,7700000,3,69,2.55555555555556,3.3189033189033197e-07,8.96103896103896e-06,0,315387,1,9,0,0,0,4,0,9.0,3057,-3,0,69,3,0.3,0,2.3,2,0,8,0,2,1.1,209094,0,0,0,1,1204,955,0,0,225,Man Utd,Man City,Crystal Palace,Tottenham,West Ham,1.3,1.3,2.2,0.0,1.9,2.5,1.9,2.8,1.9,1.7,2.0,112.0
Matthew,Pennington,DEF,EVE,4000000,0,0,0.0,0.0,0.0,0,4995,0,0,0,0,0,0,0,0.0,69,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,1444,0,0,0,0,0,27,0,0,0,Watford,Burnley,Brighton,Stoke,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas,Pereira,MID,MUN,4900000,0,0,0.0,0.0,0.0,0,3925,0,0,0,0,0,0,0,0.0,11,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,221,0,0,0,0,0,1,0,0,0,Chelsea,Crystal Palace,Liverpool,Swansea,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto,Pereyra,MID,WAT,5800000,1,41,1.51851851851852,2.6181353767560704e-07,7.06896551724138e-06,0,12863,2,20,0,0,0,2,0,7.1,298,-2,0,41,2,0.6,0,3.7,0,0,0,0,2,0.1,5261,0,0,0,0,840,410,0,0,154,Everton,West Brom,Arsenal,Liverpool,Bournemouth,1.3,1.2,0.8,0.8,1.0,0.9,0.8,0.9,0.8,1.0,0.8,60.0
Ayoze,Perez,FWD,NEW,5200000,2,62,2.5,4.807692307692311e-07,1.19230769230769e-05,0,166960,1,19,0,0,0,2,0,11.9,5665,-3,0,62,3,0.6,0,3.0,5,0,5,0,3,1.1,152154,1,0,0,1,1605,3769,0,0,192,Bournemouth,Liverpool,Southampton,Tottenham,Huddersfield,2.2,1.6,2.4,1.6,2.8,2.0,2.5,1.9,2.7,2.2,1.7,98.2
Lucas,Perez,FWD,ARS,7400000,0,0,0.0,0.0,0.0,0,9037,0,0,0,0,0,0,0,0.0,35,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,518,0,0,0,0,0,6,0,0,0,Man City,Brighton,Watford,Stoke,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,Phillips,MID,WBA,5400000,2,53,2.6,4.81481481481482e-07,9.814814814814819e-06,0,179265,2,21,0,0,0,1,0,9.8,388,-6,0,53,6,0.2,0,1.0,0,0,7,0,3,0.4,72308,0,0,0,0,1354,849,0,0,188,Huddersfield,Watford,Leicester,Bournemouth,Burnley,3.0,1.6,2.6,1.8,2.4,2.6,1.3,1.9,1.8,2.2,1.5,79.2
