FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Hamza,Choudhury,MID,LEI,4500000,0,1,0.0625,1.3888888888888899e-08,2.22222222222222e-07,0,53,0,0,0,0,0,0,0,0.2,19,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,100,0,0,0,0,7,24,0,0,2,Southampton,Crystal Palace,Man Utd,Watford,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Eric Maxim,Choupo-Moting,MID,STK,5600000,2,62,3.9,6.96428571428571e-07,1.10714285714286e-05,0,416089,1,32,0,0,0,3,0,11.1,20937,1,0,62,-1,0.6,0,3.6,6,0,2,0,3,4.5,603420,0,0,0,1,1330,7144,0,0,164,Burnley,West Ham,West Brom,Huddersfield,Chelsea,3.4,5.1,4.7,3.4,3.4,4.7,2.4,5.4,3.3,4.0,4.0,3.3,3.7,2.7,5.4,2.8,3.8,3.5,4.1,2.6,4.6,4.4,95.4
Andreas,Christensen,DEF,CHE,5500000,2,38,3.2,5.81818181818182e-07,6.90909090909091e-06,0,32159,0,8,0,0,0,0,0,6.9,7034,0,0,38,0,0.7,0,3.6,1,0,4,0,0,3.4,201224,0,0,0,0,874,18148,0,0,212,Huddersfield,Southampton,Everton,Brighton,Stoke,2.9,3.2,2.0,3.9,3.4,2.3,3.0,3.4,2.9,3.9,3.9,2.2,2.6,4.6,3.1,3.4,4.5,3.2,4.4,2.7,3.5,2.7,28.1
Ciaran,Clark,DEF,NEW,4500000,1,40,3.1,6.88888888888889e-07,8.88888888888889e-06,0,160121,2,22,0,0,0,2,0,8.9,3355,0,0,40,0,0.4,0,2.0,4,0,2,0,0,2.0,200819,0,0,0,1,1115,1382,0,0,204,Everton,Arsenal,West Ham,Man City,Brighton,3.0,2.0,3.0,2.6,3.9,2.8,3.0,2.3,3.5,3.6,3.3,2.4,2.4,3.2,2.6,4.3,2.2,3.6,1.7,3.9,3.5,3.3,47.3
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,17750,0,0,0,0,0,0,0,0.0,92,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,3980,0,0,0,0,0,3,0,0,0,Leicester,Chelsea,Huddersfield,Tottenham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,2,48,3.0,6e-07,9.6e-06,0,62127,1,25,0,0,0,1,0,9.6,3316,0,0,48,0,0.6,1,2.8,3,0,5,0,2,1.1,98610,0,0,0,1,1410,2278,0,0,240,Crystal Palace,Huddersfield,Brighton,Leicester,Swansea,2.6,3.4,2.4,2.4,3.0,2.0,2.2,2.5,2.6,2.1,2.6,3.5,2.8,2.1,2.0,2.7,2.4,2.6,2.8,2.3,2.8,1.8,70.1
Sam,Clucas,MID,SWA,4900000,0,23,2.3,4.6938775510204106e-07,4.69387755102041e-06,0,4941,1,10,0,0,0,1,0,4.7,127,-1,0,23,1,0.2,0,0.8,0,0,2,0,0,0.0,5887,0,0,0,0,654,7,0,0,107,Man City,Everton,Crystal Palace,Liverpool,Watford,1.2,1.8,2.1,1.2,1.6,1.6,1.7,1.5,2.1,1.4,1.8,1.4,2.4,1.4,1.7,1.2,1.5,2.6,1.2,1.6,1.8,1.8,21.0
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0.0,0.0,0.0,0,26654,0,0,0,0,0,0,0,0.0,103,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1159,0,0,0,0,0,21,0,0,0,West Brom,Bournemouth,Arsenal,Swansea,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4300000,0,0,0.0,0.0,0.0,0,77625,0,0,0,0,0,0,0,0.0,2220,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.3,90289,0,0,0,0,0,698,0,0,0,Everton,Arsenal,West Ham,Man City,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,42960,0,0,0,0,0,0,0,0.0,773,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.4,18581,0,0,0,0,0,372,0,0,0,Chelsea,Watford,Southampton,Stoke,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
