FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Edimilson,Fernandes,MID,WHU,4500000,0,38,2.74877906944e-27,6.10839793208889e-34,8.444444444444439e-06,0,0,4,18,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,3,0,1,0.4,0,0,0,0,0,1002,0,0,0,148,Man Utd,Southampton,Newcastle,Huddersfield,West Brom,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3
Federico,Fernandez,DEF,SWA,4500000,0,63,1.6578947368421102,3.6842105263157896e-07,1.4000000000000001e-05,0,0,7,41,0,0,0,0,0,0,0,0,0,63,0,0,0,0,4,0,6,0,1,0.4,0,0,0,0,0,2430,0,0,0,435,Southampton,Man Utd,Crystal Palace,Newcastle,Tottenham,1.3,1.1,1.3,2.4,0.9,1.1,1.3,2.4,1.0,1.2,2.4,1.1,0.8,1.0,1.3,1.3,1.3,1.7,1.7,0.8,0.9,1.2,2.1,1.1,1.6,0.8,1.4,2.1,1.7,2.1,1.6,0.9,1.0,2.1,1.0,1.3,0.8,1.6,82.9
,Fernandinho,MID,MCI,5000000,0,78,2.05263157894737,4.1052631578947397e-07,1.56e-05,0,0,4,27,0,0,0,2,0,0,0,0,0,78,0,0,0,0,3,0,10,0,1,1.0,0,0,0,0,0,2755,0,0,2,483,Brighton,Everton,Bournemouth,Liverpool,Watford,2.5,1.6,1.4,1.3,1.5,1.6,1.1,1.7,1.8,1.2,1.1,1.3,2.5,1.6,1.2,1.0,1.3,1.1,1.8,2.5,1.2,2.0,1.0,2.9,1.6,1.4,1.7,1.0,1.4,1.3,2.9,1.2,1.4,1.0,1.6,1.0,2.9,1.2,148.5
,Fernando,MID,MCI,4500000,0,18,0.47368421052631604,1.0526315789473699e-07,4e-06,0,0,3,10,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,1,0,0,0.2,0,0,0,0,0,568,0,0,0,106,Brighton,Everton,Bournemouth,Liverpool,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Sam,Field,MID,WBA,4500000,0,9,6.510266217094741e-28,1.4467258260210497e-34,2e-06,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,275,0,0,0,50,Bournemouth,Burnley,Stoke,Brighton,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
Roberto,Firmino,FWD,LIV,8500000,0,180,4.73684210526316,5.572755417956661e-07,2.11764705882353e-05,0,0,5,39,0,0,0,11,0,0,0,0,0,180,0,0,0,0,17,0,11,0,11,22.3,0,0,0,0,0,3062,0,0,0,639,Watford,Crystal Palace,Arsenal,Man City,Burnley,5.5,6.2,5.5,5.5,6.6,5.0,5.9,5.5,5.1,6.7,5.2,6.1,5.0,5.7,5.9,4.9,6.5,5.1,4.5,6.6,5.9,5.7,6.4,5.7,5.9,6.0,5.2,6.1,6.7,4.5,6.4,5.3,3.9,6.0,5.6,6.5,4.1,6.7,356.9
Ashley,Fletcher,FWD,WHU,4500000,0,16,0.421052631578947,9.35672514619883e-08,3.55555555555556e-06,0,0,2,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,367,0,0,0,33,Man Utd,Southampton,Newcastle,Huddersfield,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4
Darren,Fletcher,MID,STK,5000000,0,103,2.71052631578947,5.42105263157895e-07,2.0600000000000003e-05,0,0,0,45,0,0,0,2,0,0,0,0,0,103,0,0,0,0,2,0,8,0,3,1.2,0,0,0,0,0,3231,0,0,0,453,Everton,Arsenal,West Brom,Man Utd,Newcastle,1.9,1.8,1.9,2.2,3.4,2.3,2.4,1.5,2.7,2.4,2.6,3.4,1.9,2.0,2.5,1.4,2.3,1.9,2.4,3.4,1.8,3.8,1.7,3.8,3.0,2.2,3.8,2.1,1.9,2.0,2.4,1.4,1.8,1.5,2.8,1.5,2.4,2.0,101.2
Phil,Foden,MID,MCI,5000000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Brighton,Everton,Bournemouth,Liverpool,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose,Fonte,DEF,WHU,5000000,0,98,2.5789473684210495,5.157894736842101e-07,1.9600000000000002e-05,0,0,4,46,0,0,0,0,0,0,0,0,0,98,0,0,0,0,10,0,11,0,0,2.4,0,0,0,0,0,2934,0,0,0,592,Man Utd,Southampton,Newcastle,Huddersfield,West Brom,1.8,2.6,3.2,3.7,2.1,2.4,2.9,2.3,3.7,2.6,2.2,1.8,2.0,3.2,2.1,2.6,3.0,2.6,3.7,1.3,1.9,2.6,3.2,1.7,3.1,3.2,2.3,1.7,2.4,2.8,2.3,3.1,2.0,3.1,2.5,2.6,1.5,3.7,100.2
