FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Asmir,Begovic,GLK,BOU,4500000,2,95,2.9,6.44444444444444e-07,2.11111111111111e-05,0,272527,2,53,0,96,0,0,0,21.1,7056,0,0,95,0,0.5,0,2.3,4,0,5,0,0,4.4,219669,0,0,1,3,2970,3980,0,0,541,Liverpool,Man Utd,Southampton,Swansea,Burnley,5.5,0.0,2.8,3.0,2.5,70.2
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,10024,0,0,0,0,0,0,0,0.0,13,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,646,0,0,0,0,0,0,0,0,0,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,5900000,0,107,3.5,5.932203389830511e-07,1.8135593220339003e-05,0,928632,5,41,0,0,0,2,0,18.1,15014,-1,0,107,1,0.5,0,3.0,7,0,10,0,2,9.8,687382,0,0,0,1,2690,5291,0,0,538,Newcastle,West Ham,Man Utd,Burnley,Leicester,2.3,5.1,2.2,6.4,2.5,141.5
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3708,0,0,0,0,0,0,0,0.0,27,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1663,0,0,0,0,0,38,0,0,0,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7500000,0,75,2.9,3.8666666666666706e-07,1e-05,0,517643,6,36,0,0,0,2,0,10.0,8998,-5,1,75,5,0.1,1,1.0,5,0,6,0,7,2.5,184797,0,0,0,0,2153,159,-1,0,141,Brighton,Watford,Leicester,Stoke,West Brom,0.0,2.5,3.1,2.9,3.4,145.9
Saido,Berahino,FWD,STK,5600000,0,20,0.606060606060606,1.08225108225108e-07,3.5714285714285697e-06,0,35686,0,13,0,0,0,0,0,3.6,101,-4,0,20,4,0.1,1,0.7,0,0,2,0,1,0.3,15358,0,0,0,0,483,57,0,0,42,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.3,0.3,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,239,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,41,0,0,0,0,0,0,0,0,0,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7200000,2,87,2.71875,3.7760416666666704e-07,1.2083333333333301e-05,0,203781,0,9,0,0,0,4,0,11.9,9387,-8,1,87,8,0.2,0,1.5,3,0,7,0,5,1.2,152312,0,0,0,1,1226,1546,-1,0,353,Tottenham,Swansea,West Ham,Huddersfield,Brighton,1.5,2.5,2.0,5.3,2.2,110.1
Ryan,Bertrand,DEF,SOU,5300000,1,78,2.7,5.09433962264151e-07,1.47169811320755e-05,0,800569,1,44,0,0,0,0,0,14.7,1940,-2,0,78,2,0.2,0,1.0,4,0,5,0,4,5.0,306751,0,0,0,1,2605,2875,0,0,456,Chelsea,Leicester,Bournemouth,Everton,Swansea,4.8,0.0,2.2,3.9,2.2,118.4
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,15432,0,0,0,0,0,0,0,0.5,78,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.2,11658,0,0,0,0,46,26,0,0,10,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.0,0.0,0.0,0.0,0.0,3.0
