FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Joselu,FWD,NEW,5500000,0,0,0.0,0.0,0.0,0,3560,0,0,0,0,0,0,0,0.0,3560,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,671,0,0,0,0,0,671,0,0,0,Huddersfield,West Ham,Swansea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Kabasele,DEF,WAT,4500000,0,0,0.0,0.0,0.0,0,275,0,0,0,0,0,0,0,0.0,275,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,28,0,0,0,0,0,28,0,0,0,Bournemouth,Brighton,Southampton,Man City,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Younes,Kaboul,DEF,WAT,4500000,1,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,3686,0,3,0,0,0,0,0,0.2,3686,0,0,1,0,0.2,0,1,0,0,0,0,0,0.5,1406,0,0,0,0,90,1406,0,0,14,Bournemouth,Brighton,Southampton,Man City,Swansea,0.0,0.0,0.7,0.5,0.5,0.9,0.5,0.5,0.7,0.5,0.9,0.6,0.5,1.4,0.5,0.9,0.5,0.9,0.5,0.7,0.5,0.9,0.5,0.5,0.5,0.7,0.5,1.1,0.5,0.5,0.7,0.5,0.5,1.1,1.2,0.8,0.5,3.5
Elias,Kachunga,MID,HUD,6000000,3,3,3.0,5e-07,5e-07,0,1270,0,0,0,0,0,0,0,0.5,1270,0,0,3,0,0.5,0,3,0,0,1,0,0,0.3,2002,0,0,0,0,90,2002,0,0,10,Newcastle,Southampton,West Ham,Leicester,Burnley,4.3,3.1,3.1,2.9,2.3,2.0,2.7,1.7,1.6,2.3,3.5,2.6,1.6,3.1,3.3,3.7,2.0,2.5,3.9,2.9,2.3,3.7,3.3,2.2,1.5,4.1,1.8,1.5,3.3,4.1,3.7,2.7,2.5,3.1,3.7,2.0,2.2,2.2
Harry,Kane,FWD,TOT,12500000,1,1,1.0,8e-08,8e-08,0,162900,1,0,0,0,0,0,0,0.1,162900,0,0,1,0,0.1,0,1,0,0,1,0,0,31.9,13564,0,0,0,0,90,13564,0,0,-6,Chelsea,Burnley,Everton,Swansea,West Ham,1.0,0.6,0.5,0.5,1.2,0.5,0.6,1.1,0.5,1.0,0.6,0.5,1.0,0.5,0.7,1.2,0.5,0.5,0.5,1.4,0.5,0.5,0.5,0.5,0.9,0.8,0.8,0.5,0.5,0.9,0.8,0.5,0.5,1.0,0.6,0.5,1.2,12.2
N'Golo,Kante,MID,CHE,5000000,2,2,2.0,4e-07,4e-07,0,56980,0,3,0,0,0,0,0,0.4,56980,0,0,2,0,0.4,0,2,0,0,0,0,0,17.0,22957,0,0,0,0,90,22957,0,0,17,Tottenham,Everton,Leicester,Arsenal,Stoke,1.0,2.1,1.2,1.1,1.8,1.4,1.9,1.3,1.9,1.0,1.0,1.0,1.8,2.8,1.7,1.0,1.6,1.7,1.8,2.2,1.0,1.5,1.4,2.3,1.0,1.2,1.0,1.0,2.3,1.2,1.0,2.1,1.3,1.4,1.4,1.1,2.5,6.9
Loris,Karius,GLK,LIV,5000000,0,0,0.0,0.0,0.0,0,1015,0,0,0,0,0,0,0,0.0,1015,0,0,0,0,0.0,0,0,0,0,0,0,0,0.2,138,0,0,0,0,0,138,0,0,0,Crystal Palace,Arsenal,Man City,Burnley,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beram,Kayal,MID,BHA,4500000,0,0,0.0,0.0,0.0,0,892,0,0,0,0,0,0,0,0.0,892,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,56,0,0,0,0,0,56,0,0,0,Leicester,Watford,West Brom,Bournemouth,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael,Keane,DEF,EVE,5500000,8,8,8.0,1.45454545454545e-06,1.45454545454545e-06,0,20154,0,0,0,0,0,0,0,1.5,20154,0,0,8,0,1.5,0,8,2,0,1,0,0,14.4,60861,0,0,0,0,90,60861,0,0,31,Man City,Chelsea,Tottenham,Man Utd,Bournemouth,9.1,8.7,11.4,6.7,11.4,9.6,9.9,8.6,6.3,11.4,9.9,9.9,11.4,8.8,8.0,9.9,11.4,10.2,9.9,9.9,8.3,9.9,11.4,7.9,7.0,11.4,9.9,8.0,11.4,9.9,10.6,9.6,9.9,11.4,7.2,11.4,9.9,4.0
Martin,Kelly,DEF,CRY,4500000,0,0,0.0,0.0,0.0,0,2023,0,0,0,0,0,0,0,0.0,2023,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,178,0,0,0,0,0,178,0,0,0,Liverpool,Swansea,Burnley,Southampton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Kenedy,MID,CHE,5000000,0,0,0.0,0.0,0.0,0,463,0,0,0,0,0,0,0,0.0,463,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,91,0,0,0,0,0,91,0,0,0,Tottenham,Everton,Leicester,Arsenal,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
