FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Dominic,Solanke,FWD,CHE,5000000,0,0,0.0,0.0,0.0,0,229,0,0,0,0,0,0,0,0.0,34,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,330,0,0,0,0,0,31,0,0,0,West Brom,Sunderland,Crystal Palace,Bournemouth,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heung-Min,Son,MID,TOT,7300000,11,70,1.6666666666666698,2.28310502283105e-07,9.58904109589041e-06,0,480516,1,6,0,0,0,5,0,9.7,15223,-2,-1,70,2,0.9,0,6.7,6,0,5,0,5,7.3,732608,0,244,0,2,770,60378,1,0,205,Man Utd,Hull City,Burnley,Southampton,Watford,0.8,1.1,1.6,0.8,0.8,0.9,1.0,0.8,1.0,1.2,0.8,1.0,1.4,0.8,1.3,0.8,0.8,1.3,1.4,0.8,0.8,0.8,1.3,0.8
Pape,Souare,DEF,CRY,4200000,0,6,0.14285714285714302,3.40136054421769e-08,1.4285714285714301e-06,0,51181,0,3,0,0,0,0,0,1.4,403,-3,0,6,3,0.0,0,0.0,0,0,0,0,0,0.3,20174,0,354,0,0,270,46,0,0,37,Hull City,Man Utd,Chelsea,Watford,Arsenal,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Julian,Speroni,GLK,CRY,4300000,0,0,0.0,0.0,0.0,0,5472,0,0,0,0,0,0,0,0.0,137,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,845,0,13,0,0,0,33,0,0,0,Hull City,Man Utd,Chelsea,Watford,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raphael,Spiegel,GLK,WHU,4000000,0,0,0.0,0.0,0.0,0,772,0,0,0,0,0,0,0,0.0,116,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,4319,0,0,0,0,0,656,0,0,0,Liverpool,Burnley,Hull City,Swansea,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior,Stanislas,MID,BOU,5400000,1,52,1.23809523809524,2.2927689594356298e-07,9.62962962962963e-06,0,69177,1,13,0,0,0,3,0,9.5,16175,-1,1,52,1,0.6,0,3.0,6,0,3,0,4,0.9,95410,0,217,0,1,711,686,-1,0,184,Burnley,Leicester,Southampton,Chelsea,Swansea,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.8,0.6,0.7,1.1,0.6
Maarten,Stekelenburg,GLK,EVE,5100000,2,47,3.6,7.058823529411759e-07,9.215686274509801e-06,0,105508,2,16,0,31,0,0,0,9.2,5600,1,0,47,-1,0.5,0,2.7,3,0,2,0,0,4.2,195859,1,151,2,1,1170,4115,0,0,207,Watford,Arsenal,Liverpool,Leicester,Hull City,3.1,5.1,5.4,1.9,3.5,5.1,3.8,3.4,4.1,5.3,3.1,4.3,2.7,4.7,4.7,3.7,2.4,4.2,5.1,4.0,4.1,3.2,4.5,4.3
Jack,Stephens,DEF,SOU,4000000,0,0,0.0,0.0,0.0,0,7266,0,0,0,0,0,0,0,0.0,275,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.4,6687,0,0,0,0,0,138,0,0,0,Middlesbrough,Stoke,Bournemouth,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raheem,Sterling,MID,MCI,7700000,0,55,4.6,5.974025974025971e-07,7.142857142857139e-06,0,1035534,3,11,0,0,0,4,0,7.1,93537,-3,1,55,3,0.1,0,1.0,5,0,2,0,3,8.8,1220175,0,400,0,2,997,1614,-1,0,180,Leicester,Watford,Arsenal,Hull City,Liverpool,0.0,5.2,3.1,5.0,2.8,6.1,4.2,4.4,4.4,4.9,4.2,5.2,5.7,4.5,3.7,3.8,3.7,4.9,4.4,4.5,5.4,4.5,6.4,5.2
Kevin,Stewart,DEF,LIV,4300000,0,4,0.0952380952380952,2.21483942414175e-08,9.30232558139535e-07,0,4409,0,0,0,0,0,0,0,0.9,117,-2,0,4,2,0.0,0,0.0,0,0,0,0,0,0.1,2244,0,69,0,0,20,39,0,0,12,West Ham,Middlesbrough,Everton,Stoke,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John,Stones,DEF,MCI,4900000,1,24,2.0,4.08163265306122e-07,4.89795918367347e-06,0,750116,1,12,0,0,0,0,0,4.9,35952,-1,0,24,1,0.1,0,0.3,1,0,1,0,0,22.9,378247,0,336,0,0,984,5619,0,0,198,Leicester,Watford,Arsenal,Hull City,Liverpool,1.0,1.6,2.3,1.8,2.1,2.0,1.3,1.7,2.2,1.5,1.6,1.2,1.2,2.0,2.5,2.6,1.3,1.7,1.6,1.7,1.6,1.6,1.4,1.6
Maksymilian,Stryjek,GLK,SUN,4000000,0,0,0.0,0.0,0.0,0,1125,0,0,0,0,0,0,0,0.0,57,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2701,0,0,0,0,0,135,0,0,0,Swansea,Chelsea,Watford,Man Utd,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristhian,Stuani,FWD,MID,4900000,1,29,2.9,5.91836734693878e-07,5.91836734693878e-06,0,314884,3,8,0,0,0,3,0,5.9,16256,-1,0,29,1,0.1,0,0.3,4,0,1,0,0,3.9,414763,0,0,0,1,532,5986,0,0,120,Southampton,Liverpool,Swansea,Burnley,Man Utd,2.4,3.4,3.3,2.6,2.6,3.6,2.7,3.3,2.7,2.4,3.2,3.1,2.7,3.4,2.7,3.5,3.7,3.7,2.4,2.2,3.0,2.2,3.0,2.7
Daniel,Sturridge,FWD,LIV,9800000,0,20,2.2,2.24489795918367e-07,2.04081632653061e-06,0,75300,1,4,0,0,0,0,0,2.0,2350,-2,0,20,2,0.0,0,0.3,0,0,1,0,3,0.8,51755,0,283,0,0,380,402,0,0,51,West Ham,Middlesbrough,Everton,Stoke,Man City,0.0,0.0,0.0,1.9,2.3,1.5,1.3,2.5,1.9,2.1,2.2,1.4,1.8,2.8,1.8,2.4,2.3,1.4,1.4,2.3,1.4,2.3,1.7,1.9
Mario,Suarez,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,6781,0,0,0,0,0,0,0,0.0,68,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,229,0,69,0,0,0,8,0,0,0,Everton,Man City,Sunderland,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac,Success,MID,WAT,5700000,0,12,0.28571428571428603,5.0125313283208e-08,2.10526315789474e-06,0,3803,1,1,0,0,0,1,0,2.1,40,-3,0,12,3,0.0,0,0.0,0,0,1,0,0,0.0,1709,0,0,0,0,191,63,0,0,39,Everton,Man City,Sunderland,Crystal Palace,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
