FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Eric,Dier,MID,TOT,4700000,3,70,2.4,5.1063829787234e-07,1.48936170212766e-05,0,270431,4,22,0,0,0,0,0,14.9,7264,-3,0,70,3,0.6,0,2.7,0,0,14,0,1,2.6,186306,0,0,0,0,2464,3433,0,0,402,Bournemouth,Chelsea,Stoke,Man City,Brighton,0.0,0.0,1.3,1.5,1.3,1.3,2.0,1.6,2.2,102.5
Mame Biram,Diouf,FWD,STK,5300000,1,77,2.8,5.283018867924531e-07,1.4528301886792498e-05,0,589776,5,43,0,0,0,5,0,14.5,28678,-2,0,77,2,0.2,0,1.3,6,0,5,0,2,2.1,651160,0,0,0,0,2012,131,0,0,275,Man City,Everton,Arsenal,Tottenham,West Ham,0.0,0.0,0.0,0.0,0.0,2.7,1.8,3.1,2.1,122.5
Abdoulaye,Doucoure,MID,WAT,5500000,3,117,4.2,7.636363636363641e-07,2.12727272727273e-05,0,1342073,7,46,0,0,0,7,0,21.3,39959,5,0,117,-5,0.5,0,2.7,16,0,8,0,3,15.4,2062587,0,0,0,1,2520,26352,0,0,554,Arsenal,Liverpool,Bournemouth,Burnley,Huddersfield,3.3,2.9,5.0,4.7,3.9,4.7,3.1,5.0,2.6,162.3
Aleksandar,Dragovic,DEF,LEI,4900000,0,21,0.7241379310344829,1.4778325123152698e-07,4.28571428571429e-06,0,13959,1,10,0,0,0,0,0,4.3,2725,-1,0,21,1,0.0,0,0.0,0,0,3,0,0,0.2,21651,0,0,0,0,584,67,0,0,132,West Brom,Brighton,Newcastle,Burnley,Southampton,0.4,0.0,0.4,0.4,0.4,0.4,0.4,0.5,0.4,17.7
Daniel,Drinkwater,MID,CHE,4800000,2,24,0.827586206896552,1.7241379310344802e-07,5e-06,0,23107,0,7,0,0,0,1,0,5.0,256,-2,0,24,2,0.3,0,1.3,1,0,1,0,0,0.2,15231,0,0,0,1,520,672,0,0,117,Crystal Palace,Tottenham,West Ham,Southampton,Huddersfield,0.4,0.0,0.4,0.4,0.4,0.5,0.4,0.4,0.4,25.7
Martin,Dubravka,GLK,NEW,4500000,1,12,0.413793103448276,9.195402298850569e-08,2.66666666666667e-06,0,2321,0,4,0,7,0,0,0,2.7,657,0,0,12,0,0.9,0,4.0,2,0,1,0,0,0.3,20607,0,0,0,1,270,6103,0,0,51,Southampton,Huddersfield,Leicester,Arsenal,Everton,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.9
Shane,Duffy,DEF,BHA,4600000,6,81,2.9,6.30434782608696e-07,1.7608695652173898e-05,0,236526,6,37,0,0,0,0,0,17.6,5264,1,0,81,-1,0.7,0,3.3,7,0,8,0,2,3.4,410405,0,0,0,1,2502,9501,0,0,486,Everton,Leicester,Huddersfield,Crystal Palace,Tottenham,1.6,0.0,3.0,3.5,3.3,3.2,2.4,3.3,2.3,119.1
Paul,Dummett,DEF,NEW,4200000,1,24,0.827586206896552,1.9704433497536897e-07,5.71428571428571e-06,0,45466,1,11,0,0,0,0,0,5.7,924,-3,0,24,3,0.6,0,2.7,0,0,2,0,0,0.5,34406,0,0,0,0,825,5034,0,0,144,Southampton,Huddersfield,Leicester,Arsenal,Everton,0.4,0.0,0.5,0.4,0.5,0.4,0.4,0.4,0.4,27.1
Lewis,Dunk,DEF,BHA,4500000,8,73,2.5,5.55555555555556e-07,1.62222222222222e-05,0,212963,6,38,0,0,0,1,0,16.2,4883,0,0,73,0,0.7,0,3.3,5,0,8,0,0,3.2,311607,4,0,0,1,2610,10613,0,0,478,Everton,Leicester,Huddersfield,Crystal Palace,Tottenham,1.2,0.0,2.4,2.9,2.8,2.6,1.9,2.6,1.8,121.3
Nathan,Dyer,MID,SWA,4400000,1,34,1.17241379310345,2.66457680250784e-07,7.727272727272729e-06,0,15188,2,16,0,0,0,0,0,7.7,1443,-1,0,34,1,0.4,0,1.7,0,0,3,0,1,0.3,27311,0,0,0,0,1024,475,0,0,125,Huddersfield,Man Utd,West Brom,Everton,Man City,0.6,0.0,0.6,0.6,0.9,0.6,0.6,0.6,0.6,31.8
