FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Wayne,Routledge,MID,SWA,5200000,0,9,0.47368421052631604,9.109311740890688e-08,1.7307692307692298e-06,0,4843,1,3,0,0,0,0,0,1.7,47,-3,0,9,3,0.1,0,0.3,0,0,1,0,0,0.1,1279,0,0,0,0,217,12,0,0,21,Liverpool,Watford,Tottenham,Newcastle,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.3
Antonio,Rudiger,DEF,CHE,5800000,6,55,4.2,7.24137931034483e-07,9.48275862068966e-06,0,116171,3,10,0,0,0,1,0,9.5,1866,-2,0,55,2,0.7,0,4.2,6,0,5,0,1,2.0,76148,0,0,0,1,1104,5184,0,0,273,Brighton,Stoke,Arsenal,Leicester,Brighton,6.0,5.2,3.6,4.3,4.9,4.7,5.6,5.6,3.4,3.9,6.0,4.7,5.2,6.2,4.7,5.6,4.1,4.9,4.2,38.9
Mathew,Ryan,GLK,BHA,4500000,6,76,4.0,8.888888888888891e-07,1.68888888888889e-05,0,36051,0,23,0,58,0,0,0,16.9,3139,0,0,76,0,1.1,0,5.0,7,0,7,0,0,1.3,61912,0,0,0,2,1710,5131,0,0,362,Chelsea,Newcastle,Bournemouth,West Brom,Chelsea,4.1,3.5,4.7,4.0,5.2,4.0,6.0,3.9,4.5,5.4,2.6,3.3,4.3,5.5,4.6,5.1,4.0,5.0,3.4,40.3
Abdelhamid,Sabiri,MID,HUD,4900000,0,9,0.47368421052631604,9.66702470461869e-08,1.8367346938775502e-06,0,927,1,4,0,0,0,0,0,1.8,15,-1,0,9,1,0.0,0,0.0,0,0,1,0,1,0.0,933,0,0,0,0,187,11,0,0,26,Stoke,Burnley,Leicester,West Ham,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.2
Henri,Saivet,MID,NEW,4400000,8,8,0.421052631578947,9.56937799043062e-08,1.81818181818182e-06,0,2244,0,2,0,0,0,1,0,1.8,111,-1,0,8,1,0.3,0,1.3,1,0,0,0,0,0.0,3145,0,0,0,0,83,799,0,0,27,Man City,Brighton,Stoke,Swansea,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.8
Diafra,Sakho,FWD,WHU,5500000,0,24,1.26315789473684,2.2966507177033502e-07,4.3636363636363605e-06,0,18616,2,11,0,0,0,2,0,4.4,2526,0,0,24,0,0.2,0,1.3,1,0,0,0,1,0.3,21500,0,0,0,0,294,919,0,0,65,Bournemouth,West Brom,Tottenham,Huddersfield,Bournemouth,0.6,0.0,1.6,0.6,1.0,1.0,0.6,0.8,0.6,0.6,0.7,0.9,0.8,0.6,1.2,0.6,0.7,0.6,1.0,21.2
Mamadou,Sakho,DEF,CRY,4800000,0,40,2.1052631578947403,4.3859649122807e-07,8.33333333333333e-06,0,115085,1,16,0,0,0,1,0,8.3,5913,-2,0,40,2,0.6,0,3.0,10,0,2,0,1,0.6,131328,0,0,0,1,834,274,0,0,210,Arsenal,Man City,Southampton,Burnley,Arsenal,0.0,0.0,0.0,0.0,0.0,1.7,1.8,1.1,2.0,1.9,1.6,1.3,1.8,1.3,2.4,2.0,1.5,1.5,2.2,32.4
Bakary,Sako,MID,CRY,4900000,1,22,1.1578947368421102,2.3630504833512397e-07,4.48979591836735e-06,0,5550,0,6,0,0,0,2,0,4.5,771,-1,0,22,1,0.5,0,2.5,0,0,0,0,0,0.1,6030,0,0,0,0,200,192,0,0,69,Arsenal,Man City,Southampton,Burnley,Arsenal,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,20.9
Mohamed,Salah,MID,LIV,10100000,10,145,7.6,7.52475247524752e-07,1.4356435643564401e-05,0,1000133,0,17,0,0,0,15,0,14.5,4905,11,-1,145,-11,0.8,1,8.3,15,0,7,0,5,58.9,2714091,0,0,0,6,1436,54738,1,0,417,Swansea,Leicester,Burnley,Man City,Swansea,10.7,10.4,9.1,7.7,9.5,8.7,10.0,9.5,11.3,10.8,6.8,9.6,8.8,8.9,10.8,9.1,10.5,8.6,10.8,223.8
Renato,Sanches,MID,SWA,4500000,0,15,0.7894736842105259,1.75438596491228e-07,3.3333333333333304e-06,0,157454,1,6,0,0,0,0,0,3.3,1107,-5,0,15,5,0.1,0,0.3,0,0,2,0,0,0.3,167370,0,0,0,0,507,111,0,0,57,Liverpool,Watford,Tottenham,Newcastle,Liverpool,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.9
