FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Philippe,Coutinho,MID,LIV,8800000,13,43,3.5833333333333304,4.0719696969697e-07,4.88636363636364e-06,0,712395,0,8,0,0,0,3,0,4.9,11098,-2,0,43,2,0.5,0,4.3,8,0,2,0,2,5.1,640590,0,0,0,2,482,23803,0,0,160,Chelsea,Stoke,Brighton,Everton,West Brom,3.4,2.3,2.1,5.2,4.5,2.8,1.8,4.6,4.3,2.3,2.7,3.5,2.2,3.8,2.8,4.8,4.8,1.8,3.2,2.4,3.2,4.6,2.4,4.0,2.6,3.7,70.2
Martin,Cranie,DEF,HUD,4000000,1,2,0.166666666666667,4.1666666666666696e-08,5e-07,0,9193,0,2,0,0,0,0,0,0.5,1137,0,0,2,0,0.2,0,0.7,0,0,0,0,0,0.3,13775,0,0,0,0,89,3443,0,0,22,Man City,Arsenal,Everton,Brighton,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.2
Aaron,Cresswell,DEF,WHU,5000000,1,31,2.8,5.6e-07,6.2e-06,0,53345,0,18,0,0,0,0,0,6.2,3505,0,0,31,0,0.3,0,1.7,3,0,3,0,1,0.9,64839,0,0,0,0,864,1118,0,0,156,Leicester,Everton,Man City,Chelsea,Arsenal,2.6,1.5,1.6,2.5,3.8,2.1,3.2,1.9,2.2,3.6,2.2,2.8,4.2,2.4,3.0,1.7,2.1,3.0,3.0,2.9,2.3,3.0,1.4,2.2,1.7,2.6,37.7
Peter,Crouch,FWD,STK,4800000,1,23,1.9166666666666698,3.99305555555556e-07,4.79166666666667e-06,0,130472,1,3,0,0,0,3,0,4.8,6717,-2,0,23,2,0.5,0,2.3,4,0,0,0,0,2.0,103299,0,0,0,0,170,20417,0,0,94,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,1.7,1.8,1.3,1.0,1.0,1.8,1.9,1.0,1.1,1.7,1.0,1.8,1.3,1.3,1.6,1.3,1.3,1.2,2.1,1.0,1.2,1.2,1.3,1.0,2.4,1.4,29.7
Charlie,Daniels,DEF,BOU,4900000,8,45,3.8,7.75510204081633e-07,9.183673469387759e-06,0,532004,0,14,0,0,0,1,0,9.2,9085,-1,-1,45,1,1.1,0,5.3,4,0,3,0,1,11.8,269970,0,0,0,0,1080,92901,1,0,223,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,3.8,4.4,4.3,4.5,2.5,5.1,3.1,5.2,3.8,4.2,5.4,3.9,4.1,4.4,3.9,4.6,3.1,4.5,5.2,4.8,5.7,3.2,4.4,4.3,3.7,3.8,48.7
,Danilo,DEF,MCI,5100000,0,24,2.0,3.9215686274509797e-07,4.7058823529411794e-06,0,292014,1,1,0,0,0,0,0,4.7,5860,-4,0,24,4,0.0,0,0.0,0,0,3,0,1,2.0,149528,0,0,0,0,334,1228,0,0,102,Huddersfield,Southampton,West Ham,Man Utd,Swansea,1.5,1.5,2.0,1.0,1.5,1.6,1.4,1.3,2.5,1.6,1.2,1.7,2.0,1.5,1.3,1.0,1.2,1.5,1.8,1.0,1.6,1.5,1.2,1.6,2.2,1.7,18.5
Scott,Dann,DEF,CRY,4700000,1,13,1.2,2.5531914893617e-07,2.7659574468085098e-06,0,50224,3,20,0,0,0,0,0,2.8,1036,-3,0,13,3,0.2,0,1.0,0,0,0,0,0,0.6,21483,0,0,0,0,990,4992,0,0,131,Stoke,Brighton,West Brom,Bournemouth,Watford,0.8,0.6,0.6,0.7,0.8,0.6,0.6,1.1,0.6,0.6,0.8,0.6,0.6,0.9,0.6,0.9,0.8,0.6,0.6,1.0,0.6,0.9,0.7,0.7,0.6,1.1,45.0
Karl,Darlow,GLK,NEW,4400000,0,0,0.0,0.0,0.0,0,12107,0,0,0,0,0,0,0,0.0,181,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,765,0,0,0,0,0,38,0,0,0,Watford,West Brom,Chelsea,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matteo,Darmian,DEF,MUN,5100000,0,8,0.666666666666667,1.30718954248366e-07,1.56862745098039e-06,0,29300,0,2,0,0,0,0,0,1.6,506,-4,0,8,4,0.1,0,0.3,0,0,1,0,0,0.2,5513,0,0,0,0,181,210,0,0,42,Brighton,Watford,Arsenal,Man City,Bournemouth,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.4,0.3,0.5,0.3,0.3,4.2
,David Luiz,DEF,CHE,5900000,0,29,3.6,6.10169491525424e-07,4.91525423728814e-06,0,981038,2,9,0,0,0,1,0,4.9,44627,-1,0,29,1,0.3,0,2.0,0,0,3,0,1,11.6,317870,0,0,0,0,716,2459,0,1,165,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,3.4,2.9,3.8,4.1,4.1,3.4,3.0,4.0,3.6,2.9,3.0,4.4,3.3,4.9,4.4,2.7,3.3,5.0,4.0,3.7,4.3,4.4,4.7,3.9,4.2,3.6,26.3
