FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Eric Maxim,Choupo-Moting,MID,STK,5600000,15,21,5.3,9.46428571428571e-07,3.75e-06,0,22831,0,3,0,0,0,2,0,3.8,17750,1,-1,21,-1,1.2,0,6.7,3,0,1,0,0,4.7,234500,0,0,0,1,288,230228,1,0,55,Newcastle,Chelsea,Southampton,Man City,Bournemouth,5.2,7.3,6.9,3.9,8.0,5.2,8.0,3.8,5.3,8.0,6.7,5.7,4.7,8.0,6.9,3.5,4.3,7.9,2.6,7.6,5.2,4.9,7.2,3.8,4.8,6.3,8.0,3.3,5.1,3.1,7.3,2.6,8.0,8.0,34.0
Andreas,Christensen,DEF,CHE,5500000,0,4,0.33333333333333304,6.06060606060606e-08,7.27272727272727e-07,0,3881,0,4,0,0,0,0,0,0.7,943,0,0,4,0,0.2,0,1.0,0,0,0,0,0,0.2,2891,0,0,0,0,164,172,0,0,29,Arsenal,Stoke,Man City,Crystal Palace,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,6.3
Ciaran,Clark,DEF,NEW,4500000,6,24,6.0,1.33333333333333e-06,5.333333333333329e-06,0,29915,0,3,0,0,0,1,0,5.3,13437,0,0,24,0,1.7,0,7.7,3,0,2,0,0,3.2,131580,0,0,0,1,360,74349,0,0,88,Stoke,Brighton,Liverpool,Southampton,Crystal Palace,9.0,7.7,9.0,8.3,8.0,7.1,8.5,5.5,6.9,7.7,7.2,8.1,7.7,4.3,6.0,6.0,8.3,6.7,5.7,6.5,6.8,8.0,7.0,7.6,5.0,7.5,9.0,8.7,5.2,9.0,6.2,8.3,9.0,7.4,16.1
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,11978,0,0,0,0,0,0,0,0.0,2256,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,3637,0,0,0,0,0,92,0,0,0,Crystal Palace,Man Utd,Stoke,Newcastle,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,6,14,3.5,7e-07,2.8e-06,0,5860,0,3,0,0,0,0,0,2.8,2367,0,0,14,0,0.8,0,4.0,0,0,3,0,1,0.4,12204,0,0,0,0,360,7484,0,0,59,Man City,Swansea,West Brom,Arsenal,Chelsea,1.8,5.2,3.4,5.0,4.1,3.1,4.9,5.2,4.6,1.8,1.8,4.3,4.9,2.5,3.7,3.4,2.0,3.8,2.0,3.7,3.1,2.3,3.2,3.9,2.0,3.3,2.6,3.8,2.3,3.5,3.1,4.9,2.7,2.6,14.5
Sam,Clucas,MID,SWA,5000000,2,5,2.5,5e-07,1e-06,0,1264,0,1,0,0,0,0,0,1.0,426,0,0,5,0,0.5,0,2.5,0,0,1,0,0,0.0,3046,0,0,0,0,180,305,0,0,31,Tottenham,Watford,West Ham,Huddersfield,Leicester,3.3,1.2,2.0,1.2,1.3,2.1,1.2,2.9,1.6,2.7,2.0,1.2,1.2,3.3,1.2,1.7,3.1,1.2,3.1,1.7,2.4,2.4,1.2,2.4,2.9,2.3,1.2,1.6,2.2,1.6,2.5,1.2,3.5,1.2,6.0
Nathaniel,Clyne,DEF,LIV,5400000,0,0,0.0,0.0,0.0,0,19620,0,0,0,0,0,0,0,0.0,2582,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,740,0,0,0,0,0,39,0,0,0,Burnley,Leicester,Newcastle,Man Utd,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack,Colback,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,23035,0,0,0,0,0,0,0,0.0,4057,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.8,13399,0,0,0,0,0,2268,0,0,0,Stoke,Brighton,Liverpool,Southampton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,4000000,0,0,0.0,0.0,0.0,0,21025,0,0,0,0,0,0,0,0.0,4183,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1.7,7455,0,0,0,0,0,1656,0,0,0,Leicester,Burnley,Tottenham,Swansea,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6500000,0,0,0.0,0.0,0.0,0,5132,0,0,0,0,0,0,0,0.0,592,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,295,0,0,0,0,0,47,0,0,0,Man Utd,Bournemouth,Burnley,Brighton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Collins,DEF,WHU,4400000,6,7,0.583333333333333,1.32575757575758e-07,1.59090909090909e-06,0,5672,0,3,0,0,0,0,0,1.6,1606,-1,1,7,1,0.5,0,2.3,0,0,1,0,0,0.3,5450,0,0,0,0,180,4551,-1,0,35,West Brom,Tottenham,Swansea,Burnley,Brighton,0.3,0.3,0.3,0.3,0.4,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,6.5
Francis,Coquelin,MID,ARS,4500000,1,2,0.166666666666667,3.7037037037037e-08,4.44444444444444e-07,0,16389,0,2,0,0,0,0,0,0.4,4717,0,0,2,0,0.2,0,0.7,0,0,0,0,0,0.7,5458,0,0,0,0,68,340,0,0,9,Chelsea,West Brom,Brighton,Watford,Everton,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Jack,Cork,MID,BUR,4500000,3,12,3.0,6.66666666666667e-07,2.66666666666667e-06,0,64895,0,4,0,0,0,0,0,2.7,16416,0,0,12,0,0.5,0,2.3,0,0,1,0,1,3.8,195852,0,0,0,0,360,28073,0,0,68,Liverpool,Huddersfield,Everton,West Ham,Man City,1.6,2.8,3.5,4.5,2.5,3.1,3.0,2.4,4.5,3.7,2.4,1.5,3.4,2.4,1.5,1.5,2.2,4.2,3.5,2.1,3.2,2.1,4.5,2.4,4.1,2.0,2.7,2.2,3.2,3.7,1.9,2.6,2.1,4.1,14.5
,Costa,FWD,CHE,9600000,0,0,0.0,0.0,0.0,0,56295,0,0,0,0,0,0,0,0.0,2433,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.5,1589,0,0,0,0,0,196,0,0,0,Arsenal,Stoke,Man City,Crystal Palace,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5500000,2,15,3.8,6.90909090909091e-07,2.7272727272727298e-06,0,180311,0,5,0,9,0,0,0,2.7,30114,0,0,15,0,0.9,0,4.7,2,0,1,0,0,14.3,48479,0,0,0,0,360,10609,0,0,65,Arsenal,Stoke,Man City,Crystal Palace,Watford,5.7,3.3,3.0,5.0,4.1,4.1,3.7,4.6,2.3,2.8,4.0,2.9,3.8,4.0,3.0,5.1,5.4,1.9,4.3,4.5,4.9,5.7,5.2,2.6,3.2,5.1,3.6,4.0,5.7,4.4,4.8,5.7,5.7,3.9,6.3
