FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Cuco,Martina,DEF,EVE,4200000,0,55,2.6,6.19047619047619e-07,1.30952380952381e-05,0,203812,2,30,0,0,0,0,0,13.1,6656,-3,1,55,3,0.0,0,0.0,0,0,5,0,2,1.3,242958,0,0,0,0,1830,347,-1,0,367,Huddersfield,Southampton,West Ham,,,1.7,2.8,2.2,74.9
Damian Emiliano,Martinez,GLK,ARS,4000000,0,0,0.0,0.0,0.0,0,29044,0,0,0,0,0,0,0,0.0,80,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.6,1495,0,0,0,0,0,8,0,0,0,Man Utd,Burnley,Leicester,Huddersfield,,0.0,0.0,0.0,0.0
,Martinez,FWD,WHU,5000000,0,0,0.0,0.0,0.0,0,5109,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,5062,0,0,0,0,0,4,0,0,0,Man City,Leicester,Man Utd,Everton,,0.0,0.0,0.0,0.0
Bruno,Martins Indi,DEF,STK,4900000,2,19,0.5428571428571429,1.1078717201166198e-07,3.8775510204081595e-06,0,3355,3,28,0,0,0,0,0,3.9,83,-1,0,19,1,0.2,0,1.0,0,0,1,0,0,0.0,3287,0,0,0,0,1191,26,0,0,167,Liverpool,Crystal Palace,Swansea,,,0.3,0.4,0.3,34.6
Brandon,Mason,DEF,WAT,3900000,0,0,0.0,0.0,0.0,0,99386,0,0,0,0,0,0,0,0.0,570,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,1.2,89610,0,0,0,0,0,54,0,0,0,Tottenham,Newcastle,Man Utd,,,0.0,0.0,0.0,0.0
Conor,Masterson,DEF,LIV,4000000,0,0,0.0,0.0,0.0,0,128,0,0,0,0,0,0,0,0.0,44,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,323,0,0,0,0,0,76,0,0,0,Stoke,Chelsea,Brighton,,,0.0,0.0,0.0,0.0
Arthur,Masuaku,DEF,WHU,4200000,1,54,2.3,5.476190476190479e-07,1.28571428571429e-05,0,167525,5,29,0,0,0,0,0,12.9,2761,-3,0,54,3,0.9,0,3.8,2,0,4,0,3,1.0,211370,0,0,0,1,1668,7114,0,0,306,Man City,Leicester,Man Utd,Everton,,1.9,3.5,2.0,72.7
Juan,Mata,MID,MUN,6800000,0,92,2.7058823529411806,3.97923875432526e-07,1.35294117647059e-05,0,275053,1,9,0,0,0,3,0,13.5,951,-2,0,92,2,0.2,0,1.3,6,0,14,0,4,2.0,212503,0,0,0,1,1739,306,0,0,379,Arsenal,Brighton,West Ham,Watford,,2.9,3.3,2.6,156.3
Nemanja,Matic,MID,MUN,4700000,0,87,2.6,5.53191489361702e-07,1.85106382978723e-05,0,1110928,6,24,0,0,0,1,0,18.5,4775,-3,0,87,3,0.4,0,2.0,3,0,16,0,1,9.1,651143,0,0,0,1,2937,4462,0,0,538,Arsenal,Brighton,West Ham,Watford,,2.8,3.1,2.5,117.6
Joel,Matip,DEF,LIV,5400000,0,81,3.2,5.92592592592593e-07,1.4999999999999999e-05,0,234993,3,27,0,0,0,1,0,15.0,888,-1,0,81,1,0.1,0,0.5,3,0,9,0,0,1.7,147004,0,0,0,1,1995,26,0,0,470,Stoke,Chelsea,Brighton,,,0.0,0.0,0.0,78.1
Konstantinos,Mavropanos,DEF,ARS,4200000,0,0,0.0,0.0,0.0,0,668,0,0,0,0,0,0,0,0.0,21,-3,1,0,3,0.0,0,0.0,0,0,0,0,0,0.0,876,0,0,0,0,0,47,-1,0,0,Man Utd,Burnley,Leicester,Huddersfield,,0.0,0.0,0.0,0.0
