FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Sofiane,Boufal,MID,SOU,5700000,0,55,1.61764705882353,2.83797729618163e-07,9.64912280701754e-06,0,23848,1,24,0,0,0,2,0,9.6,122,-3,0,55,3,0.1,0,0.3,2,0,1,0,2,0.2,17921,0,0,0,0,1206,39,0,0,215,Bournemouth,Everton,Swansea,Man City,,1.1,1.9,0.8,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,201532,0,0,0,0,0,0,0,0.0,1499,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.2,111763,0,0,0,0,0,1154,0,0,0,Southampton,Swansea,Burnley,,,0.0,0.0,0.0,0.0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.981132075471699e-07,1.05660377358491e-05,0,212851,3,12,0,0,0,1,0,10.6,72,-2,0,56,2,0.0,0,0.0,7,0,6,0,4,0.4,199030,0,0,0,1,1277,18,0,0,216,Brighton,Arsenal,Bournemouth,,,0.0,0.0,0.0,97.3
Claudio,Bravo,GLK,MCI,4500000,0,1,0.0294117647058824,6.5359477124183e-09,2.22222222222222e-07,0,40447,0,0,0,0,0,0,0,0.2,162,-5,0,1,5,0.0,0,0.0,0,0,0,0,0,0.5,9312,0,0,0,0,44,116,0,0,4,West Ham,Huddersfield,Brighton,Southampton,,0.0,0.0,0.0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.628571428571429,1.4617940199335498e-07,5.11627906976744e-06,0,145841,3,16,0,0,0,1,0,5.1,62,-2,0,22,2,0.0,0,0.0,0,0,2,0,0,0.5,115455,0,0,0,0,795,21,0,1,149,Tottenham,Newcastle,Man Utd,,,0.3,0.3,0.3,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.264705882352941,6.016042780748661e-08,2.04545454545455e-06,0,8916,1,1,0,0,0,0,0,2.0,13,-1,0,9,1,0.0,0,0.0,0,0,3,0,0,0.1,4214,0,0,0,0,269,6,0,0,25,Chelsea,Bournemouth,Southampton,Stoke,,0.1,0.2,0.1,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.3076923076923105e-07,3.07692307692308e-06,0,3968,0,8,0,0,0,0,0,3.1,12,-3,0,16,3,0.0,0,0.0,0,0,0,0,0,0.0,710,0,0,0,0,302,16,0,0,60,Burnley,Man Utd,Man City,Liverpool,,0.0,0.0,0.0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,166,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,329,0,0,0,0,0,18,0,0,0,Man City,Leicester,Man Utd,Everton,,0.0,0.0,0.0,0.0
,Bruno,DEF,BHA,4500000,0,68,3.1,6.88888888888889e-07,1.5111111111111099e-05,0,108293,3,20,0,0,0,0,0,15.1,864,0,0,68,0,0.1,0,0.5,5,0,8,0,0,0.8,136963,0,0,0,0,1746,79,0,0,355,Burnley,Man Utd,Man City,Liverpool,,2.5,5.7,2.5,47.7
Chris,Brunt,MID,WBA,5000000,5,72,3.1,6.2e-07,1.4400000000000001e-05,0,140047,3,21,0,0,0,0,0,14.4,315,-5,0,72,5,0.6,0,2.8,6,0,7,0,7,0.5,128277,0,0,0,0,1647,333,0,0,344,Newcastle,Tottenham,Crystal Palace,,,2.3,2.6,2.2,109.5
Harry,Bunn,MID,HUD,4500000,0,0,0.0,0.0,0.0,0,630,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,105,0,0,0,0,0,2,0,0,0,Everton,Man City,Chelsea,Arsenal,,0.0,0.0,0.0,0.0
Oliver,Burke,MID,WBA,4900000,1,23,0.6571428571428571,1.34110787172012e-07,4.69387755102041e-06,0,4142,0,11,0,0,0,0,0,4.7,17,-6,0,23,6,0.1,0,0.5,0,0,0,0,2,0.0,4424,0,0,0,0,356,6,0,0,75,Newcastle,Tottenham,Crystal Palace,,,0.3,0.3,0.3,22.5
Reece,Burke,DEF,WHU,4000000,0,0,0.0,0.0,0.0,0,1942,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2919,0,0,0,0,0,4,0,0,0,Man City,Leicester,Man Utd,Everton,,0.0,0.0,0.0,0.0
Matt,Butcher,MID,BOU,4500000,0,0,0.0,0.0,0.0,0,183,0,0,0,0,0,0,0,0.0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,218,0,0,0,0,0,6,0,0,0,Southampton,Swansea,Burnley,,,0.0,0.0,0.0,0.0
Jack,Butland,GLK,STK,5000000,5,110,3.4,6.8e-07,2.2e-05,0,181192,0,58,0,134,0,0,0,22.0,4029,0,0,110,0,0.6,0,3.0,13,0,5,0,0,2.6,159586,1,0,0,2,2880,530,0,0,622,Liverpool,Crystal Palace,Swansea,,,3.1,4.8,3.0,92.8
Sam,Byram,DEF,WHU,4200000,0,5,1.0,2.38095238095238e-07,1.19047619047619e-06,0,10712,1,7,0,0,0,0,0,1.2,48,-3,0,5,3,0.0,0,0.0,0,0,0,0,0,0.1,3388,0,0,0,0,246,8,0,0,41,Man City,Leicester,Man Utd,Everton,,0.0,0.0,0.0,14.5
Willy,Caballero,GLK,CHE,4800000,0,9,0.264705882352941,5.51470588235294e-08,1.875e-06,0,13068,0,3,0,6,0,0,0,1.9,145,-2,0,9,2,0.1,0,0.5,0,0,1,0,0,0.1,10713,0,0,0,0,180,49,0,0,43,Swansea,Liverpool,Huddersfield,Newcastle,,0.1,0.2,0.1,4.5
Yohan,Cabaye,MID,CRY,5300000,3,66,1.8857142857142901,3.5579514824797797e-07,1.2452830188679199e-05,0,34903,6,35,0,0,0,0,0,12.5,127,-2,0,66,2,0.5,0,2.8,3,0,6,0,4,0.2,19739,0,0,0,0,2132,212,0,0,377,Leicester,Stoke,West Brom,,,1.3,1.1,1.6,144.0
Gary,Cahill,DEF,CHE,6200000,0,61,1.79411764705882,2.89373814041746e-07,9.83870967741936e-06,0,609000,1,24,0,0,0,0,0,9.8,427,-3,0,61,3,0.2,0,1.0,2,0,7,0,0,3.0,86922,0,0,0,0,1812,744,0,1,381,Swansea,Liverpool,Huddersfield,Newcastle,,1.0,3.3,0.9,58.6
Dominic,Calvert-Lewin,FWD,EVE,5000000,1,88,2.8,5.6e-07,1.76e-05,0,1162954,4,28,0,0,0,4,0,17.6,17391,0,0,88,0,0.4,0,1.8,3,0,6,0,8,4.2,1296739,0,0,0,1,1871,1741,0,0,255,Huddersfield,Southampton,West Ham,,,0.0,0.0,0.0,130.2
Rafael,Camacho,MID,LIV,4500000,0,0,0.0,0.0,0.0,0,34,0,0,0,0,0,0,0,0.0,13,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,62,0,0,0,0,0,16,0,0,0,Stoke,Chelsea,Brighton,,,0.0,0.0,0.0,0.0
Geoff,Cameron,DEF,STK,4300000,0,33,1.6,3.7209302325581396e-07,7.674418604651159e-06,0,43264,2,30,0,0,0,0,0,7.7,264,-2,0,33,2,0.1,0,0.3,0,0,2,0,0,0.3,31610,0,0,0,0,1522,9,0,0,220,Liverpool,Crystal Palace,Swansea,,,0.9,1.9,0.9,39.0
Tyrese,Campbell,FWD,STK,4500000,1,3,0.0857142857142857,1.9047619047619002e-08,6.66666666666667e-07,0,16831,0,1,0,0,0,0,0,0.7,1814,0,0,3,0,0.1,0,0.5,0,0,0,0,0,0.5,39823,0,0,0,0,62,1835,0,0,6,Liverpool,Crystal Palace,Swansea,,,0.0,0.0,0.0,4.1
Emre,Can,MID,LIV,4900000,0,92,3.5,7.142857142857141e-07,1.87755102040816e-05,0,727081,8,29,0,0,0,3,0,18.8,7073,-1,0,92,1,0.0,0,0.0,10,0,8,0,6,4.2,550069,0,0,0,2,2089,26,0,0,499,Stoke,Chelsea,Brighton,,,0.0,0.0,0.0,120.6
Etienne,Capoue,MID,WAT,4800000,3,44,1.2571428571428602,2.61904761904762e-07,9.16666666666667e-06,0,300129,3,26,0,0,0,1,0,9.2,347,-7,0,44,7,0.5,0,2.3,0,0,4,0,1,1.4,42571,0,0,0,0,1357,87,0,0,215,Tottenham,Newcastle,Man Utd,,,0.6,0.8,0.6,52.4
Michael,Carrick,MID,MUN,4200000,0,1,0.0294117647058824,7.0028011204481796e-09,2.38095238095238e-07,0,117788,0,0,0,0,0,0,0,0.2,395,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.8,89920,0,0,0,0,24,369,0,0,0,Arsenal,Brighton,West Ham,Watford,,0.0,0.0,0.0,5.1
Andre,Carrillo,MID,WAT,5400000,0,63,2.3,4.25925925925926e-07,1.1666666666666698e-05,0,11823,2,31,0,0,0,1,0,11.7,87,-1,0,63,1,0.1,0,0.3,4,0,4,0,3,0.0,13237,0,0,0,0,1522,9,0,0,270,Tottenham,Newcastle,Man Utd,,,1.2,2.1,1.2,85.8
Guido,Carrillo,FWD,SOU,6000000,0,15,0.44117647058823495,7.35294117647059e-08,2.5e-06,0,13518,0,8,0,0,0,0,0,2.5,207,-5,0,15,5,0.1,0,0.3,0,0,1,0,1,0.0,15604,0,0,0,0,449,24,0,0,40,Bournemouth,Everton,Swansea,Man City,,0.2,0.4,0.2,29.4
Andy,Carroll,FWD,WHU,5700000,1,34,2.4,4.21052631578947e-07,5.96491228070175e-06,0,104419,5,13,0,0,0,3,0,6.0,757,-3,0,34,3,0.4,0,2.3,6,0,3,0,1,0.2,107034,0,0,0,1,703,672,0,1,101,Man City,Leicester,Man Utd,Everton,,2.1,4.1,2.6,56.4
Tom,Carroll,MID,SWA,4300000,2,79,2.4,5.58139534883721e-07,1.8372093023255802e-05,0,668894,3,36,0,0,0,0,0,18.4,6186,-2,0,79,2,0.8,0,3.3,6,0,7,0,4,4.4,601968,0,0,0,0,2347,15280,0,0,391,Chelsea,Bournemouth,Southampton,Stoke,,1.9,3.8,2.1,120.4
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,703,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,379,0,0,0,0,0,1,0,0,0,Watford,West Brom,Newcastle,Leicester,,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,5,9,0.25714285714285695,5.8441558441558394e-08,2.04545454545455e-06,0,1217,1,2,0,0,0,0,0,2.0,24,-1,0,9,1,0.5,0,2.0,0,0,1,0,0,0.0,518,0,0,0,0,225,59,0,0,46,Tottenham,Newcastle,Man Utd,,,0.1,0.1,0.1,6.3
Diego,Cavalieri,GLK,CRY,4000000,0,0,0.0,0.0,0.0,0,340,0,0,0,0,0,0,0,0.0,27,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1016,0,0,0,0,0,49,0,0,0,Leicester,Stoke,West Brom,,,0.0,0.0,0.0,0.0
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,2613,0,0,0,0,0,0,0,0.0,28,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,1116,0,0,0,0,0,28,0,0,0,Man Utd,Burnley,Leicester,Huddersfield,,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5300000,0,115,3.6,6.79245283018868e-07,2.16981132075472e-05,0,287746,1,45,0,81,0,0,0,21.7,10020,-2,0,115,2,0.2,0,0.8,7,0,10,0,0,4.5,178654,0,0,1,1,2859,482,0,0,576,Man Utd,Burnley,Leicester,Huddersfield,,2.4,6.6,2.6,65.4
,Cedric,DEF,SOU,4700000,0,72,2.6,5.53191489361702e-07,1.53191489361702e-05,0,721689,1,41,0,0,0,0,0,15.3,2756,-3,0,72,3,0.9,0,4.3,2,0,6,0,2,3.7,302725,0,0,0,1,2434,19804,0,0,421,Bournemouth,Everton,Swansea,Man City,,2.1,3.6,2.1,99.0
Nacer,Chadli,MID,WBA,5600000,0,13,0.37142857142857105,6.63265306122449e-08,2.32142857142857e-06,0,39669,1,2,0,0,0,1,0,2.3,17,-4,0,13,4,0.0,0,0.0,3,0,1,0,0,0.2,9758,0,0,0,1,174,10,0,0,30,Newcastle,Tottenham,Crystal Palace,,,0.0,0.2,0.2,10.1
Nathaniel,Chalobah,MID,WAT,4200000,0,12,2.4,5.714285714285711e-07,2.8571428571428602e-06,0,206869,1,7,0,0,0,0,0,2.9,283,-3,0,12,3,0.0,0,0.0,0,0,3,0,0,0.8,130335,0,0,0,0,429,100,0,0,37,Tottenham,Newcastle,Man Utd,,,0.0,0.0,0.0,19.6
Trevoh,Chalobah,DEF,CHE,4000000,0,0,0.0,0.0,0.0,0,512,0,0,0,0,0,0,0,0.0,57,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1222,0,0,0,0,0,104,0,0,0,Swansea,Liverpool,Huddersfield,Newcastle,,0.0,0.0,0.0,0.0
,Chamberlain,MID,LIV,5600000,4,94,2.7,4.821428571428571e-07,1.6785714285714302e-05,0,466168,3,28,0,0,0,3,0,16.8,30031,-4,0,94,4,0.5,0,2.8,5,0,5,0,7,2.6,405717,0,0,0,0,1718,2510,0,0,423,Stoke,Chelsea,Brighton,,,0.0,0.0,0.0,166.5
Calum,Chambers,DEF,ARS,4700000,1,16,0.47058823529411803,1.0012515644555699e-07,3.4042553191489397e-06,0,27977,1,12,0,0,0,0,0,3.4,922,-3,0,16,3,0.5,0,2.3,0,0,1,0,0,0.3,16979,0,0,0,0,698,398,0,0,120,Man Utd,Burnley,Leicester,Huddersfield,,0.2,0.4,0.2,34.5
,Chicharito,FWD,WHU,6700000,1,92,3.4,5.074626865671639e-07,1.37313432835821e-05,0,1944315,3,36,0,0,0,8,0,13.7,5842,-3,0,92,3,0.3,0,2.3,14,0,6,0,2,7.4,1267548,0,0,0,2,1513,1422,0,0,307,Man City,Leicester,Man Utd,Everton,,3.5,6.9,4.3,114.7
Benjamin,Chilwell,DEF,LEI,4400000,0,65,2.8,6.36363636363636e-07,1.4772727272727301e-05,0,119005,1,25,0,0,0,0,0,14.8,6792,-1,0,65,1,1.1,0,5.0,4,0,6,0,2,4.6,354941,0,0,0,1,1758,34110,0,1,353,Crystal Palace,West Ham,Arsenal,Tottenham,,3.5,6.7,2.4,74.3
Hamza,Choudhury,MID,LEI,4400000,0,5,0.147058823529412,3.34224598930481e-08,1.13636363636364e-06,0,423,0,3,0,0,0,0,0,1.1,17,-1,0,5,1,0.2,0,1.0,0,0,0,0,0,0.0,625,0,0,0,0,146,18,0,0,22,Crystal Palace,West Ham,Arsenal,Tottenham,,0.1,0.2,0.1,3.6
Eric Maxim,Choupo-Moting,MID,STK,5300000,0,107,3.6,6.79245283018868e-07,2.0188679245283e-05,0,800036,3,45,0,0,0,5,0,20.2,3622,-2,0,107,2,0.0,0,0.0,9,0,5,0,5,2.0,847057,0,0,0,2,2241,29,0,0,341,Liverpool,Crystal Palace,Swansea,,,0.0,0.0,0.0,168.1
Andreas,Christensen,DEF,CHE,5300000,0,76,3.0,5.66037735849057e-07,1.4339622641509399e-05,0,503022,0,19,0,0,0,0,0,14.3,7535,-2,0,76,2,0.1,0,0.5,4,0,8,0,0,2.3,585462,0,0,0,0,1887,2404,0,0,440,Swansea,Liverpool,Huddersfield,Newcastle,,2.4,7.0,2.2,55.2
Ciaran,Clark,DEF,NEW,4300000,0,64,3.2,7.441860465116279e-07,1.4883720930232598e-05,0,275953,3,30,0,0,0,2,0,14.9,2250,-2,0,64,2,0.0,0,0.0,6,0,4,0,1,1.6,294995,0,0,0,1,1745,693,0,0,317,West Brom,Watford,Tottenham,Chelsea,,3.5,5.9,3.7,67.5
Jordy,Clasie,MID,SOU,4400000,0,0,0.0,0.0,0.0,0,18845,0,0,0,0,0,0,0,0.0,7,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,4030,0,0,0,0,0,2,0,0,0,Bournemouth,Everton,Swansea,Man City,,0.0,0.0,0.0,0.0
Tom,Cleverley,MID,WAT,5000000,0,58,2.5,5e-07,1.1599999999999999e-05,0,102883,1,33,0,0,0,1,0,11.6,95,0,0,58,0,0.0,1,0.0,3,0,6,0,2,0.4,102454,0,0,0,1,1900,2,0,1,300,Tottenham,Newcastle,Man Utd,,,0.0,0.0,0.0,92.1
Sam,Clucas,MID,SWA,4700000,1,70,2.7,5.744680851063829e-07,1.48936170212766e-05,0,49937,2,28,0,0,0,3,0,14.9,1278,-3,0,70,3,0.4,0,1.8,4,0,5,0,1,0.4,68447,0,0,0,1,1837,345,0,0,282,Chelsea,Bournemouth,Southampton,Stoke,,2.3,4.6,2.6,69.0
Nathaniel,Clyne,DEF,LIV,5300000,0,6,0.17142857142857096,3.2345013477088896e-08,1.13207547169811e-06,0,28517,0,0,0,0,0,0,0,1.1,84,-2,0,6,2,0.3,0,1.5,0,0,1,0,0,0.2,2276,0,0,0,0,90,161,0,0,19,Stoke,Chelsea,Brighton,,,0.1,0.1,0.1,1.9
Jack,Colback,MID,NEW,4200000,0,0,0.0,0.0,0.0,0,117948,0,0,0,0,0,0,0,0.0,332,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.7,113567,0,0,0,0,0,15,0,0,0,West Brom,Watford,Tottenham,Chelsea,,0.0,0.0,0.0,0.0
Joel,Coleman,GLK,HUD,3900000,0,0,0.0,0.0,0.0,0,102085,0,0,0,0,0,0,0,0.0,2987,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.9,212746,0,0,0,0,0,3451,0,0,0,Everton,Man City,Chelsea,Arsenal,,0.0,0.0,0.0,0.0
Seamus,Coleman,DEF,EVE,6400000,6,30,0.857142857142857,1.33928571428571e-07,4.6875e-06,0,29880,0,8,0,0,0,0,0,4.7,1778,-1,0,30,1,0.6,0,3.8,0,0,3,0,1,0.5,35622,0,0,0,0,765,1141,0,0,147,Huddersfield,Southampton,West Ham,,,0.4,0.5,0.4,26.3
James,Collins,DEF,WHU,4300000,0,35,1.02941176470588,2.39398084815321e-07,8.139534883720931e-06,0,35170,3,19,0,0,0,1,0,8.1,651,-2,0,35,2,0.0,0,0.0,3,0,3,0,0,0.2,31655,0,0,0,0,1047,5,0,0,198,Man City,Leicester,Man Utd,Everton,,0.5,1.1,0.5,44.4
Francis,Coquelin,MID,ARS,4300000,0,7,1.0,2.3255813953488398e-07,1.62790697674419e-06,0,41428,0,6,0,0,0,0,0,1.6,37,-2,0,7,2,0.0,0,0.0,0,0,0,0,0,0.5,15799,0,0,0,0,164,2,0,0,35,Man Utd,Burnley,Leicester,Huddersfield,,0.0,0.0,0.0,4.8
Jack,Cork,MID,BUR,4500000,2,93,2.7,6e-07,2.06666666666667e-05,0,392697,7,32,0,0,0,2,0,20.7,10492,0,0,93,0,0.8,0,3.4,6,0,11,0,1,3.9,543909,0,0,0,1,3150,8642,0,0,494,Brighton,Arsenal,Bournemouth,,,2.4,1.7,2.5,110.6
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,66544,0,0,0,0,0,0,0,0.0,8,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2455,0,0,0,0,0,3,0,0,0,Swansea,Liverpool,Huddersfield,Newcastle,,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5300000,0,119,3.7,6.981132075471699e-07,2.24528301886792e-05,0,887549,1,31,0,65,0,0,0,22.5,4455,-2,0,119,2,0.3,0,1.5,2,0,13,0,0,10.3,512012,0,0,0,0,2880,6072,0,0,562,Swansea,Liverpool,Huddersfield,Newcastle,,3.4,9.3,3.0,47.7
Philippe,Coutinho,MID,LIV,9100000,0,103,7.4,8.131868131868129e-07,1.13186813186813e-05,0,1730517,0,14,0,0,0,7,0,11.3,291,1,0,103,-1,0.0,0,0.0,15,0,5,0,7,3.0,1531119,0,0,0,4,1109,2,0,0,381,Stoke,Chelsea,Brighton,,,0.0,0.0,0.0,169.4
Martin,Cranie,DEF,HUD,4000000,0,2,0.7,1.75e-07,5e-07,0,25284,0,7,0,0,0,0,0,0.5,90,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.2,24164,0,0,0,0,179,6,0,0,35,Everton,Man City,Chelsea,Arsenal,,0.0,0.0,0.0,4.7
Aaron,Cresswell,DEF,WHU,4900000,0,99,3.1,6.3265306122449e-07,2.02040816326531e-05,0,314308,6,55,0,0,0,0,0,20.2,5879,-1,0,99,1,0.6,0,3.0,10,0,8,0,7,2.2,435092,0,0,0,0,2712,5150,0,0,535,Man City,Leicester,Man Utd,Everton,,3.0,5.6,3.2,131.7
Peter,Crouch,FWD,STK,4800000,2,65,2.3,4.79166666666667e-07,1.35416666666667e-05,0,394225,2,26,0,0,0,4,0,13.5,3429,-2,0,65,2,0.5,0,2.5,6,0,0,0,2,2.3,373708,0,0,0,0,1331,4119,0,0,195,Liverpool,Crystal Palace,Swansea,,,1.3,2.2,1.6,90.5
Josh,Cullen,MID,WHU,4500000,0,2,0.0588235294117647,1.30718954248366e-08,4.44444444444444e-07,0,481,0,0,0,0,0,0,0,0.4,8,0,0,2,0,0.1,0,0.5,0,0,0,0,0,0.0,785,0,0,0,0,6,11,0,0,7,Man City,Leicester,Man Utd,Everton,,0.0,0.0,0.0,0.8
James,Daly,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,1613,0,0,0,0,0,0,0,0.0,422,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3817,0,0,0,0,0,702,0,0,0,Leicester,Stoke,West Brom,,,0.0,0.0,0.0,0.0
Charlie,Daniels,DEF,BOU,4700000,0,82,2.6,5.53191489361702e-07,1.74468085106383e-05,0,1159160,0,47,0,0,0,1,0,17.4,8773,-3,0,82,3,0.2,0,1.0,4,0,5,0,2,6.9,589989,0,0,0,0,2731,1443,0,0,529,Southampton,Swansea,Burnley,,,2.4,2.6,2.1,113.7
,Danilo,DEF,MCI,5000000,9,82,2.41176470588235,4.823529411764711e-07,1.64e-05,0,440037,2,10,0,0,0,2,0,16.4,2196,-5,0,82,5,0.5,0,2.5,5,0,8,0,2,2.6,331729,0,0,0,2,1131,9642,0,0,333,West Ham,Huddersfield,Brighton,Southampton,,2.2,5.1,2.2,58.9
Scott,Dann,DEF,CRY,4600000,0,32,1.9,4.1304347826086996e-07,6.95652173913044e-06,0,88041,4,26,0,0,0,1,0,7.0,70,-4,0,32,4,0.0,0,0.0,0,0,1,0,0,0.3,39484,0,0,0,0,1434,16,0,0,211,Leicester,Stoke,West Brom,,,0.0,0.0,0.0,67.0
Karl,Darlow,GLK,NEW,4300000,0,33,0.970588235294118,2.2571819425444602e-07,7.674418604651159e-06,0,31778,0,15,0,35,0,0,0,7.7,325,-2,0,33,2,0.0,0,0.0,2,0,2,0,0,0.2,25507,1,0,0,1,900,158,0,0,172,West Brom,Watford,Tottenham,Chelsea,,0.5,1.0,0.6,25.9
Matteo,Darmian,DEF,MUN,4900000,0,16,0.47058823529411803,9.603841536614651e-08,3.26530612244898e-06,0,33669,0,2,0,0,0,0,0,3.3,45,-6,0,16,6,0.3,0,1.5,0,0,2,0,0,0.2,7422,0,0,0,0,286,93,0,0,75,Arsenal,Brighton,West Ham,Watford,,0.2,0.4,0.2,8.2
,David Luiz,DEF,CHE,5700000,0,32,0.941176470588235,1.65118679050568e-07,5.6140350877193e-06,0,1195140,3,13,0,0,0,1,0,5.6,451,-3,0,32,3,0.0,0,0.0,0,0,3,0,2,8.1,326809,0,0,0,0,838,31,0,1,186,Swansea,Liverpool,Huddersfield,Newcastle,,0.5,1.1,0.5,29.6
,David Silva,MID,MCI,8300000,10,166,5.9,7.108433734939759e-07,2e-05,0,2462198,5,18,0,0,0,9,0,20.2,14311,3,-1,166,-3,0.8,0,6.3,26,0,13,0,11,13.1,2779792,0,0,0,6,2341,63425,1,0,656,West Ham,Huddersfield,Brighton,Southampton,,6.6,16.1,7.0,279.7
Ben,Davies,DEF,TOT,5800000,0,131,4.9,8.448275862068971e-07,2.25862068965517e-05,0,1925491,3,20,0,0,0,2,0,22.6,21373,3,0,131,-3,0.3,0,1.5,14,0,10,0,7,21.6,2697364,0,0,0,4,2143,59009,0,0,563,Watford,West Brom,Newcastle,Leicester,,7.1,10.9,5.8,144.4
Tom,Davies,MID,EVE,5100000,1,54,1.8,3.5294117647058796e-07,1.0588235294117599e-05,0,72493,6,20,0,0,0,1,0,10.6,315,-4,0,54,4,0.3,0,1.3,0,0,6,0,2,0.4,41672,0,0,0,0,1693,72,0,0,183,Huddersfield,Southampton,West Ham,,,0.9,1.4,0.9,55.9
Steven,Davis,MID,SOU,4700000,0,71,2.08823529411765,4.44305381727159e-07,1.5106382978723401e-05,0,455641,0,21,0,0,0,3,0,15.1,795,-3,0,71,3,0.1,0,0.3,6,0,4,0,2,1.4,482877,0,0,0,2,1515,157,0,0,337,Bournemouth,Everton,Swansea,Man City,,0.0,2.9,1.0,82.5
Craig,Dawson,DEF,WBA,4800000,4,74,3.0,6.25e-07,1.5416666666666698e-05,0,332425,5,37,0,0,0,2,0,15.4,1177,-2,0,74,2,0.7,0,3.3,3,0,6,0,1,1.5,123240,0,0,0,1,2240,551,0,0,392,Newcastle,Tottenham,Crystal Palace,,,2.0,3.4,3.7,97.6
Kevin,De Bruyne,MID,MCI,10300000,8,198,5.8,5.63106796116505e-07,1.9223300970873802e-05,0,2410212,2,21,0,0,0,8,0,19.2,27399,3,0,198,-3,0.4,0,3.8,25,0,17,0,17,22.1,2073753,0,0,0,5,2827,15256,0,0,840,West Ham,Huddersfield,Brighton,Southampton,,6.4,15.7,6.9,350.2
David,De Gea,GLK,MUN,5900000,0,161,4.7,7.96610169491525e-07,2.72881355932203e-05,0,1080235,0,26,0,108,0,0,0,27.3,15636,4,0,161,-4,0.7,0,4.3,10,0,17,0,0,44.7,1441939,0,0,0,0,3060,19270,0,0,706,Arsenal,Brighton,West Ham,Watford,,6.7,10.4,6.9,78.6
Siem,de Jong,MID,NEW,4900000,0,0,0.0,0.0,0.0,0,9757,0,0,0,0,0,0,0,0.0,5,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,529,0,0,0,0,0,1,0,0,0,West Brom,Watford,Tottenham,Chelsea,,0.0,0.0,0.0,0.0
Mathieu,Debuchy,DEF,ARS,4500000,0,0,0.0,0.0,0.0,0,1652,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1482,0,0,0,0,0,3,0,0,0,Man Utd,Burnley,Leicester,Huddersfield,,0.0,0.0,0.0,0.0
Troy,Deeney,FWD,WAT,6300000,2,71,2.7,4.28571428571429e-07,1.12698412698413e-05,0,125084,1,29,0,0,0,5,0,11.3,10949,-2,0,71,2,0.3,1,2.0,7,0,6,0,2,0.9,125670,0,0,0,1,1722,308,0,1,239,Tottenham,Newcastle,Man Utd,,,1.8,2.9,1.7,110.0
Jermain,Defoe,FWD,BOU,7600000,0,55,1.57142857142857,2.0676691729323302e-07,7.236842105263161e-06,0,214706,1,21,0,0,0,4,0,7.2,421,-4,0,55,4,0.4,0,2.8,5,0,2,0,1,1.4,54032,0,0,0,1,1025,256,0,0,172,Southampton,Swansea,Burnley,,,1.1,1.2,0.9,81.8
