FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Harry,Arter,MID,BOU,5000000,2,48,2.3,4.6e-07,9.6e-06,0,16737,5,37,0,0,0,0,0,9.6,848,0,0,48,0,0.4,0,2.0,2,0,6,0,2,0.3,19640,0,188,0,0,1843,656,0,1,316,Watford,Crystal Palace,Everton,Man City,West Brom,2.4,1.8,1.2,1.7,1.2,1.3,1.8,2.0,1.2,1.2,1.6,1.2,2.2,1.7,1.9,2.8,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4317,0,0,0,0,0,0,0,0.0,22,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,558,0,0,0,0,0,14,0,0,0,Burnley,Watford,Chelsea,Hull City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0158730158730159,3.6075036075036102e-09,2.2727272727272702e-07,0,569,0,0,0,0,0,0,0,0.2,11,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,489,0,0,0,0,10,6,0,0,3,West Brom,Tottenham,Crystal Palace,Southampton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,883130,1,7,0,0,0,6,0,9.2,6079,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,2.2,868771,0,32,0,1,866,296,0,0,211,Leicester,Swansea,West Ham,Sunderland,Arsenal,0.0,0.0,0.0,0.0,0.0,4.4,5.4,3.7,6.3,6.4,4.5,6.2,3.3,6.7,4.6,4.3,5.8
Daniel,Ayala,DEF,MID,4800000,0,20,0.317460317460317,6.61375661375661e-08,4.16666666666667e-06,0,10574,2,5,0,0,0,1,0,4.2,223,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,5827,0,0,0,0,390,13,0,0,91,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Andre,Ayew,MID,WHU,7100000,0,24,0.38095238095238104,5.36552649228706e-08,3.38028169014085e-06,0,274824,0,9,0,0,0,1,0,3.4,432,-4,0,24,4,0.4,0,2.8,0,0,2,0,0,1.0,8268,0,524,0,0,501,39,0,0,60,Middlesbrough,Man City,Southampton,West Brom,Watford,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Cesar,Azpilicueta,DEF,CHE,6600000,6,103,4.9,7.424242424242429e-07,1.56060606060606e-05,0,357604,3,15,0,0,0,0,0,15.6,23664,6,0,103,-6,0.5,0,3.5,15,0,12,0,2,20.7,661969,0,470,0,1,1890,11892,0,0,508,Hull City,Liverpool,Arsenal,Burnley,Swansea,6.9,5.9,6.9,4.3,6.2,5.9,6.7,6.1,6.8,6.5,5.7,4.6,7.3,4.8,6.4,5.7,6.2
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1226,0,0,0,0,0,0,0,0.0,28,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,236,0,138,0,0,0,14,0,0,0,Hull City,Liverpool,Arsenal,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,34,2.8,5.283018867924531e-07,6.41509433962264e-06,0,507991,3,11,0,0,0,0,0,6.4,3729,-2,0,34,2,0.1,0,0.5,7,0,3,0,0,5.7,193586,0,0,0,0,918,181,0,0,216,Stoke,Hull City,Leicester,Watford,Man City,0.0,3.1,1.8,2.9,2.5,3.4,3.0,2.5,3.1,2.8,2.0,2.7,1.9,2.6,3.2,2.2,3.0
Leighton,Baines,DEF,EVE,5600000,6,78,5.2,9.285714285714291e-07,1.3928571428571398e-05,0,451290,2,13,0,0,0,2,0,14.2,22859,1,-1,78,-1,1.5,1,8.5,13,0,5,0,3,10.5,533012,0,212,0,1,1334,63590,1,0,321,Crystal Palace,Stoke,Bournemouth,Middlesbrough,Sunderland,0.0,6.1,7.8,5.6,7.0,5.0,7.7,7.7,5.9,4.6,6.6,7.8,5.9,7.1,5.9,7.4,6.2
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11559,0,0,0,0,0,0,0,0.0,65,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1763,0,0,0,0,0,26,0,0,0,Swansea,Chelsea,Hull City,Tottenham,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,6,0.0952380952380952,1.94363459669582e-08,1.22448979591837e-06,0,3225,0,1,0,0,0,0,0,1.2,169,-1,0,6,1,0.1,0,0.3,0,0,0,0,0,0.1,4895,0,0,0,0,39,1318,0,0,14,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3503,0,0,0,0,0,0,0,0.0,57,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2541,0,0,0,0,0,15,0,0,0,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,20,0.317460317460317,7.3827980804725e-08,4.65116279069767e-06,0,9734,2,9,0,0,0,0,0,4.7,140,-2,0,20,2,0.0,0,0.0,0,0,2,0,0,0.1,7048,0,107,0,0,661,63,0,0,105,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
