FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Lewis,Dunk,DEF,BHA,4500000,6,6,2.0,4.44444444444444e-07,1.33333333333333e-06,0,22858,0,4,0,0,0,0,0,1.3,7812,0,0,6,0,0.4,0,2.0,0,0,1,0,0,1.4,8841,1,0,0,0,270,6691,0,0,46,West Brom,Bournemouth,Newcastle,Arsenal,Everton,1.4,1.8,1.7,1.1,2.1,1.6,1.2,2.8,2.6,1.3,2.4,1.4,2.0,3.0,1.0,1.1,1.5,1.2,1.6,2.4,1.1,1.6,1.3,1.2,1.0,1.8,1.0,2.0,2.2,1.0,2.9,1.9,2.4,1.0,1.0,16.1
Nathan,Dyer,MID,SWA,4500000,0,0,0.0,0.0,0.0,0,979,0,0,0,0,0,0,0,0.0,266,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,387,0,0,0,0,0,108,0,0,0,Newcastle,Tottenham,Watford,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Ederson,GLK,MCI,5500000,2,10,3.3,6e-07,1.81818181818182e-06,0,43941,0,2,0,5,0,0,0,1.8,21891,0,0,10,0,0.6,0,3.3,0,0,1,0,0,4.3,32253,0,0,0,0,270,3297,0,0,44,Liverpool,Watford,Crystal Palace,Chelsea,Stoke,2.8,4.9,3.8,3.3,4.9,1.8,4.7,3.6,2.0,4.1,2.6,2.7,3.0,4.9,3.0,3.3,2.8,4.8,2.4,2.2,3.5,2.8,4.7,4.3,2.7,2.3,2.9,3.4,2.1,1.9,4.9,1.6,3.5,2.2,3.6,3.7
,Eduardo,GLK,CHE,4900000,0,0,0.0,0.0,0.0,0,1389,0,0,0,0,0,0,0,0.0,316,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,251,0,0,0,0,0,77,0,0,0,Leicester,Arsenal,Stoke,Man City,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,Elliot,GLK,NEW,4000000,7,11,3.7,9.25e-07,2.75e-06,0,46326,0,3,0,9,0,0,0,2.8,15791,0,0,11,0,0.9,0,3.7,0,0,1,0,0,20.3,208430,0,0,0,0,270,92272,0,0,55,Swansea,Stoke,Brighton,Liverpool,Southampton,4.7,5.6,4.2,4.9,2.5,5.6,3.8,5.3,1.9,4.4,3.8,2.2,5.6,5.6,1.8,2.4,3.9,5.2,1.9,3.2,3.1,3.6,3.7,3.8,2.8,1.8,4.6,5.2,4.1,1.8,5.6,1.8,4.9,4.4,4.3,5.9
Mohamed,Elneny,MID,ARS,4500000,0,5,5.0,1.11111111111111e-06,1.11111111111111e-06,0,79966,0,3,0,0,0,0,0,1.1,29449,0,0,5,0,0.4,0,1.7,0,0,0,0,1,3.6,99192,0,0,0,0,66,5550,0,0,21,Bournemouth,Chelsea,West Brom,Brighton,Watford,7.5,3.8,5.6,6.5,4.5,3.3,6.3,4.3,4.7,5.7,5.7,4.8,3.3,4.4,7.5,7.2,4.6,3.6,7.0,4.2,7.5,7.5,7.5,4.8,5.8,4.6,5.0,2.5,7.5,6.6,3.6,7.5,2.5,5.9,3.7,6.3
Christian,Eriksen,MID,TOT,9600000,3,22,7.3,7.60416666666667e-07,2.29166666666667e-06,0,126691,0,2,0,0,0,0,0,2.3,82764,1,0,22,-1,0.8,0,7.3,5,0,2,0,3,21.9,379952,0,0,0,1,267,91504,0,0,80,Everton,Swansea,West Ham,Huddersfield,Bournemouth,9.4,4.7,10.8,11.0,7.3,7.2,8.4,6.6,9.8,4.8,9.2,11.0,11.0,5.8,11.0,11.0,6.3,7.0,11.0,11.0,10.6,3.8,8.1,9.6,11.0,4.9,10.7,9.1,11.0,9.4,5.0,11.0,4.1,11.0,11.0,34.5
Jonny,Evans,DEF,WBA,4900000,0,0,0.0,0.0,0.0,0,15898,0,0,0,0,0,0,0,0.0,3335,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.7,8946,0,0,0,0,0,7327,0,0,0,Brighton,West Ham,Arsenal,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukasz,Fabianski,GLK,SWA,4500000,7,14,4.7,1.04444444444444e-06,3.11111111111111e-06,0,27307,0,4,0,9,0,0,0,3.1,10705,0,0,14,0,1.0,0,4.7,0,0,2,0,0,4.2,28624,0,0,0,0,270,19272,0,0,67,Newcastle,Tottenham,Watford,West Ham,Huddersfield,3.5,7.0,2.4,6.4,2.4,4.6,5.2,2.7,7.0,3.3,6.2,5.6,2.7,2.4,4.3,3.1,4.6,7.0,2.4,5.4,2.7,3.7,4.2,2.4,7.0,2.6,7.0,2.5,5.7,7.0,4.3,7.0,2.4,6.8,5.6,5.5
Cesc,Fabregas,MID,CHE,6900000,11,10,5.0,7.2463768115942e-07,1.44927536231884e-06,0,242095,0,3,0,0,0,1,0,1.4,22324,-1,0,10,1,0.5,0,3.3,3,0,1,0,0,5.4,97566,0,0,0,1,170,89073,0,1,43,Leicester,Arsenal,Stoke,Man City,Crystal Palace,4.2,7.5,4.4,4.7,6.6,4.0,6.2,3.8,5.6,3.4,5.3,7.5,6.4,5.7,5.7,5.2,5.5,7.5,4.9,7.5,6.6,7.1,6.5,4.5,3.6,6.3,6.7,7.5,3.7,7.0,5.2,4.6,7.5,6.2,5.6,20.5
