FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2778,0,0,0,0,0,0,0,0.0,18,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,957,0,0,0,0,0,8,0,0,0,Arsenal,Chelsea,Hull City,Southampton,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,0,37,0.425287356321839,9.89040363539161e-08,8.6046511627907e-06,0,295448,1,12,0,0,0,3,0,8.6,2857,-2,0,37,2,0.0,0,0.0,5,0,2,0,1,1.1,327299,0,0,0,1,715,2225,0,0,131,Watford,Leicester,Man Utd,West Ham,Middlesbrough,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
Michail,Antonio,MID,WHU,6900000,5,130,4.8,6.956521739130439e-07,1.8840579710144898e-05,0,1260645,4,43,0,0,0,9,0,18.8,87028,-1,0,130,1,0.6,0,4.3,8,0,7,0,8,7.7,1356033,0,452,0,3,2349,4217,0,1,404,Hull City,Arsenal,Swansea,Sunderland,Everton,0.0,3.6,5.6,5.8,5.8,4.6,5.2,4.3,4.8
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6082,0,0,0,0,0,0,0,0.2,4,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,382,0,176,0,0,10,1,0,0,3,Sunderland,West Brom,Tottenham,Swansea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5753,3,9,0,0,0,0,0,0.0,25,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5334,0,0,0,0,258,39,0,0,34,Hull City,Arsenal,Swansea,Sunderland,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,3,58,2.2,4.23076923076923e-07,1.1153846153846198e-05,0,7876,3,29,0,0,0,1,0,11.2,82,-3,0,58,3,0.4,0,2.0,3,0,5,0,2,0.1,4609,0,0,0,1,1690,38,0,0,219,Tottenham,Stoke,Middlesbrough,Everton,Man Utd,1.9,2.0,1.1,1.1,1.8,1.1,2.0,1.1,1.5
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,131,0,0,0,0,0,0,0,0.0,17,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,362,0,0,0,0,0,39,0,0,0,Sunderland,West Brom,Tottenham,Swansea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,2,84,3.5,4.92957746478873e-07,1.1830985915493e-05,0,115767,8,29,0,0,0,5,0,11.8,1321,-4,0,84,4,0.8,0,6.0,6,0,8,0,3,1.0,76419,0,528,0,2,2011,2851,0,1,294,Leicester,Burnley,Liverpool,Hull City,Swansea,2.9,2.7,2.8,4.7,2.8,2.8,2.4,2.9,2.4
Harry,Arter,MID,BOU,5000000,0,61,2.3,4.6e-07,1.22e-05,0,21996,8,51,0,0,0,1,0,12.2,818,0,0,61,0,0.2,0,1.0,2,0,6,0,2,0.3,22563,0,188,0,0,2291,51,0,1,387,Southampton,Liverpool,Chelsea,Tottenham,Middlesbrough,0.0,1.2,1.6,1.2,2.2,1.8,2.0,2.7,1.5
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4447,0,0,0,0,0,0,0,0.0,14,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,636,0,0,0,0,0,5,0,0,0,Man City,West Ham,Crystal Palace,Middlesbrough,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
