FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Henrikh,Mkhitaryan,MID,MUN,8500000,3,40,6.7,7.882352941176471e-07,4.7058823529411794e-06,0,259914,1,2,0,0,0,1,0,4.7,87720,5,0,40,-5,0.6,0,4.7,4,0,5,0,5,34.0,1467959,0,0,0,1,488,126556,0,0,161,Crystal Palace,Liverpool,Huddersfield,Tottenham,Chelsea,9.4,5.5,7.2,6.9,8.4,10.0,9.6,9.7,6.6,7.0,10.0,6.9,7.6,9.0,7.7,7.3,9.4,8.1,8.8,9.3,7.7,8.6,8.4,9.8,7.1,8.0,6.2,9.6,7.7,10.0,6.6,6.8,56.3
Nacho,Monreal,DEF,ARS,5400000,7,26,4.3,7.96296296296296e-07,4.81481481481482e-06,0,130593,0,8,0,0,0,0,0,4.8,13504,-1,0,26,1,1.4,0,7.7,5,0,3,0,0,5.1,125972,0,0,0,0,540,81203,0,0,153,Brighton,Watford,Everton,Swansea,Man City,6.4,4.5,2.2,4.6,2.2,5.5,2.4,6.4,5.2,4.3,2.2,6.4,6.4,3.3,2.8,5.2,2.2,6.4,3.6,6.2,3.9,4.3,2.5,5.4,2.2,6.4,5.7,2.2,6.4,2.2,5.7,2.4,21.1
Jefferson,Montero,MID,SWA,4900000,0,0,0.0,0.0,0.0,0,2572,0,0,0,0,0,0,0,0.0,141,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,221,0,0,0,0,0,5,0,0,0,West Ham,Huddersfield,Leicester,Arsenal,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Mooy,MID,HUD,5700000,3,26,4.3,7.543859649122809e-07,4.56140350877193e-06,0,290591,0,3,0,0,0,1,0,4.6,67229,2,0,26,-2,0.4,0,2.3,2,0,4,0,1,10.4,655648,0,0,0,1,540,13094,0,0,130,Tottenham,Swansea,Man Utd,Liverpool,West Brom,3.5,6.4,4.0,2.7,5.3,4.8,3.5,3.3,4.7,5.3,4.6,5.4,5.4,5.2,4.9,4.1,6.4,3.5,5.5,2.6,6.3,3.5,4.7,5.1,6.0,4.1,3.3,3.4,4.5,6.4,3.1,6.4,46.3
Alvaro,Morata,FWD,CHE,10400000,17,48,8.0,7.69230769230769e-07,4.6153846153846195e-06,0,357081,1,1,0,0,0,6,0,4.7,51324,4,-2,48,-4,0.8,0,8.0,8,0,4,0,2,26.9,1250370,0,0,0,2,454,521496,2,0,165,Man City,Crystal Palace,Watford,Bournemouth,Man Utd,8.7,11.1,8.3,10.4,9.4,10.3,9.8,7.7,10.7,9.7,9.7,8.2,10.0,11.4,11.0,8.5,11.2,10.2,11.0,12.0,11.1,9.3,10.2,10.1,11.2,8.2,12.0,12.0,9.8,12.0,12.0,10.2,67.7
Alberto,Moreno,DEF,LIV,4500000,4,12,3.0,6.66666666666667e-07,2.66666666666667e-06,0,66474,0,10,0,0,0,0,0,2.7,7315,0,0,12,0,0.3,0,1.3,1,0,1,0,1,2.2,72250,0,0,0,0,360,15769,0,0,94,Newcastle,Man Utd,Tottenham,Huddersfield,West Ham,1.8,2.9,3.0,3.8,1.6,3.3,2.9,2.1,2.0,3.7,4.4,1.6,1.5,2.5,3.1,1.9,2.3,2.8,1.9,3.1,3.3,4.4,3.8,1.5,3.0,3.1,1.5,3.7,2.3,4.2,1.9,4.3,22.2
Wes,Morgan,DEF,LEI,4500000,1,9,1.5,3.3333333333333304e-07,2e-06,0,69147,2,12,0,0,0,0,0,2.0,8532,0,0,9,0,0.3,0,1.3,0,0,1,0,0,2.8,36161,0,0,0,0,540,8480,0,0,81,Bournemouth,West Brom,Swansea,Everton,Stoke,0.8,1.6,1.1,1.2,0.8,0.8,0.8,1.0,1.0,0.8,1.4,2.2,0.9,1.4,0.8,1.3,0.8,0.9,0.8,0.8,0.8,1.5,1.2,0.9,1.6,0.8,1.3,0.8,1.0,1.8,1.6,1.2,17.4
James,Morrison,MID,WBA,5500000,1,13,0.7222222222222221,1.3131313131313099e-07,2.36363636363636e-06,0,1296,0,1,0,0,0,1,0,2.4,411,0,0,13,0,0.6,0,3.3,0,0,2,0,0,0.0,2368,0,0,0,0,205,513,0,0,35,Watford,Leicester,Southampton,Man City,Huddersfield,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.6,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,14.5
Victor,Moses,DEF,CHE,6500000,6,21,1.16666666666667,1.7948717948717998e-07,3.23076923076923e-06,0,19061,1,2,0,0,0,0,0,3.2,3640,0,0,21,0,0.7,0,4.7,0,0,3,0,0,1.0,24123,0,0,0,0,431,3376,0,0,76,Man City,Crystal Palace,Watford,Bournemouth,Man Utd,0.6,1.5,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.9,0.8,0.6,0.6,0.7,0.6,1.2,0.9,0.6,0.6,1.3,0.7,0.6,0.9,1.2,0.7,1.0,0.7,0.6,20.4
Steve,Mounie,FWD,HUD,5900000,0,17,4.3,7.288135593220341e-07,2.8813559322033903e-06,0,269351,2,2,0,0,0,2,0,2.8,36853,-1,1,17,1,0.1,0,0.7,3,0,3,0,0,1.5,266813,0,0,0,0,355,300,-1,0,53,Tottenham,Swansea,Man Utd,Liverpool,West Brom,0.0,5.4,4.4,3.5,5.4,5.0,4.0,2.6,4.5,6.0,3.7,5.7,5.2,6.3,5.0,4.4,6.4,4.8,6.3,3.0,6.4,3.6,4.9,3.5,6.0,3.5,4.1,3.8,3.6,6.4,3.5,6.4,25.9
