FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Badou Ndiaye,MID,STK,5100000,2,17,0.53125,1.04166666666667e-07,3.3333333333333304e-06,0,1271,1,10,0,0,0,0,0,3.3,131,-4,1,17,4,0.4,0,2.0,0,0,1,0,1,0.0,2222,0,0,0,0,598,17,-1,0,58,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,27.7
Eric,Bailly,DEF,MUN,6000000,0,47,1.51612903225806,2.52688172043011e-07,7.83333333333333e-06,0,887658,2,4,0,0,0,1,0,7.8,5092,0,0,47,0,0.0,0,0.0,3,0,6,0,0,5.8,612174,1,0,0,1,819,1079,0,0,207,Man City,West Brom,Bournemouth,Arsenal,Brighton,0.8,2.0,0.0,1.5,1.7,1.5,30.4
Leighton,Baines,DEF,EVE,5600000,1,51,1.59375,2.84598214285714e-07,9.107142857142861e-06,0,465214,1,29,0,0,0,2,0,9.1,8138,-4,0,51,4,0.9,0,5.0,5,0,2,0,2,3.7,132325,0,0,0,2,1369,955,0,0,257,Liverpool,Swansea,Newcastle,Huddersfield,Southampton,1.4,0.8,1.2,0.8,1.4,1.0,65.2
Tiemoue,Bakayoko,MID,CHE,4900000,0,68,2.7,5.510204081632651e-07,1.38775510204082e-05,0,348773,2,20,0,0,0,2,0,13.9,724,-1,0,68,1,0.1,0,0.5,5,0,9,0,2,1.2,358315,0,0,0,1,1761,175,0,1,309,West Ham,Southampton,Burnley,Swansea,Liverpool,2.7,4.0,0.0,2.0,4.9,2.0,100.1
Sam,Baldock,FWD,BHA,4900000,1,2,0.0645161290322581,1.3166556945358799e-08,4.08163265306122e-07,0,2865,0,1,0,0,0,0,0,0.4,64,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.0,2487,0,0,0,0,30,86,0,0,4,Huddersfield,Crystal Palace,Tottenham,Burnley,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Beni,Baningime,MID,EVE,4500000,1,6,0.1875,4.1666666666666696e-08,1.33333333333333e-06,0,493,0,1,0,0,0,0,0,1.3,10,0,0,6,0,0.1,0,0.3,0,0,0,0,0,0.0,612,0,0,0,0,160,6,0,0,18,Liverpool,Swansea,Newcastle,Huddersfield,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4200000,0,33,1.06451612903226,2.53456221198157e-07,7.857142857142861e-06,0,65665,5,13,0,0,0,0,0,7.7,1901,-3,1,33,3,0.0,0,0.0,0,0,4,0,0,0.4,79662,0,0,0,0,1125,138,-1,0,193,Watford,Leicester,Chelsea,Stoke,Brighton,0.6,1.1,0.6,0.7,0.5,0.5,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.032258064516129,4.41891294741494e-09,1.36986301369863e-07,0,14514,0,1,0,0,0,0,0,0.1,43,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.1,5534,0,0,0,0,53,18,0,0,4,West Ham,Southampton,Burnley,Swansea,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Ashley,Barnes,FWD,BUR,5400000,6,72,2.4,4.44444444444444e-07,1.3333333333333301e-05,0,124711,8,17,0,0,0,7,0,13.6,7008,-1,-1,72,1,1.2,0,6.5,6,0,4,0,0,4.1,312562,0,0,0,0,1702,80814,1,0,234,Watford,Leicester,Chelsea,Stoke,Brighton,1.9,4.0,2.2,2.5,1.3,2.4,121.4
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,270,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,52,0,0,0,0,0,0,0,0,0,West Brom,Everton,Man City,Chelsea,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,0,56,2.2,4.88888888888889e-07,1.24444444444444e-05,0,134136,4,35,0,0,0,1,0,12.4,1112,0,0,56,0,0.0,0,0.0,0,0,4,0,2,0.8,70633,0,0,0,0,1921,14,0,0,287,Swansea,Man Utd,Liverpool,Newcastle,Tottenham,0.0,0.0,0.0,0.0,0.0,1.2,82.0
Kyle,Bartley,DEF,SWA,4300000,0,4,0.129032258064516,3.0007501875468905e-08,9.30232558139535e-07,0,5744,1,2,0,0,0,0,0,0.9,27,-2,0,4,2,0.0,0,0.0,0,0,0,0,0,0.1,1365,0,0,0,0,165,17,0,0,24,West Brom,Everton,Man City,Chelsea,Bournemouth,0.1,0.1,0.1,0.1,0.2,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,181747,0,7,0,0,0,2,0,3.1,72,-4,0,25,4,0.0,0,0.0,3,0,1,0,1,0.5,121635,1,0,0,1,351,5,0,0,77,West Ham,Southampton,Burnley,Swansea,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,1,24,0.75,1.66666666666667e-07,5.333333333333329e-06,0,28542,2,12,0,0,0,0,0,5.3,5460,0,0,24,0,0.2,0,0.7,0,0,3,0,0,0.5,60267,0,0,0,0,810,106,0,0,128,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,0.4,0.4,0.4,0.4,0.6,0.4,27.7
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9747,0,0,0,0,0,0,0,0.0,69,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2772,0,0,0,0,0,95,0,0,0,Arsenal,Chelsea,Leicester,Bournemouth,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,2,93,2.9,6.44444444444444e-07,2.06666666666667e-05,0,265198,2,51,0,92,0,0,0,20.7,5221,0,0,93,0,0.4,0,2.0,4,0,5,0,0,4.5,215480,0,0,1,3,2880,3971,0,0,524,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,4.0,5.5,0.0,2.9,3.0,2.6,67.2
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,10011,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,646,0,0,0,0,0,0,0,0,0,Burnley,Huddersfield,Crystal Palace,Tottenham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
