FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,Bojan,MID,STK,5500000,0,30,3.3,6e-07,5.45454545454545e-06,0,109219,1,12,0,0,0,3,0,5.5,118,-5,0,30,5,0.0,1,0.0,4,0,0,0,0,0.7,46549,0,360,0,0,475,12,0,0,93,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick,Bolasie,MID,EVE,5700000,0,45,0.535714285714286,9.3984962406015e-08,7.89473684210526e-06,0,419055,3,14,0,0,0,1,0,7.9,249,-3,0,45,3,0.0,0,0.0,3,0,3,0,4,1.8,292802,0,469,0,0,1048,35,0,0,172,Hull City,Liverpool,Man Utd,Leicester,Burnley,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3
Wilfried,Bony,FWD,STK,6900000,0,29,0.345238095238095,5.00345065562457e-08,4.20289855072464e-06,0,130798,1,12,0,0,0,2,0,4.2,108,-6,0,29,6,0.0,0,0.0,3,0,3,0,0,0.6,113462,0,249,0,1,684,36,0,0,92,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Fabio,Borini,FWD,SUN,5100000,0,27,2.1,4.1176470588235295e-07,5.2941176470588205e-06,0,84357,2,20,0,0,0,1,0,5.3,415,-4,0,27,4,0.4,0,2.0,1,0,3,0,0,0.6,26794,0,280,0,0,968,519,0,0,101,Burnley,Watford,Leicester,Man Utd,West Ham,2.4,1.4,1.5,1.6,2.0,0.0,2.1,1.7,2.2,1.0
Cameron,Borthwick-Jackson,DEF,MUN,4400000,0,0,0.0,0.0,0.0,0,3031,0,0,0,0,0,0,0,0.0,3,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,116,0,123,0,0,0,2,0,0,0,Middlesbrough,West Brom,Everton,Sunderland,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artur,Boruc,GLK,BOU,4500000,2,81,3.1,6.88888888888889e-07,1.8e-05,0,241960,2,51,0,80,0,0,0,18.0,4562,0,0,81,0,1.1,0,5.0,5,0,5,0,0,5.9,261956,0,281,2,2,2340,2198,0,0,463,Swansea,Southampton,Liverpool,Chelsea,Tottenham,3.4,2.9,3.3,3.5,2.2,3.6,2.3,4.0,3.7,1.9
Sofiane,Boufal,MID,SOU,6700000,0,31,0.36904761904761896,5.50817341862118e-08,4.62686567164179e-06,0,12667,3,16,0,0,0,1,0,4.6,36,-3,0,31,3,0.6,0,4.0,1,0,3,0,1,0.1,13008,0,0,0,0,734,75,0,0,126,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2
Jarrod,Bowen,FWD,HUL,4500000,0,5,0.0595238095238095,1.32275132275132e-08,1.11111111111111e-06,0,5053,0,1,0,0,0,0,0,1.1,63,0,0,5,0,0.0,0,0.0,0,0,0,0,0,0.1,5717,0,0,0,0,65,37,0,0,15,Everton,West Ham,Middlesbrough,Man City,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George,Boyd,MID,BUR,5100000,2,62,2.3,4.509803921568629e-07,1.2156862745098e-05,0,12215,2,36,0,0,0,1,0,12.2,331,-4,0,62,4,0.4,0,2.0,0,0,5,0,1,0.2,7776,0,0,0,0,2134,358,0,0,281,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,1.5,2.0,2.2,1.2,1.2,2.0,1.2,2.1,1.2,1.6
Robbie,Brady,MID,BUR,5500000,1,23,0.273809523809524,4.97835497835498e-08,4.18181818181818e-06,0,5661,0,3,0,0,0,1,0,4.2,3178,0,0,23,0,0.8,0,4.3,4,0,0,0,2,0.6,31891,0,0,0,0,271,1337,0,0,70,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
