FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Jerome,Sinclair,FWD,WAT,4800000,2,3,0.0625,1.30208333333333e-08,6.25e-07,0,14562,0,1,0,0,0,0,0,0.6,208,-2,0,3,2,0.1,0,0.6,0,0,0,0,0,0.3,5645,0,0,0,0,72,444,0,0,5,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa,Sissoko,MID,TOT,6700000,3,20,0.4166666666666671,6.21890547263682e-08,2.98507462686567e-06,0,11039,1,1,0,0,0,0,0,3.0,172,-3,0,20,3,0.2,0,1.6,0,0,4,0,1,0.1,11164,0,0,0,0,464,426,0,0,66,Burnley,Southampton,Watford,Chelsea,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Islam,Slimani,FWD,LEI,8300000,1,46,0.958333333333333,1.15461847389558e-07,5.5421686746988e-06,0,116718,0,10,0,0,0,4,0,5.5,4483,-2,0,46,2,0.4,0,3.2,4,0,4,0,3,1.0,134901,0,0,0,1,660,2073,0,0,156,Stoke,Everton,West Ham,Middlesbrough,Chelsea,0.5,0.7,0.8,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.9,0.5,0.5,0.5,0.8,0.5,0.5,0.7,0.5,0.6,0.5,0.7
Chris,Smalling,DEF,MUN,5800000,0,19,0.3958333333333329,6.82471264367816e-08,3.27586206896552e-06,0,47900,0,9,0,0,0,1,0,3.3,545,-2,0,19,2,0.0,0,0.0,0,0,1,0,0,1.0,16095,0,381,0,0,453,167,0,0,105,West Brom,Sunderland,Middlesbrough,West Ham,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Adam,Smith,DEF,BOU,4800000,6,50,3.3,6.875e-07,1.0416666666666699e-05,0,250197,5,25,0,0,0,1,0,10.4,6045,3,0,50,-3,0.4,0,1.8,3,0,4,0,3,10.7,561772,0,297,0,1,1350,9637,0,0,291,Southampton,Chelsea,Swansea,Arsenal,Hull City,4.8,2.2,2.4,4.8,2.9,4.0,4.0,2.1,3.8,2.6,1.9,4.9,3.8,2.8,3.2,3.7,2.3,3.9,2.1,4.7,4.7,1.6
Bradley,Smith,DEF,BOU,4000000,0,0,0.0,0.0,0.0,0,123841,1,2,0,0,0,0,0,0.0,2261,0,0,0,0,0.0,0,0.0,0,0,0,0,0,3.1,64512,0,35,0,0,80,899,0,0,2,Southampton,Chelsea,Swansea,Arsenal,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,Snodgrass,MID,HUL,5600000,2,70,4.7,8.392857142857141e-07,1.25e-05,0,400375,2,32,0,0,0,5,0,12.5,7392,1,0,70,-1,0.6,0,3.6,10,0,2,0,2,5.3,526017,0,0,0,2,1275,14447,0,0,254,West Ham,Man City,Everton,West Brom,Bournemouth,4.0,4.4,6.0,4.3,6.1,3.6,4.7,3.9,3.5,6.7,4.8,5.4,4.1,5.1,5.6,3.8,4.7,6.0,4.0,6.9,4.5,5.2
Ramadan,Sobhi,MID,STK,4900000,0,11,0.229166666666667,4.6768707482993204e-08,2.24489795918367e-06,0,34218,0,2,0,0,0,0,0,2.2,453,-6,0,11,6,0.0,0,0.2,0,0,1,0,1,0.4,10601,0,0,0,0,174,193,0,0,44,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dominic,Solanke,FWD,CHE,5000000,0,0,0.0,0.0,0.0,0,278,0,0,0,0,0,0,0,0.0,23,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,382,0,0,0,0,0,29,0,0,0,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heung-Min,Son,MID,TOT,7300000,1,72,1.5,2.05479452054795e-07,9.863013698630141e-06,0,550231,1,7,0,0,0,5,0,9.9,52308,-2,0,72,2,0.6,0,4.4,6,0,5,0,5,6.8,781145,0,244,0,2,843,11573,0,0,207,Burnley,Southampton,Watford,Chelsea,West Brom,1.5,0.8,0.8,0.8,1.0,0.8,0.8,1.1,0.8,0.9,1.2,0.8,1.1,0.8,0.8,1.2,1.3,0.8,0.8,0.8,1.1,0.8
Pape,Souare,DEF,CRY,4200000,0,6,0.125,2.97619047619048e-08,1.4285714285714301e-06,0,51651,0,3,0,0,0,0,0,1.4,239,-3,0,6,3,0.0,0,0.0,0,0,0,0,0,0.3,20229,0,354,0,0,270,24,0,0,37,Chelsea,Watford,Arsenal,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
