FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Joe,Hart,GLK,WHU,4300000,0,45,3.2,7.441860465116279e-07,1.0465116279069802e-05,0,477450,0,30,0,39,0,0,0,10.5,11019,-2,0,45,2,0.0,0,0.0,3,0,3,0,1,5.5,144795,0,0,1,1,1260,1947,0,0,261,Bournemouth,Crystal Palace,Brighton,Watford,Liverpool,3.3,4.7,3.1,3.8,2.5,2.6,3.8,3.5,3.7,3.1,3.9,2.3,3.1,2.3,3.2,30.2
Jakob,Haugaard,GLK,STK,4000000,0,0,0.0,0.0,0.0,0,1987,0,0,0,0,0,0,0,0.0,163,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,4695,0,0,0,0,0,228,0,0,0,Huddersfield,Watford,Bournemouth,Brighton,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac,Hayden,MID,NEW,4400000,0,32,1.8,4.09090909090909e-07,7.272727272727271e-06,0,26138,7,19,0,0,0,1,0,7.3,450,-1,0,32,1,0.2,0,0.8,0,0,3,0,0,0.2,24461,0,0,0,0,1182,136,0,0,138,Man City,Burnley,Crystal Palace,Man Utd,Bournemouth,0.9,1.2,0.9,0.9,1.2,0.9,1.1,0.9,1.6,1.0,1.3,1.2,1.4,1.1,1.1,52.3
Eden,Hazard,MID,CHE,10600000,1,96,5.1,4.81132075471698e-07,9.0566037735849e-06,0,966134,1,9,0,0,0,6,0,9.0,105974,1,1,96,-1,0.3,0,3.4,15,0,7,0,4,6.4,1148900,0,0,0,3,1248,7940,-1,0,353,Brighton,Bournemouth,Watford,West Brom,Man Utd,4.6,6.7,5.3,6.9,3.7,3.7,6.2,5.2,5.4,6.4,5.4,7.2,6.4,5.1,5.9,166.4
Tom,Heaton,GLK,BUR,4700000,0,8,0.34782608695652195,7.40055504162812e-08,1.7021276595744699e-06,0,358176,0,4,0,8,0,0,0,1.7,1773,-3,0,8,3,0.0,0,0.0,0,0,0,0,0,1.5,18632,0,0,0,0,305,79,0,0,48,Man Utd,Newcastle,Man City,Swansea,Southampton,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5.3
Michael,Hefele,DEF,HUD,4200000,0,1,0.0434782608695652,1.0351966873706e-08,2.38095238095238e-07,0,8663,0,0,0,0,0,0,0,0.2,53,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.1,2449,0,0,0,0,1,69,0,0,4,Stoke,Liverpool,Man Utd,Bournemouth,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Ahmed El-Sayed,Hegazi,DEF,WBA,4600000,7,73,3.2,6.956521739130439e-07,1.58695652173913e-05,0,1165604,3,29,0,0,0,1,0,15.9,57854,1,-1,73,-1,0.7,0,3.4,7,0,7,0,0,19.0,1659877,0,0,0,1,2036,50805,1,0,395,Everton,Man City,Southampton,Chelsea,Huddersfield,0.0,2.4,3.7,3.0,4.1,3.4,3.2,2.3,3.8,3.2,2.2,3.5,2.6,3.5,3.7,78.2
Tomer,Hemed,FWD,BHA,4800000,0,41,2.7,5.625e-07,8.54166666666667e-06,0,239542,0,6,0,0,0,2,0,8.5,6952,-2,0,41,2,0.3,0,1.6,5,0,3,0,2,1.3,275653,0,0,0,0,775,5091,0,0,110,Chelsea,Southampton,West Ham,Stoke,Swansea,2.1,2.2,3.0,2.5,2.8,2.9,1.9,1.8,3.0,3.3,1.9,2.6,1.7,2.7,1.5,40.0
Jordan,Henderson,MID,LIV,5300000,0,46,2.9,5.47169811320755e-07,8.679245283018871e-06,0,160653,1,18,0,0,0,1,0,8.5,1525,-2,1,46,2,0.0,0,0.2,3,0,6,0,1,1.1,122132,0,0,0,0,1272,47,-1,0,228,Swansea,Huddersfield,Tottenham,Southampton,West Ham,0.0,2.2,2.3,2.2,2.9,2.9,1.4,2.4,1.9,2.5,3.1,2.2,2.8,1.8,2.9,63.7
Jeff,Hendrick,MID,BUR,5400000,2,60,3.0,5.55555555555556e-07,1.11111111111111e-05,0,20979,0,14,0,0,0,2,0,11.1,916,-1,0,60,1,0.4,0,2.2,1,0,8,0,1,0.2,21837,0,0,0,0,1536,133,0,0,191,Man Utd,Newcastle,Man City,Swansea,Southampton,2.4,2.7,1.8,3.0,2.7,3.5,2.2,2.6,2.3,2.4,2.7,2.3,3.0,1.8,3.2,65.2
