FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Scott,Arfield,MID,BUR,4900000,3,40,2.22222222222222,4.53514739229025e-07,8.16326530612245e-06,0,19752,3,7,0,0,0,2,0,8.2,1551,-1,0,40,1,0.7,0,3.5,6,0,5,0,1,0.3,28777,0,0,0,2,825,1012,0,0,124,Tottenham,Man Utd,Huddersfield,Liverpool,Crystal Palace,1.7,1.1,1.3,1.4,1.3,1.6,1.6,1.1,1.8,1.8,2.4,1.3,1.6,1.4,1.5,1.7,1.4,1.8,1.1,2.0,42.6
Marko,Arnautovic,MID,WHU,6800000,9,32,1.77777777777778,2.61437908496732e-07,4.7058823529411794e-06,0,103590,2,19,0,0,0,2,0,4.7,3145,-2,0,32,2,0.6,0,4.0,1,0,3,0,0,1.3,77126,0,0,0,0,825,34553,0,1,98,Newcastle,Bournemouth,West Brom,Tottenham,Huddersfield,1.6,1.0,0.0,2.4,0.9,1.5,1.4,0.9,1.0,0.9,1.2,1.4,1.2,1.3,0.9,1.3,0.9,0.9,0.9,1.8,64.2
Harry,Arter,MID,BOU,4800000,0,24,2.2,4.58333333333333e-07,5e-06,0,35637,4,11,0,0,0,1,0,5.0,1113,-2,0,24,2,0.2,0,0.8,0,0,3,0,0,0.4,12025,0,0,0,0,877,70,0,0,137,Man City,West Ham,Everton,Brighton,Arsenal,0.0,2.0,2.3,1.3,2.0,1.4,1.3,1.7,1.4,2.0,1.4,1.6,1.9,1.6,1.7,1.1,1.5,1.5,2.1,1.4,25.5
Christian,Atsu,MID,NEW,4800000,1,41,2.9,6.04166666666667e-07,8.54166666666667e-06,0,421203,0,12,0,0,0,1,0,8.4,4781,-2,1,41,2,0.1,0,0.7,2,0,3,0,2,1.2,340480,0,0,0,0,1082,631,-1,0,126,West Ham,Man City,Brighton,Stoke,Swansea,2.1,1.6,2.7,2.2,3.2,1.4,2.7,2.0,2.5,2.6,1.6,2.7,1.7,3.4,2.1,3.1,2.5,3.0,2.3,2.4,63.2
Serge,Aurier,DEF,TOT,5900000,0,25,1.38888888888889,2.3540489642184602e-07,4.2372881355932194e-06,0,41960,0,6,0,0,0,1,0,4.2,2134,-1,0,25,1,0.5,0,2.7,3,0,2,0,0,0.4,51072,0,0,0,1,546,2984,0,1,92,Burnley,Southampton,Swansea,West Ham,Everton,0.7,1.0,0.0,2.1,0.8,0.7,1.0,0.7,1.2,1.5,1.2,0.7,1.0,0.8,0.7,0.7,0.8,1.1,0.8,0.8,28.0
Charlie,Austin,FWD,SOU,6200000,1,45,2.5,4.0322580645161295e-07,7.25806451612903e-06,0,147007,1,9,0,0,0,5,0,7.3,24271,-3,0,45,3,0.8,0,5.0,7,0,1,0,0,5.6,382331,0,0,0,1,518,89227,0,0,138,Huddersfield,Tottenham,Man Utd,Crystal Palace,Watford,2.7,1.7,1.5,2.6,2.4,2.2,2.5,2.1,2.0,1.7,2.9,2.2,2.0,1.8,1.3,1.6,2.2,2.4,2.0,1.9,60.6
Andre,Ayew,MID,WHU,6800000,0,38,2.1111111111111103,3.10457516339869e-07,5.58823529411765e-06,0,89590,2,19,0,0,0,2,0,5.6,1264,-2,0,38,2,0.1,0,0.7,2,0,1,0,2,1.0,40710,0,0,0,0,716,376,0,0,133,Newcastle,Bournemouth,West Brom,Tottenham,Huddersfield,2.1,1.4,0.0,3.1,1.1,2.0,1.8,1.1,1.4,1.1,1.6,1.8,1.6,1.7,1.1,1.8,1.1,1.1,1.1,2.3,34.6
Jordan,Ayew,FWD,SWA,5000000,1,43,2.4,4.8e-07,8.599999999999999e-06,0,309697,0,22,0,0,0,1,0,8.6,15193,0,0,43,0,0.3,0,1.7,0,0,5,0,2,3.1,347826,0,0,0,0,1391,11202,0,0,143,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,2.5,1.6,2.2,2.1,2.1,1.9,2.2,2.0,1.9,1.9,2.3,1.7,2.1,1.4,2.0,2.5,1.9,1.5,2.1,2.7,70.9
Cesar,Azpilicueta,DEF,CHE,6900000,7,89,5.2,7.53623188405797e-07,1.28985507246377e-05,0,531831,1,14,0,0,0,1,0,12.9,35393,4,0,89,-4,0.4,0,2.7,12,0,7,0,5,21.5,983608,1,0,0,2,1530,29946,0,0,430,Everton,Brighton,Stoke,Arsenal,Leicester,4.3,7.5,6.9,4.9,5.8,6.4,6.2,7.3,7.4,4.8,5.6,7.4,6.2,7.2,7.7,6.5,7.5,5.8,6.6,5.7,77.4
Eric,Bailly,DEF,MUN,6000000,0,46,5.8,9.66666666666667e-07,7.66666666666667e-06,0,829768,2,3,0,0,0,1,0,7.7,16662,0,0,46,0,0.0,0,0.0,3,0,6,0,0,6.4,580492,0,0,0,1,720,63,0,0,198,Leicester,Burnley,Southampton,Everton,Stoke,0.0,0.0,0.0,0.0,0.0,6.3,6.2,8.7,5.8,8.5,6.3,8.2,6.1,7.7,5.7,8.7,5.9,8.7,6.3,8.0,28.3
