FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,Costa,FWD,CHE,10400000,8,166,5.7,5.48076923076923e-07,1.5961538461538502e-05,0,2758968,7,25,0,0,0,17,0,15.8,114575,9,1,166,-9,0.3,1,3.0,22,0,11,0,9,31.9,3631109,0,533,0,3,2572,8200,-1,0,569,Man Utd,Southampton,Everton,Middlesbrough,West Brom,6.5,7.9,5.6,7.7,14.8,8.3
Thibaut,Courtois,GLK,CHE,5900000,2,119,3.8,6.44067796610169e-07,2.01694915254237e-05,0,376771,1,25,0,59,0,0,0,20.2,13072,4,0,119,-4,0.4,0,2.3,0,0,13,0,0,14.8,492507,0,230,0,1,2790,3599,0,0,521,Man Utd,Southampton,Everton,Middlesbrough,West Brom,3.4,5.2,3.0,4.6,8.7,4.4
Philippe,Coutinho,MID,LIV,8500000,8,128,1.33333333333333,1.56862745098039e-07,1.5058823529411801e-05,0,2518796,2,25,0,0,0,9,0,15.2,8146,5,-1,128,-5,0.9,0,7.5,16,0,4,0,7,22.3,2580302,0,459,0,3,1768,85023,1,0,482,West Brom,Crystal Palace,Watford,Southampton,West Ham,0.7,0.7,0.7,0.7,0.7,0.9
Aaron,Cresswell,DEF,WHU,5100000,0,50,2.4,4.7058823529411793e-07,9.803921568627451e-06,0,37223,2,30,0,0,0,0,0,9.6,1487,-4,1,50,4,0.3,0,1.5,1,0,4,0,2,0.4,34267,0,514,0,0,1788,84,-1,1,282,Sunderland,Everton,Stoke,Tottenham,Liverpool,0.0,0.0,2.0,2.6,3.1,1.4
Peter,Crouch,FWD,STK,4600000,0,61,2.8,6.08695652173913e-07,1.32608695652174e-05,0,311392,1,19,0,0,0,4,0,13.0,14148,-4,1,61,4,0.1,0,0.5,6,0,3,0,3,3.7,417802,0,47,0,2,1078,3986,-1,0,180,Hull City,Swansea,West Ham,Bournemouth,Arsenal,3.8,2.6,3.3,2.2,3.0,2.1
Juan,Cuadrado,MID,CHE,6900000,0,0,0.0,0.0,0.0,0,54053,0,0,0,0,0,0,0,0.0,45,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.6,764,0,8,0,0,0,3,0,0,0,Man Utd,Southampton,Everton,Middlesbrough,West Brom,0.0,0.0,0.0,0.0,0.0,0.0
Josh,Cullen,MID,WHU,4400000,0,0,0.0,0.0,0.0,0,4738,0,0,0,0,0,0,0,0.0,12,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,1123,0,0,0,0,0,13,0,0,0,Sunderland,Everton,Stoke,Tottenham,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Daniels,DEF,BOU,5100000,1,109,3.9,7.64705882352941e-07,2.13725490196078e-05,0,581675,1,45,0,0,0,3,0,21.4,11351,1,0,109,-1,0.7,0,3.5,12,0,8,0,3,8.7,752116,0,491,0,4,2520,8232,0,0,582,Tottenham,Middlesbrough,Sunderland,Stoke,Burnley,3.4,4.9,3.4,5.5,5.1,2.6
Scott,Dann,DEF,CRY,5200000,0,61,2.7,5.19230769230769e-07,1.1730769230769198e-05,0,299823,2,36,0,0,0,3,0,11.7,2751,-3,0,61,3,0.1,0,0.5,4,0,2,0,1,2.3,110046,0,480,0,2,1752,89,0,0,310,Leicester,Liverpool,Tottenham,Burnley,Man City,0.0,0.0,2.9,2.4,3.1,2.1
Tendayi,Darikwa,DEF,BUR,4200000,0,0,0.0,0.0,0.0,0,2277,0,0,0,0,0,0,0,0.0,32,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1082,0,0,0,0,0,19,0,0,0,Everton,Man Utd,Crystal Palace,West Brom,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0
Matteo,Darmian,DEF,MUN,5000000,6,42,0.4375,8.75e-08,8.400000000000001e-06,0,84643,3,5,0,0,0,0,0,8.4,126,-5,0,42,5,0.4,0,1.8,4,0,5,0,0,0.6,34406,0,257,0,0,853,259,0,0,203,Chelsea,Burnley,Man City,Swansea,Arsenal,0.2,0.4,0.2,0.2,0.4,0.2
