FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
James,McCarthy,MID,EVE,4900000,1,2,0.0909090909090909,1.85528756957328e-08,4.08163265306122e-07,0,1953,0,2,0,0,0,0,0,0.4,51,-1,0,2,1,0.1,0,0.4,0,0,0,0,0,0.0,507,0,0,0,0,73,119,0,0,7,Tottenham,West Brom,Leicester,Arsenal,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
James,McClean,MID,WBA,4800000,8,28,1.27272727272727,2.65151515151515e-07,5.83333333333333e-06,0,8819,3,11,0,0,0,1,0,5.8,318,-2,0,28,2,0.5,0,2.2,1,0,3,0,0,0.1,5895,1,0,0,0,697,858,0,0,85,Brighton,Everton,Man City,Southampton,Chelsea,0.8,0.6,0.6,0.7,0.6,1.0,0.6,0.7,0.6,0.7,0.9,0.6,0.6,0.6,0.6,0.6,49.1
Sam,McQueen,DEF,SOU,4300000,0,12,0.545454545454545,1.26849894291755e-07,2.7906976744186e-06,0,5048,0,1,0,0,0,0,0,2.8,448,-2,0,12,2,0.4,0,1.8,2,0,1,0,0,0.1,3562,0,0,0,0,126,213,0,0,40,Watford,Tottenham,Brighton,West Brom,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,6.6
Scott,McTominay,MID,MUN,4200000,0,4,0.18181818181818202,4.32900432900433e-08,9.52380952380952e-07,0,33253,0,0,0,0,0,0,0,1.0,1942,-3,0,4,3,0.0,0,0.2,0,0,1,0,0,0.4,47783,0,0,0,0,94,1973,0,0,19,Stoke,Burnley,Tottenham,Huddersfield,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.8
Ben,Mee,DEF,BUR,4900000,1,70,3.5,7.142857142857141e-07,1.42857142857143e-05,0,681403,3,19,0,0,0,0,0,14.3,90315,4,0,70,-4,0.6,0,2.8,6,0,8,0,0,14.8,976790,0,0,0,1,1800,65980,0,0,356,Crystal Palace,Man Utd,Newcastle,Man City,Swansea,0.0,3.8,3.4,3.2,3.2,3.9,3.3,3.8,4.3,3.5,4.3,3.4,3.7,4.8,2.9,3.6,81.3
Max,Melbourne,DEF,WBA,4000000,0,0,0.0,0.0,0.0,0,983,0,0,0,0,0,0,0,0.0,180,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2091,0,0,0,0,0,398,0,0,0,Brighton,Everton,Man City,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin,Mendy,DEF,MCI,6300000,0,17,0.7727272727272729,1.2265512265512302e-07,2.6984126984127003e-06,0,110614,2,1,0,0,0,0,0,2.7,256,-2,0,17,2,0.0,0,0.0,1,0,2,0,1,0.3,87703,0,0,0,0,298,49,0,0,84,Liverpool,Newcastle,West Brom,Burnley,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,19.7
Nampalys,Mendy,MID,LEI,4500000,0,0,0.0,0.0,0.0,0,3819,0,0,0,0,0,0,0,0.0,39,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1288,0,0,0,0,0,16,0,0,0,Chelsea,Watford,Everton,Swansea,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel,Merino,MID,NEW,5000000,0,40,2.4,4.8e-07,8e-06,0,14093,4,15,0,0,0,1,0,8.0,390,0,0,40,0,0.2,0,1.0,4,0,3,0,1,0.1,14860,0,0,0,0,1137,133,0,0,233,Swansea,Man City,Burnley,Crystal Palace,Man Utd,2.2,1.2,1.8,1.6,1.5,1.9,1.2,1.9,1.4,2.5,1.6,2.0,2.0,2.2,1.8,1.7,66.0
Per,Mertesacker,DEF,ARS,4800000,0,15,0.681818181818182,1.42045454545455e-07,3.125e-06,0,41425,0,7,0,0,0,1,0,3.1,1049,-2,0,15,2,0.0,0,0.2,2,0,0,0,0,0.5,28697,0,0,0,1,351,1101,0,0,77,Bournemouth,Crystal Palace,Swansea,Everton,Tottenham,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.5,0.3,0.3,0.3,15.7
