FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Francis,Coquelin,MID,ARS,4400000,0,7,0.33333333333333304,7.575757575757571e-08,1.59090909090909e-06,0,36528,0,6,0,0,0,0,0,1.6,375,-1,0,7,1,0.1,0,0.3,0,0,0,0,0,0.6,15372,0,0,0,0,164,159,0,0,35,Chelsea,Bournemouth,Crystal Palace,Swansea,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.8
Jack,Cork,MID,BUR,4600000,3,58,2.8,6.08695652173913e-07,1.26086956521739e-05,0,265164,5,17,0,0,0,1,0,12.6,15564,1,0,58,-1,0.5,0,2.4,3,0,10,0,1,3.6,395449,0,0,0,0,1890,8521,0,0,301,Liverpool,Crystal Palace,Man Utd,Newcastle,Man City,2.0,1.9,2.2,2.4,1.5,2.6,2.5,3.2,2.0,2.3,2.2,2.2,2.5,2.0,2.7,1.6,2.9,67.4
,Costa,FWD,CHE,9500000,0,0,0.0,0.0,0.0,0,65694,0,0,0,0,0,0,0,0.0,46,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.4,2372,0,0,0,0,0,6,0,0,0,Arsenal,Leicester,Brighton,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut,Courtois,GLK,CHE,5500000,6,92,4.4,8e-07,1.67272727272727e-05,0,555112,0,14,0,41,0,0,0,16.7,35547,0,0,92,0,0.8,0,4.3,2,0,11,0,0,13.4,378486,0,0,0,0,1890,13410,0,0,392,Arsenal,Leicester,Brighton,Bournemouth,Watford,3.8,4.8,5.2,5.2,5.8,6.0,3.8,4.2,6.4,4.9,5.5,6.5,5.0,6.0,4.3,5.4,4.5,29.8
Philippe,Coutinho,MID,LIV,9200000,2,103,4.90476190476191,5.33126293995859e-07,1.1195652173913e-05,0,1020985,0,14,0,0,0,7,0,11.2,105714,2,0,103,-2,0.9,0,8.3,15,0,5,0,7,15.8,1508982,0,0,0,4,1109,122875,0,0,381,Burnley,Man City,Swansea,Huddersfield,Tottenham,4.8,4.1,5.8,4.8,5.4,5.0,6.4,6.3,3.4,5.2,4.5,5.4,6.5,5.0,5.9,4.2,6.2,169.4
Martin,Cranie,DEF,HUD,4000000,0,2,0.0952380952380952,2.38095238095238e-08,5e-07,0,18081,0,7,0,0,0,0,0,0.5,835,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.3,23027,0,0,0,0,179,460,0,0,35,Leicester,West Ham,Stoke,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Aaron,Cresswell,DEF,WHU,5100000,0,61,3.2,6.274509803921571e-07,1.19607843137255e-05,0,120159,2,31,0,0,0,0,0,12.0,13890,1,0,61,-1,0.9,0,4.7,6,0,6,0,3,3.9,298093,0,0,0,0,1584,93004,0,0,314,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,6.5,2.4,3.4,4.7,3.1,4.0,2.4,2.4,3.8,3.5,3.7,2.9,3.9,2.1,3.0,2.2,3.2,73.4
Peter,Crouch,FWD,STK,4900000,0,43,2.7,5.510204081632651e-07,8.77551020408163e-06,0,231802,1,15,0,0,0,3,0,8.8,17344,-1,0,43,1,0.5,0,2.4,4,0,0,0,2,3.3,271855,0,0,0,0,753,12995,0,0,144,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,2.8,1.7,3.0,2.6,2.4,2.9,2.4,2.3,2.2,2.9,1.5,2.5,1.9,2.4,1.8,2.9,2.2,59.2
Charlie,Daniels,DEF,BOU,4700000,0,57,3.2,6.808510638297871e-07,1.21276595744681e-05,0,957064,0,23,0,0,0,1,0,12.1,22526,-3,1,57,3,0.1,0,0.7,4,0,4,0,1,6.7,425572,0,0,0,0,1585,3691,-1,0,317,Brighton,Arsenal,West Ham,Chelsea,Stoke,3.3,3.8,3.4,3.1,3.7,2.6,3.4,2.4,3.5,3.9,3.8,4.6,2.6,3.4,3.1,3.1,3.1,65.7
,Danilo,DEF,MCI,5000000,6,53,2.52380952380952,5.04761904761905e-07,1.06e-05,0,321896,1,2,0,0,0,1,0,10.6,5942,-5,0,53,5,0.8,0,4.1,3,0,6,0,1,2.6,214427,0,0,0,0,658,25551,0,0,215,Watford,Liverpool,Newcastle,West Brom,Burnley,2.6,1.9,2.2,2.7,2.3,1.9,1.7,2.6,2.2,3.0,1.5,2.2,1.9,2.0,2.5,2.6,2.3,37.4
Scott,Dann,DEF,CRY,4700000,0,32,1.9,4.0425531914893603e-07,6.80851063829787e-06,0,74197,4,26,0,0,0,1,0,6.8,5199,-3,0,32,3,0.6,0,2.7,0,0,1,0,0,0.5,39248,0,0,0,0,1434,370,0,0,211,Southampton,Burnley,Arsenal,West Ham,Newcastle,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,1.3,1.1,1.6,1.0,2.2,1.7,1.3,1.3,1.9,67.0
Karl,Darlow,GLK,NEW,4400000,7,16,0.7619047619047621,1.7316017316017302e-07,3.63636363636364e-06,0,14992,0,9,0,17,0,0,0,3.6,815,-1,0,16,1,0.5,0,2.1,0,0,1,0,0,0.2,6504,0,0,0,0,450,1872,0,0,87,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,13.1
