FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Bamidele,Alli,MID,TOT,9200000,6,194,6.3,6.84782608695652e-07,2.10869565217391e-05,0,886107,4,18,0,0,0,16,0,21.1,25075,7,0,194,-7,0.9,0,8.0,16,0,15,0,9,35.2,1925186,0,666,0,4,2514,23188,0,0,570,Crystal Palace,Arsenal,West Ham,Man Utd,Leicester,6.1,7.5,4.9,14.5,6.6
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1481,0,0,0,0,0,0,0,0.0,50,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3432,0,0,0,0,0,30,0,0,0,Middlesbrough,Sunderland,Stoke,Burnley,Leicester,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,0,143,5.5,8.08823529411765e-07,2.1029411764705897e-05,0,335449,2,16,0,0,0,5,0,21.0,64204,8,0,143,-8,0.4,0,2.8,7,0,12,0,4,14.8,900630,0,0,0,2,2243,13019,0,0,555,Southampton,Everton,Middlesbrough,West Brom,Watford,7.9,5.2,7.6,14.3,7.4
Daniel,Amartey,MID,LEI,4400000,0,49,2.3,5.22727272727273e-07,1.11363636363636e-05,0,26667,3,29,0,0,0,1,0,11.1,196,-1,0,49,1,0.2,0,0.8,3,0,4,0,1,0.2,27834,0,23,0,1,1528,55,0,0,241,Arsenal,West Brom,Watford,Man City,Tottenham,1.2,1.2,2.8,3.0,2.1
Jordi,Amat,DEF,SWA,3900000,0,21,1.2,3.07692307692308e-07,5.3846153846153804e-06,0,478295,5,36,0,0,0,0,0,5.4,8781,-1,0,21,1,0.0,0,0.0,0,0,2,0,0,7.9,423116,0,63,0,0,1409,1959,0,0,237,Stoke,Man Utd,Everton,Sunderland,West Brom,1.0,0.6,0.7,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,3,56,2.4,4.8e-07,1.12e-05,0,17092,3,37,0,0,0,0,0,11.2,64,0,0,56,0,0.5,0,2.3,5,0,4,0,3,0.1,15987,0,74,0,0,1683,30,0,0,209,Hull City,Liverpool,Leicester,Everton,Chelsea,1.6,1.6,1.3,2.4,1.6
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2536,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1833,0,0,0,0,0,9,0,0,0,Liverpool,Tottenham,Burnley,Man City,Hull City,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2817,0,0,0,0,0,0,0,0.0,10,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,968,0,0,0,0,0,6,0,0,0,Man Utd,Middlesbrough,Crystal Palace,Leicester,West Brom,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,2,42,0.424242424242424,9.8661028893587e-08,9.76744186046512e-06,0,308243,1,18,0,0,0,3,0,9.8,6797,-2,0,42,2,0.3,0,1.3,5,0,2,0,1,1.5,357257,0,0,0,1,913,7122,0,0,139,Middlesbrough,Bournemouth,Hull City,Swansea,Arsenal,0.2,0.2,0.2,0.4,0.2
Michail,Antonio,MID,WHU,6700000,0,132,4.6,6.86567164179104e-07,1.9701492537313398e-05,0,1355715,4,43,0,0,0,9,0,19.4,18084,-3,1,132,3,0.1,0,0.5,8,0,7,0,8,5.8,1366743,0,452,0,3,2433,153,-1,1,410,Everton,Stoke,Tottenham,Liverpool,Burnley,0.0,0.0,0.0,0.0,0.0
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6114,0,0,0,0,0,0,0,0.2,14,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,389,0,176,0,0,10,4,0,0,3,Hull City,Liverpool,Leicester,Everton,Chelsea,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5823,3,9,0,0,0,0,0,0.0,16,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5447,0,0,0,0,258,23,0,0,34,Everton,Stoke,Tottenham,Liverpool,Burnley,0.0,0.0,0.0,0.0,0.0
