FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Michail,Antonio,MID,WHU,6800000,1,131,4.7,6.91176470588235e-07,1.92647058823529e-05,0,1296633,4,43,0,0,0,9,0,19.3,14191,-2,0,131,2,0.5,0,3.5,8,0,7,0,8,7.1,1365864,0,452,0,3,2394,5590,0,1,408,Swansea,Sunderland,Everton,Stoke,Tottenham,0.0,5.5,5.8,4.3,4.9,4.2,4.6
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6094,0,0,0,0,0,0,0,0.2,7,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,385,0,176,0,0,10,3,0,0,3,Tottenham,Swansea,Hull City,Liverpool,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5778,3,9,0,0,0,0,0,0.0,14,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5392,0,0,0,0,258,41,0,0,34,Swansea,Sunderland,Everton,Stoke,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,0,60,2.2,4.23076923076923e-07,1.15384615384615e-05,0,7949,3,31,0,0,0,1,0,11.5,50,-3,0,60,3,0.3,0,1.8,3,0,5,0,2,0.1,4686,0,0,0,1,1767,22,0,0,231,Middlesbrough,Everton,Man Utd,Crystal Palace,West Brom,1.1,1.1,1.8,1.1,2.0,1.1,1.5
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,153,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,405,0,0,0,0,0,20,0,0,0,Tottenham,Swansea,Hull City,Liverpool,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,2,87,3.3,4.6478873239436597e-07,1.2253521126760601e-05,0,119836,9,32,0,0,0,5,0,12.3,2535,-4,0,87,4,0.2,0,1.7,6,0,8,0,3,1.0,79917,0,528,0,2,2191,1235,0,1,306,Liverpool,Hull City,Swansea,West Ham,Bournemouth,2.6,4.4,2.5,2.7,2.1,2.7,2.0
Harry,Arter,MID,BOU,5000000,8,68,2.3,4.6e-07,1.36e-05,0,22394,8,53,0,0,0,1,0,13.6,154,0,0,68,0,0.5,1,2.3,5,0,6,0,3,0.3,23048,0,188,0,0,2426,404,0,1,407,Chelsea,Tottenham,Middlesbrough,Sunderland,Stoke,1.5,1.2,2.2,1.8,2.1,2.6,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4464,0,0,0,0,0,0,0,0.0,8,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,647,0,0,0,0,0,5,0,0,0,Crystal Palace,Middlesbrough,Leicester,Tottenham,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.010752688172043001,2.4437927663734103e-09,2.2727272727272702e-07,0,634,0,0,0,0,0,0,0,0.2,6,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,540,0,0,0,0,10,4,0,0,3,Man Utd,West Ham,Middlesbrough,Bournemouth,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6300000,0,59,4.5,7.142857142857141e-07,9.36507936507936e-06,0,899143,1,7,0,0,0,6,0,9.4,376,-2,0,59,2,0.0,0,0.0,10,0,6,0,1,1.8,869783,0,32,0,1,866,52,0,0,211,West Brom,Man City,Chelsea,Hull City,Liverpool,0.0,0.0,3.7,6.8,5.0,4.4,6.1
Daniel,Ayala,DEF,MID,4800000,0,23,0.247311827956989,5.152329749103941e-08,4.79166666666667e-06,0,11184,2,10,0,0,0,1,0,4.8,15,-2,0,23,2,0.0,0,0.0,0,0,2,0,0,0.1,6075,0,0,0,0,577,29,0,0,121,Burnley,Arsenal,Bournemouth,Sunderland,Man City,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,2,53,0.5698924731182801,8.02665455096168e-08,7.4647887323943695e-06,0,278888,0,18,0,0,0,4,0,7.5,893,-4,0,53,4,0.6,0,4.3,2,0,2,0,1,1.1,16886,0,524,0,0,857,1035,0,0,165,Swansea,Sunderland,Everton,Stoke,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Jordan,Ayew,FWD,SWA,5000000,4,11,0.11827956989247301,2.36559139784946e-08,2.2e-06,0,3604,1,4,0,0,0,0,0,2.2,468,0,0,11,0,0.4,0,2.0,0,0,2,0,1,0.2,9792,0,0,0,0,317,2858,0,0,15,West Ham,Watford,Stoke,Man Utd,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cesar,Azpilicueta,DEF,CHE,6400000,5,128,4.3,6.71875e-07,2e-05,0,546956,3,24,0,0,0,0,0,20.0,7523,4,0,128,-4,0.4,0,2.7,16,0,13,0,3,17.4,715339,0,470,0,1,2700,7311,0,0,675,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,5.0,4.1,6.2,3.7,5.5,4.9,5.3
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1411,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,335,0,138,0,0,0,1,0,0,0,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,4,62,3.6,6.79245283018868e-07,1.1698113207547199e-05,0,524658,3,13,0,0,0,0,0,11.7,799,-2,0,62,2,0.9,0,4.7,13,0,6,0,0,6.5,247351,0,0,0,0,1368,13095,0,0,371,Sunderland,Chelsea,Burnley,Man City,Swansea,3.3,4.0,6.8,4.0,4.4,3.4,4.3
Leighton,Baines,DEF,EVE,5800000,2,110,4.4,7.586206896551721e-07,1.89655172413793e-05,0,620573,2,24,0,0,0,2,0,19.0,9444,3,0,110,-3,0.4,1,2.5,13,0,9,0,3,12.6,788172,0,212,0,1,2189,23750,0,0,506,Leicester,Burnley,West Ham,Chelsea,Swansea,5.6,6.1,5.1,5.9,4.4,5.8,5.0
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11932,0,0,0,0,0,0,0,0.0,26,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,2008,0,0,0,0,0,18,0,0,0,Stoke,West Brom,Crystal Palace,Watford,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
