FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast
Abdoulaye,Doucoure,MID,WAT,4600000,1,38,0.342342342342342,7.442224833529179e-08,8.26086956521739e-06,0,1308,4,32,0,0,0,1,0,8.3,0,-4,0,38,4,0,0,0,0,0,4,0,0,0.0,821,0,0,0,0,1352,0,0,0,226,Man City,,,,,0.2
Stewart,Downing,MID,MID,4800000,2,77,2.6,5.41666666666667e-07,1.60416666666667e-05,0,63686,1,39,0,0,0,1,0,16.0,0,-7,0,77,7,0,0,0,3,0,7,0,3,0.4,32596,0,0,0,0,2214,0,0,0,364,Liverpool,,,,,1.3
Luke,Dreher,MID,CRY,4400000,0,0,0.0,0.0,0.0,0,282,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,414,0,0,0,0,0,0,0,0,0,Man Utd,,,,,0.0
Daniel,Drinkwater,MID,LEI,5300000,0,69,2.4,4.52830188679245e-07,1.3018867924528301e-05,0,334990,6,44,0,0,0,1,0,13.0,0,-2,0,69,2,0,0,0,3,0,8,0,1,3.6,88489,0,592,0,0,2466,0,0,0,384,Bournemouth,,,,,0.0
Nathan,Dyer,MID,SWA,4700000,0,12,1.5,3.1914893617021297e-07,2.5531914893617e-06,0,7883,0,11,0,0,0,0,0,2.6,0,-3,0,12,3,0,0,0,0,0,0,0,1,0.1,1878,0,64,0,0,214,0,0,0,47,West Brom,,,,,0.0
,Eduardo,GLK,CHE,4500000,0,0,0.0,0.0,0.0,0,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51,0,0,0,0,0,0,0,0,0,Sunderland,,,,,0.0
Thomas,Edwards,DEF,STK,4000000,0,0,0.0,0.0,0.0,0,308,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,654,0,0,0,0,0,0,0,0,0,Southampton,,,,,0.0
Oviemuno,Ejaria,MID,LIV,4400000,0,2,1.0,2.2727272727272702e-07,4.54545454545455e-07,0,278,0,0,0,0,0,0,0,0.5,0,-1,0,2,1,0,0,0,0,0,0,0,0,0.0,276,0,0,0,0,8,0,0,0,6,Middlesbrough,,,,,0.0
Omar,Elabdellaoui,DEF,HUL,4400000,-1,13,0.11711711711711699,2.6617526617526602e-08,2.95454545454545e-06,0,1109,0,16,0,0,0,0,0,3.0,0,-1,0,13,1,0,0,0,0,0,1,0,0,0.0,1458,0,0,0,0,615,0,0,0,111,Tottenham,,,,,0.1
Andrew,Eleftheriou,DEF,WAT,4000000,0,0,0.0,0.0,0.0,0,740,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1165,0,0,0,0,52,0,0,0,4,Man City,,,,,0.0
Ahmed,Elmohamady,MID,HUL,4600000,1,62,1.9,4.1304347826086996e-07,1.34782608695652e-05,0,23070,3,63,0,0,0,0,0,13.5,0,-4,0,62,4,0,0,0,1,0,3,0,2,0.2,9014,1,0,0,0,2523,0,0,1,428,Tottenham,,,,,1.3
Mohamed,Elneny,MID,ARS,4500000,0,26,0.23423423423423398,5.20520520520521e-08,5.7777777777777805e-06,0,33295,1,9,0,0,0,0,0,5.8,0,-5,0,26,5,0,0,0,0,0,3,0,1,0.4,11147,0,134,0,0,694,0,0,0,133,Everton,,,,,0.1
Elliot,Embleton,MID,SUN,4400000,0,0,0.0,0.0,0.0,0,277,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.0,471,0,0,0,0,0,0,0,0,0,Chelsea,,,,,0.0
Marvin,Emnes,FWD,SWA,4400000,0,0,0.0,0.0,0.0,0,25979,0,0,0,0,0,0,0,0.0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,15455,0,4,0,0,0,0,0,0,0,West Brom,,,,,0.0
Christian,Eriksen,MID,TOT,8900000,9,218,6.1,6.853932584269659e-07,2.44943820224719e-05,0,1092708,0,24,0,0,0,8,0,24.5,0,4,0,218,-4,0,0,0,30,0,16,0,20,17.9,1394534,0,738,0,5,3159,0,0,0,798,Hull City,,,,,6.5
,Ethan Robson,MID,SUN,4500000,0,0,0.0,0.0,0.0,0,137,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,164,0,0,0,0,0,0,0,0,0,Chelsea,,,,,0.0
,Evandro,MID,HUL,4900000,0,18,0.162162162162162,3.3094318808604506e-08,3.6734693877551003e-06,0,711,1,10,0,0,0,0,0,3.7,0,-1,0,18,1,0,0,0,0,0,3,0,0,0.0,810,0,0,0,0,576,0,0,0,88,Tottenham,,,,,0.1
Jonny,Evans,DEF,WBA,4400000,8,79,2.5,5.68181818181818e-07,1.7954545454545498e-05,0,392466,8,39,0,0,0,2,0,18.0,0,-1,0,79,1,0,0,0,7,0,4,0,1,4.1,258822,0,343,0,1,2637,0,0,0,478,Swansea,,,,,1.8
Lukasz,Fabianski,GLK,SWA,4800000,0,116,3.1,6.45833333333333e-07,2.41666666666667e-05,0,164605,1,69,0,117,0,0,0,24.2,0,-2,0,116,2,0,0,0,8,0,8,0,0,3.6,166347,0,366,1,0,3330,0,0,0,650,West Brom,,,,,3.9
,Fabio,DEF,MID,4200000,1,58,0.522522522522523,1.2441012441012402e-07,1.3809523809523801e-05,0,38197,8,30,0,0,0,0,0,13.8,0,-3,0,58,3,0,0,0,8,0,6,0,0,0.4,50772,0,0,0,0,1847,0,0,0,347,Liverpool,,,,,0.3
Cesc,Fabregas,MID,CHE,7000000,8,121,1.09009009009009,1.5572715572715598e-07,1.72857142857143e-05,0,290032,8,14,0,0,0,5,0,17.3,0,-5,0,121,5,0,0,0,14,0,4,0,15,3.3,176332,0,617,0,3,1340,0,0,0,529,Sunderland,,,,,0.8
Adam,Federici,GLK,BOU,4400000,0,8,4.0,9.09090909090909e-07,1.81818181818182e-06,0,4322,1,3,0,5,0,0,0,1.8,0,-1,0,8,1,0,0,0,1,0,1,0,0,0.1,2240,0,31,0,0,180,0,0,0,37,Leicester,,,,,0.0
Sofiane,Feghouli,MID,WHU,5000000,8,55,0.495495495495495,9.90990990990991e-08,1.1e-05,0,159928,1,23,0,0,0,3,0,11.0,0,-5,0,55,5,0,0,0,4,0,1,0,3,0.7,34908,0,0,0,1,1042,0,0,1,220,Burnley,,,,,0.2
Marouane,Fellaini,MID,MUN,5800000,0,48,1.7,2.9310344827586197e-07,8.27586206896552e-06,0,23711,8,14,0,0,0,1,0,8.3,0,-2,0,48,2,0,0,0,0,0,10,0,0,0.3,16717,0,164,0,0,1604,0,0,1,259,Crystal Palace,,,,,0.0
Leroy,Fer,MID,SWA,4800000,2,95,2.8,5.83333333333333e-07,1.97916666666667e-05,0,704215,9,49,0,0,0,6,0,19.8,0,-2,0,95,2,0,0,0,5,0,4,0,2,4.6,749056,0,107,0,2,2405,0,0,0,429,West Brom,,,,,2.5
Edimilson,Fernandes,MID,WHU,4700000,5,38,0.342342342342342,7.28387962430516e-08,8.08510638297872e-06,0,873,4,18,0,0,0,0,0,8.1,0,-3,0,38,3,0,0,0,0,0,3,0,1,0.0,921,0,0,0,0,1002,0,0,0,148,Burnley,,,,,0.2
Federico,Fernandez,DEF,SWA,4200000,1,63,2.3,5.476190476190479e-07,1.4999999999999999e-05,0,86286,7,41,0,0,0,0,0,15.0,0,-3,0,63,3,0,0,0,4,0,6,0,1,1.9,67419,0,333,0,1,2430,0,0,0,435,West Brom,,,,,2.6
,Fernandinho,MID,MCI,5300000,8,78,2.4,4.52830188679245e-07,1.47169811320755e-05,0,133539,4,27,0,0,0,2,0,14.7,0,-2,0,78,2,0,0,0,3,0,10,0,1,1.5,89887,0,417,0,0,2755,0,0,2,483,Watford,,,,,1.9
,Fernando,MID,MCI,4700000,0,18,0.162162162162162,3.45025876940771e-08,3.82978723404255e-06,0,15960,3,10,0,0,0,0,0,3.8,0,-3,0,18,3,0,0,0,1,0,1,0,0,0.2,8223,0,236,0,0,568,0,0,0,106,Watford,,,,,0.1
Sam,Field,MID,WBA,4300000,0,9,0.0810810810810811,1.88560653676933e-08,2.09302325581395e-06,0,694,2,1,0,0,0,0,0,2.1,0,-2,0,9,2,0,0,0,0,0,1,0,0,0.0,715,0,0,0,0,275,0,0,0,50,Swansea,,,,,0.0
Roberto,Firmino,MID,LIV,8500000,6,180,5.1,6e-07,2.11764705882353e-05,0,1585670,5,39,0,0,0,11,0,21.2,0,0,0,180,0,0,0,0,17,0,11,0,11,8.8,1512419,0,522,0,6,3062,0,0,0,639,Middlesbrough,,,,,6.8
Viktor,Fischer,MID,MID,4900000,0,25,0.225225225225225,4.59643316786174e-08,5.10204081632653e-06,0,44023,0,6,0,0,0,0,0,5.1,0,-6,0,25,6,0,0,0,0,0,1,0,3,0.2,2205,0,0,0,0,438,0,0,0,91,Liverpool,,,,,0.1
Mathieu,Flamini,MID,CRY,4200000,0,12,0.108108108108108,2.57400257400257e-08,2.8571428571428602e-06,0,6264,0,6,0,0,0,0,0,2.9,0,-3,0,12,3,0,0,0,0,0,0,0,0,0.1,7577,0,0,0,0,274,0,0,0,47,Man Utd,,,,,0.1
Jon,Flanagan,DEF,BUR,4300000,0,9,0.0810810810810811,1.88560653676933e-08,2.09302325581395e-06,0,19332,2,4,0,0,0,0,0,2.1,0,-2,0,9,2,0,0,0,0,0,1,0,0,0.2,5222,0,67,0,0,360,0,0,0,55,West Ham,,,,,0.0
Ashley,Fletcher,FWD,WHU,5000000,1,16,0.14414414414414403,2.88288288288288e-08,3.2e-06,0,13421,2,13,0,0,0,0,0,3.2,0,0,0,16,0,0,0,0,0,0,0,0,0,0.2,14319,0,0,0,0,367,0,0,0,33,Burnley,,,,,0.1
Darren,Fletcher,MID,WBA,4400000,5,103,2.7,6.13636363636364e-07,2.34090909090909e-05,0,640073,0,45,0,0,0,2,0,23.4,0,-1,0,103,1,0,0,0,2,0,8,0,3,8.1,447906,0,403,0,1,3231,0,0,0,453,Swansea,,,,,1.9
Michael,Folivi,FWD,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,411,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,488,0,0,0,0,10,0,0,0,2,Man City,,,,,0.0
Jose,Fonte,DEF,WHU,5300000,2,98,3.0,5.66037735849057e-07,1.84905660377358e-05,0,245913,4,46,0,0,0,0,0,18.5,0,-2,0,98,2,0,0,0,10,0,11,0,0,3.2,158939,0,487,0,1,2934,0,0,0,592,Burnley,,,,,2.0
Adam,Forshaw,MID,MID,4500000,2,77,2.3,5.11111111111111e-07,1.7111111111111098e-05,0,50819,4,36,0,0,0,0,0,17.1,0,0,0,77,0,0,0,0,3,0,9,0,2,0.4,61682,0,0,0,0,2695,0,0,0,401,Liverpool,,,,,1.2
