FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Phil,Bardsley,DEF,BUR,4300000,0,33,1.17857142857143,2.74086378737542e-07,7.674418604651159e-06,0,55510,5,13,0,0,0,0,0,7.7,1748,-2,0,33,2,0.1,0,0.3,0,0,4,0,0,0.6,79300,0,0,0,0,1125,138,0,0,193,Everton,West Ham,West Brom,Watford,Leicester,0.6,0.6,0.0,0.6,0.7,0.7,0.6,0.9,0.6,0.6,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0357142857142857,4.89236790606654e-09,1.36986301369863e-07,0,14176,0,1,0,0,0,0,0,0.1,152,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.1,5448,0,0,0,0,53,17,0,0,4,Man City,Crystal Palace,Tottenham,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9
Ashley,Barnes,FWD,BUR,5200000,6,52,1.9,3.6538461538461497e-07,1e-05,0,99497,7,15,0,0,0,4,0,10.0,1756,-3,0,52,3,0.6,0,3.0,3,0,3,0,0,1.0,105090,0,0,0,0,1434,6323,0,0,152,Everton,West Ham,West Brom,Watford,Leicester,1.8,1.1,0.0,1.2,1.3,1.7,1.5,1.8,1.0,1.7,87.9
Modou,Barrow,MID,SWA,5000000,0,0,0.0,0.0,0.0,0,267,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,51,0,0,0,0,0,0,0,0,0,West Ham,Huddersfield,Man Utd,West Brom,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth,Barry,MID,WBA,4500000,2,56,2.2,4.88888888888889e-07,1.24444444444444e-05,0,126212,4,35,0,0,0,1,0,12.4,1067,0,0,56,0,0.4,0,1.7,0,0,4,0,2,0.9,70546,0,0,0,0,1921,439,0,0,287,Watford,Leicester,Bournemouth,Burnley,Swansea,0.0,2.0,1.4,1.8,2.0,1.1,1.4,1.4,1.6,1.2,82.0
Kyle,Bartley,DEF,SWA,4300000,0,4,0.14285714285714302,3.3222591362126203e-08,9.30232558139535e-07,0,5621,1,2,0,0,0,0,0,0.9,29,-2,0,4,2,0.0,0,0.0,0,0,0,0,0,0.1,1273,0,0,0,0,165,22,0,0,24,West Ham,Huddersfield,Man Utd,West Brom,Everton,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.5925925925925896e-07,3.08641975308642e-06,0,181193,0,7,0,0,0,2,0,3.1,201,-4,0,25,4,0.0,0,0.0,3,0,1,0,1,0.5,121621,1,0,0,1,351,3,0,0,77,Man City,Crystal Palace,Tottenham,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7
Moritz,Bauer,DEF,STK,4500000,2,16,0.5714285714285711,1.26984126984127e-07,3.55555555555556e-06,0,9976,2,7,0,0,0,0,0,3.6,1778,0,0,16,0,0.4,0,1.7,0,0,2,0,0,0.8,53036,0,0,0,0,540,2237,0,0,93,Southampton,Man City,Everton,Arsenal,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,22.7
Jan,Bednarek,DEF,SOU,4100000,0,0,0.0,0.0,0.0,0,9480,0,0,0,0,0,0,0,0.0,75,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,2478,0,0,0,0,0,82,0,0,0,Stoke,Newcastle,West Ham,Arsenal,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asmir,Begovic,GLK,BOU,4500000,1,84,3.0,6.66666666666667e-07,1.86666666666667e-05,0,237468,2,43,0,78,0,0,0,18.7,4243,0,0,84,0,0.2,0,1.0,4,0,5,0,0,4.0,170623,0,0,1,3,2520,1570,0,0,460,Leicester,Tottenham,West Brom,Watford,Crystal Palace,2.3,3.1,3.3,3.0,4.3,2.7,3.3,3.0,3.0,2.9,58.1
Valon,Behrami,MID,WAT,4500000,0,0,0.0,0.0,0.0,0,9968,0,0,0,0,0,0,0,0.0,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,645,0,0,0,0,0,2,0,0,0,West Brom,Arsenal,Liverpool,Bournemouth,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hector,Bellerin,DEF,ARS,6000000,1,100,3.6,6e-07,1.6666666666666698e-05,0,790367,4,39,0,0,0,2,0,16.7,15930,0,0,100,0,0.3,0,1.7,7,0,9,0,2,11.3,649690,0,0,0,1,2520,18278,0,0,505,Brighton,Watford,Stoke,Southampton,Newcastle,3.1,4.9,0.0,4.9,4.5,2.6,5.2,2.4,4.7,2.6,134.7
Yohan,Benalouane,DEF,LEI,4200000,0,0,0.0,0.0,0.0,0,3533,0,0,0,0,0,0,0,0.0,32,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.1,1494,0,0,0,0,0,34,0,0,0,Bournemouth,West Brom,Brighton,Newcastle,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian,Benteke,FWD,CRY,7600000,2,66,3.0,3.9473684210526293e-07,8.68421052631579e-06,0,449590,5,29,0,0,0,2,0,8.7,5431,-4,0,66,4,0.5,1,4.0,5,0,5,0,6,2.3,124153,0,0,0,0,1838,1393,0,0,119,Man Utd,Chelsea,Huddersfield,Liverpool,Bournemouth,3.2,1.8,2.5,2.8,2.8,3.6,2.6,3.5,2.9,3.6,124.0
Saido,Berahino,FWD,STK,5600000,0,18,0.6428571428571429,1.14795918367347e-07,3.21428571428571e-06,0,34960,0,9,0,0,0,0,0,3.2,141,-4,0,18,4,0.1,1,0.7,0,0,2,0,1,0.2,14725,0,0,0,0,440,103,0,0,38,Southampton,Man City,Everton,Arsenal,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.3
Steven,Berghuis,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,238,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,39,0,0,0,0,0,0,0,0,0,West Brom,Arsenal,Liverpool,Bournemouth,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bernardo Silva,MID,MCI,7400000,8,72,2.57142857142857,3.47490347490348e-07,9.72972972972973e-06,0,134783,0,6,0,0,0,3,0,9.7,4297,-6,0,72,6,0.7,0,5.0,0,0,6,0,5,1.0,79108,0,0,0,0,1034,8621,0,0,306,Chelsea,Stoke,Everton,Man Utd,Tottenham,1.9,1.8,0.0,2.1,1.9,1.5,2.3,1.8,2.7,2.0,96.5
Ryan,Bertrand,DEF,SOU,5300000,2,69,2.8,5.283018867924531e-07,1.3018867924528301e-05,0,783222,1,35,0,0,0,0,0,13.0,2023,-2,0,69,2,0.2,0,1.0,4,0,4,0,4,4.5,297808,0,0,0,1,2245,2827,0,0,409,Stoke,Newcastle,West Ham,Arsenal,Chelsea,3.1,2.3,0.0,2.8,2.5,2.8,2.2,2.4,1.8,2.2,103.7
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,14817,0,0,0,0,0,0,0,0.5,139,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.2,11517,0,0,0,0,46,46,0,0,10,Burnley,Brighton,Stoke,Man City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,0,15,0.535714285714286,1.21753246753247e-07,3.40909090909091e-06,0,38123,3,8,0,0,0,0,0,3.4,82,-1,0,15,1,0.1,0,0.3,0,0,3,0,0,0.2,32002,0,0,0,0,556,23,0,0,65,Tottenham,Swansea,Crystal Palace,Newcastle,Brighton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.8
Daley,Blind,DEF,MUN,5100000,0,20,0.7142857142857142,1.4005602240896402e-07,3.92156862745098e-06,0,188332,0,0,0,0,0,0,0,3.9,308,-4,0,20,4,0.0,0,0.0,0,0,3,0,0,0.8,135706,0,0,0,0,274,16,0,0,88,Crystal Palace,Liverpool,Swansea,Man City,West Brom,0.0,0.4,0.0,0.4,0.4,0.4,0.4,0.5,0.4,0.4,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,991,0,0,0,0,0,0,0,0.2,2,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,542,0,0,0,0,17,1,0,0,1,Man City,Crystal Palace,Tottenham,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6591,0,1,0,0,0,0,0,0.4,6,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1878,0,0,0,0,71,0,0,0,5,Southampton,Man City,Everton,Arsenal,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,1,11,0.3928571428571429,6.138392857142862e-08,1.71875e-06,0,8972,0,9,0,0,0,0,0,1.7,305,-1,0,11,1,0.2,0,1.0,0,0,1,0,0,0.1,6584,0,0,0,0,339,109,0,0,20,Burnley,Brighton,Stoke,Man City,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.3
Gaetan,Bong,DEF,BHA,4400000,2,42,2.8,6.36363636363636e-07,9.54545454545455e-06,0,11594,1,19,0,0,0,0,0,9.5,316,-1,0,42,1,0.5,0,2.0,3,0,4,0,0,0.2,12406,0,0,0,1,1350,237,0,0,256,Arsenal,Everton,Leicester,Huddersfield,Crystal Palace,3.7,1.5,0.0,2.9,3.3,3.2,3.0,2.4,3.1,2.2,31.7
Wilfried,Bony,FWD,SWA,5600000,0,33,1.17857142857143,2.1045918367346898e-07,5.89285714285714e-06,0,87611,2,8,0,0,0,2,0,5.9,233,-4,1,33,4,0.1,0,0.3,3,0,2,0,1,0.1,87630,0,0,0,0,701,22,-1,0,103,West Ham,Huddersfield,Man Utd,West Brom,Everton,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.6,0.6,0.9,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,154220,0,0,0,0,0,0,0,0.0,460,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,1.2,7935,0,0,0,0,0,215,0,0,0,Leicester,Tottenham,West Brom,Watford,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
