FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Victor,Anichebe,FWD,SUN,4600000,0,36,3.6,7.826086956521741e-07,7.82608695652174e-06,0,209489,1,12,0,0,0,3,0,7.7,56860,1,1,36,-1,0.3,0,1.3,5,0,2,0,1,2.8,311762,0,0,0,1,690,2477,-1,0,133,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0.0,3.0,4.5,3.9,4.5,2.7,4.5,3.0,5.3,3.1,3.2,4.0,4.9,3.0,4.7,4.1,4.9,2.2
Michail,Antonio,MID,WHU,6800000,2,89,4.7,6.91176470588235e-07,1.30882352941176e-05,0,861940,4,28,0,0,0,8,0,13.1,75519,-2,0,89,2,0.7,0,4.5,4,0,6,0,2,9.6,1042307,0,452,0,2,1636,43985,0,0,284,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,0.0,4.7,4.6,4.0,5.4,4.9,4.7,3.9,6.7,4.5,3.2,5.5,5.4,5.8,4.3,5.0,4.2,4.3
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,5952,0,0,0,0,0,0,0,0.2,42,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,361,0,176,0,0,10,4,0,0,3,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4600000,0,0,0.0,0.0,0.0,0,5289,3,9,0,0,0,0,0,0.0,202,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,5024,0,0,0,0,258,39,0,0,34,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,2,47,2.5,4.807692307692311e-07,9.03846153846154e-06,0,6817,3,23,0,0,0,1,0,9.0,584,-3,0,47,3,0.6,0,3.0,3,0,4,0,2,0.1,4219,0,0,0,1,1325,264,0,0,166,Southampton,Arsenal,Leicester,Watford,Chelsea,0.0,0.0,0.0,1.4,2.0,1.2,1.3,1.2,1.7,2.2,2.4,1.3,1.2,2.3,1.2,2.4,1.2,2.2
Marko,Arnautovic,MID,STK,7100000,3,39,2.4,3.38028169014085e-07,5.49295774647887e-06,0,89944,5,20,0,0,0,1,0,5.5,787,-4,0,39,4,0.1,0,0.8,0,0,5,0,2,0.7,39375,0,528,0,0,1322,810,0,1,143,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,2.1,1.9,2.1,1.5,1.7,1.2,2.1,1.2,1.6,1.7,1.5,1.4,2.0,1.7,1.8,1.3,1.4,1.4
Harry,Arter,MID,BOU,5000000,1,46,2.3,4.6e-07,9.2e-06,0,15838,5,34,0,0,0,0,0,9.2,1272,0,0,46,0,0.4,0,2.0,2,0,6,0,2,0.3,18915,0,188,0,0,1753,1937,0,1,303,Hull City,Watford,Crystal Palace,Everton,Man City,1.3,2.4,1.8,1.2,1.6,1.2,1.3,1.8,2.0,1.2,1.2,1.6,1.2,2.2,1.7,2.0,2.8,1.4
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4295,0,0,0,0,0,0,0,0.0,38,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,544,0,0,0,0,0,23,0,0,0,Swansea,Burnley,Watford,Chelsea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0166666666666667,3.78787878787879e-09,2.2727272727272702e-07,0,558,0,0,0,0,0,0,0,0.2,17,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,483,0,0,0,0,10,15,0,0,3,Stoke,West Brom,Tottenham,Crystal Palace,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,876466,1,7,0,0,0,6,0,9.2,13934,-1,1,59,1,0.0,0,0.0,10,0,6,0,1,2.4,868444,0,32,0,1,866,555,-1,0,211,Burnley,Leicester,Swansea,West Ham,Sunderland,0.0,0.0,0.0,0.0,0.0,5.6,4.6,5.3,3.9,6.1,6.3,4.5,5.9,3.5,6.5,4.6,4.5,5.7
