FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
,Bernardo Silva,MID,MCI,7200000,1,88,2.6666666666666696,3.7037037037037e-07,1.2222222222222199e-05,0,207713,0,9,0,0,0,4,0,12.2,3498,-8,0,88,8,0.2,0,1.3,3,0,7,0,5,1.2,159129,0,0,0,1,1240,6754,0,0,357,Swansea,West Ham,Huddersfield,Brighton,Southampton,2.5,2.0,5.2,2.2,110.3
Ryan,Bertrand,DEF,SOU,5300000,9,87,2.8,5.283018867924531e-07,1.64150943396226e-05,0,803085,2,47,0,0,0,0,0,16.4,2417,-2,0,87,2,0.5,0,2.8,4,0,6,0,5,5.0,308836,0,0,0,1,2785,1942,0,0,502,Bournemouth,Everton,Swansea,Man City,,0.0,2.3,4.1,2.3,127.9
Muhamed,Besic,MID,EVE,4200000,0,2,1.0,2.38095238095238e-07,4.76190476190476e-07,0,15509,0,0,0,0,0,0,0,0.5,73,-3,0,2,3,0.0,0,0.0,0,0,0,0,0,0.1,11671,0,0,0,0,46,12,0,0,10,Newcastle,Huddersfield,Southampton,West Ham,,0.0,0.0,0.0,0.0,3.0
Philip,Billing,MID,HUD,4400000,1,18,0.529411764705882,1.2032085561497298e-07,4.09090909090909e-06,0,38564,3,9,0,0,0,0,0,4.1,49,-1,0,18,1,0.2,0,0.7,0,0,3,0,0,0.2,32162,0,0,0,0,623,9,0,0,78,Everton,Man City,Chelsea,Arsenal,,0.0,0.3,0.6,0.3,16.4
Daley,Blind,DEF,MUN,5100000,1,21,0.617647058823529,1.21107266435986e-07,4.11764705882353e-06,0,189522,0,0,0,0,0,0,0,4.1,89,-4,0,21,4,0.1,0,0.3,0,0,3,0,0,0.9,135942,0,0,0,0,284,49,0,0,91,Arsenal,Brighton,West Ham,Watford,,0.0,0.3,0.6,0.3,15.2
Jeremie,Boga,MID,CHE,6000000,0,1,1.0,1.66666666666667e-07,1.66666666666667e-07,0,997,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,545,0,0,0,0,17,0,0,0,1,Swansea,Liverpool,Huddersfield,Newcastle,,0.0,0.0,0.0,0.0,0.0
,Bojan,MID,STK,5500000,0,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,6605,0,1,0,0,0,0,0,0.4,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1884,0,0,0,0,71,0,0,0,5,Burnley,Liverpool,Crystal Palace,Swansea,,0.0,0.0,0.0,0.0,1.9
Yannick,Bolasie,MID,EVE,6400000,2,32,0.941176470588235,1.47058823529412e-07,5e-06,0,15580,0,14,0,0,0,1,0,5.0,547,-1,0,32,1,0.6,0,4.0,0,0,3,0,1,0.3,18311,0,0,0,0,738,2094,0,0,75,Newcastle,Huddersfield,Southampton,West Ham,,0.5,0.5,0.5,0.5,34.7
Gaetan,Bong,DEF,BHA,4400000,3,48,2.3,5.22727272727273e-07,1.09090909090909e-05,0,13882,2,29,0,0,0,0,0,10.9,430,-1,0,48,1,0.3,0,1.3,3,0,4,0,0,0.2,15312,1,0,0,1,1877,92,0,0,297,Burnley,Man Utd,Man City,Liverpool,,0.0,1.5,3.6,1.5,45.7
Wilfried,Bony,FWD,SWA,5600000,0,33,2.2,3.9285714285714297e-07,5.89285714285714e-06,0,88287,2,8,0,0,0,2,0,5.9,50,-4,0,33,4,0.0,0,0.0,3,0,2,0,1,0.1,87792,0,0,0,0,701,29,0,0,103,Man City,Chelsea,Bournemouth,Southampton,Stoke,0.0,0.0,0.0,0.0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0.0,0.0,0.0,0,158662,0,0,0,0,0,0,0,0.0,888,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,1.4,10122,0,0,0,0,0,91,0,0,0,Southampton,Swansea,Burnley,,,0.0,0.0,0.0,0.0,0.0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.61764705882353,2.83797729618163e-07,9.64912280701754e-06,0,23723,1,24,0,0,0,2,0,9.6,192,-3,0,55,3,0.1,0,0.3,2,0,1,0,2,0.2,17882,0,0,0,0,1206,20,0,0,215,Bournemouth,Everton,Swansea,Man City,,0.0,1.1,1.9,0.8,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0.0,0.0,0.0,0,199971,0,0,0,0,0,0,0,0.0,2128,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,3.2,110568,0,0,0,0,0,1251,0,0,0,Southampton,Swansea,Burnley,,,0.0,0.0,0.0,0.0,0.0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.981132075471699e-07,1.05660377358491e-05,0,212776,3,12,0,0,0,1,0,10.6,87,-2,0,56,2,0.0,0,0.0,7,0,6,0,4,0.4,199012,0,0,0,1,1277,19,0,0,216,Stoke,Brighton,Arsenal,Bournemouth,,0.0,0.0,0.0,0.0,97.3
Claudio,Bravo,GLK,MCI,4500000,0,1,0.0303030303030303,6.73400673400673e-09,2.22222222222222e-07,0,40282,0,0,0,0,0,0,0,0.2,128,-5,0,1,5,0.0,0,0.0,0,0,0,0,0,0.5,9188,0,0,0,0,44,260,0,0,4,Swansea,West Ham,Huddersfield,Brighton,Southampton,0.0,0.0,0.0,0.0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.647058823529412,1.50478796169631e-07,5.11627906976744e-06,0,145778,3,16,0,0,0,1,0,5.1,67,-2,0,22,2,0.0,0,0.0,0,0,2,0,0,0.5,115433,0,0,0,0,795,15,0,1,149,Crystal Palace,Tottenham,Newcastle,Man Utd,,0.5,0.3,0.3,0.3,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.272727272727273,6.19834710743802e-08,2.04545454545455e-06,0,8903,1,1,0,0,0,0,0,2.0,22,-1,0,9,1,0.0,0,0.0,0,0,3,0,0,0.1,4208,0,0,0,0,269,13,0,0,25,Man City,Chelsea,Bournemouth,Southampton,Stoke,0.1,0.1,0.2,0.1,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.3076923076923105e-07,3.07692307692308e-06,0,3955,0,8,0,0,0,0,0,3.1,19,-3,0,16,3,0.0,0,0.0,0,0,0,0,0,0.0,694,0,0,0,0,302,17,0,0,60,Burnley,Man Utd,Man City,Liverpool,,0.0,0.0,0.0,0.0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0.0,0.0,0.0,0,157,0,0,0,0,0,0,0,0.0,19,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,311,0,0,0,0,0,25,0,0,0,Arsenal,Man City,Leicester,Man Utd,Everton,0.0,0.0,0.0,0.0,0.0
,Bruno,DEF,BHA,4500000,2,68,3.1,6.88888888888889e-07,1.5111111111111099e-05,0,107354,3,20,0,0,0,0,0,15.1,1453,0,0,68,0,0.1,0,0.5,5,0,8,0,0,0.8,136882,0,0,0,0,1746,58,0,0,355,Burnley,Man Utd,Man City,Liverpool,,0.0,2.5,5.7,2.5,47.7
