FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jerome,Sinclair,FWD,WAT,4900000,0,0,0.0,0.0,0.0,0,10012,0,0,0,0,0,0,0,0.0,263,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,7616,0,0,0,0,0,164,0,0,0,Huddersfield,Brighton,Leicester,Swansea,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa,Sissoko,MID,TOT,5400000,3,33,1.94117647058824,3.5947712418300706e-07,6.1111111111111095e-06,0,36282,0,8,0,0,0,1,0,6.1,896,-1,0,33,1,0.2,0,1.3,0,0,5,0,0,0.4,31333,0,0,0,0,779,255,0,0,132,Man City,Burnley,Southampton,Swansea,West Ham,1.0,1.0,1.4,0.0,3.4,2.0,1.2,1.3,1.0,1.7,1.0,2.1,1.3,1.7,1.0,1.0,1.0,1.0,1.2,1.1,1.4,52.7
Jiri,Skalak,MID,BHA,4700000,0,0,0.0,0.0,0.0,0,1687,0,0,0,0,0,0,0,0.0,39,-3,0,0,3,0.0,0,0.0,0,0,0,0,0,0.0,491,0,0,0,0,0,22,0,0,0,Burnley,Watford,Chelsea,Newcastle,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Islam,Slimani,FWD,LEI,6700000,0,12,0.7058823529411771,1.0535557506584699e-07,1.7910447761194e-06,0,24757,0,2,0,0,0,0,0,1.8,457,-3,0,12,3,0.1,0,0.5,0,0,0,0,1,0.3,11961,0,0,0,0,117,192,0,0,29,Crystal Palace,Man Utd,Watford,Liverpool,Huddersfield,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,11.7
Chris,Smalling,DEF,MUN,5400000,6,46,3.8,7.037037037037041e-07,8.518518518518519e-06,0,120863,2,9,0,0,0,1,0,8.5,5305,-1,0,46,1,0.7,0,3.8,2,0,5,0,0,4.6,265209,0,0,0,0,1005,22236,0,0,217,West Brom,Leicester,Burnley,Southampton,Everton,3.5,2.6,4.9,4.6,2.2,4.9,3.3,3.2,5.7,3.0,4.8,4.0,4.9,3.7,4.3,2.8,5.3,2.9,5.1,3.7,4.9,34.9
Tommy,Smith,DEF,HUD,4800000,1,33,2.4,5e-07,6.875e-06,0,28299,4,19,0,0,0,0,0,6.9,396,-2,0,33,2,0.3,0,1.5,2,0,4,0,0,0.3,13457,0,0,0,0,1204,143,0,0,196,Watford,Southampton,Stoke,Burnley,Leicester,2.0,1.6,2.7,2.7,1.2,3.4,1.4,2.6,1.2,2.3,1.5,1.4,2.2,3.6,1.3,1.7,2.6,1.6,2.1,1.2,2.8,37.4
Robert,Snodgrass,MID,WHU,5800000,0,0,0.0,0.0,0.0,0,231250,0,0,0,0,0,0,0,0.0,234,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.5,1819,0,0,0,0,0,3,0,0,0,Stoke,Newcastle,Bournemouth,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramadan,Sobhi,MID,STK,4600000,2,21,1.23529411764706,2.68542199488491e-07,4.56521739130435e-06,0,41922,0,15,0,0,0,0,0,4.6,754,-4,0,21,4,0.3,0,1.2,0,0,1,0,1,0.4,12814,0,0,0,0,606,369,0,0,92,West Ham,West Brom,Huddersfield,Chelsea,Newcastle,0.9,0.8,0.6,0.6,0.8,0.6,1.0,0.6,0.6,0.7,0.6,0.6,0.6,1.0,0.6,0.6,0.6,0.7,0.6,0.8,0.7,24.9
Dominic,Solanke,FWD,LIV,4700000,1,16,0.941176470588235,2.0025031289111397e-07,3.4042553191489397e-06,0,166459,0,3,0,0,0,0,0,3.4,4007,-3,0,16,3,0.3,0,1.5,0,0,1,0,1,1.7,78205,0,0,0,0,248,5099,0,0,38,Bournemouth,Arsenal,Swansea,Leicester,Burnley,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.6,25.8
Heung-Min,Son,MID,TOT,8000000,8,68,4.3,5.375e-07,8.5e-06,0,149553,0,5,0,0,0,5,0,8.5,21194,0,0,68,0,0.7,0,5.8,5,0,6,0,2,3.7,277713,0,0,0,2,885,30736,0,0,223,Man City,Burnley,Southampton,Swansea,West Ham,2.8,3.7,4.7,0.0,10.9,6.1,4.2,4.6,2.9,5.5,3.6,6.2,4.4,5.5,3.6,3.8,3.3,3.5,4.2,4.0,4.9,103.9
