FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Patrick,van Aanholt,DEF,CRY,5100000,13,68,2.6,5.098039215686279e-07,1.3333333333333301e-05,0,201202,7,37,0,0,0,3,0,13.3,5261,-4,0,68,4,1.0,0,5.0,3,0,5,0,0,1.8,109084,0,0,0,2,2011,7859,0,0,366,Stoke,West Brom,,,,2.4,2.5,95.3
Mike,van der Hoorn,DEF,SWA,4400000,2,73,2.0857142857142903,4.7402597402597397e-07,1.65909090909091e-05,0,60033,2,24,0,0,0,1,0,16.6,1627,-1,0,73,1,0.2,0,0.8,4,0,8,0,0,1.3,121697,0,0,0,1,1783,13542,0,0,375,Bournemouth,Southampton,Stoke,,,3.2,2.1,60.4
Virgil,van Dijk,DEF,LIV,5700000,5,70,2.9,5.08771929824561e-07,1.2280701754386e-05,0,446604,1,27,0,0,0,0,0,12.3,54832,2,0,70,-2,0.8,0,4.5,5,0,7,0,0,6.9,695072,0,0,0,1,2073,4537,0,0,437,Chelsea,Brighton,,,,2.5,3.6,89.9
Rajiv,van La Parra,MID,HUD,4500000,2,73,2.4,5.33333333333333e-07,1.62222222222222e-05,0,62524,2,36,0,0,0,3,0,16.2,2222,-5,0,73,5,0.5,0,2.3,3,0,6,0,0,0.4,78968,0,0,0,1,2071,750,0,1,241,Man City,Chelsea,Arsenal,,,2.5,2.5,112.6
Jamie,Vardy,FWD,LEI,8900000,2,159,4.7,5.280898876404489e-07,1.78651685393258e-05,0,2607347,3,49,0,0,0,17,0,17.9,66782,4,0,159,-4,0.5,1,4.5,22,0,8,0,2,23.4,3417787,0,0,0,2,2978,69083,0,0,580,West Ham,Arsenal,Tottenham,,,12.6,4.4,218.6
Jan,Vertonghen,DEF,TOT,6000000,6,123,3.6,6e-07,2.05e-05,0,676699,4,31,0,0,0,0,0,20.5,4505,0,0,123,0,0.5,0,2.8,10,0,14,0,1,10.0,757771,0,0,0,0,3029,46073,0,0,725,West Brom,Newcastle,Leicester,,,6.9,3.8,114.1
Nikola,Vlasic,MID,EVE,5300000,3,17,0.472222222222222,8.90985324947589e-08,3.20754716981132e-06,0,2602,0,11,0,0,0,0,0,3.2,9,-2,0,17,2,0.2,0,1.0,0,0,1,0,0,0.0,2721,0,0,0,0,515,23,0,0,76,Southampton,West Ham,,,,0.2,0.2,31.2
Sam,Vokes,FWD,BUR,5700000,1,60,1.6666666666666698,2.92397660818713e-07,1.05263157894737e-05,0,460233,3,10,0,0,0,4,0,10.5,1381,-3,0,60,3,0.4,0,2.0,7,0,2,0,2,2.0,345655,0,0,0,1,880,513,0,0,165,Arsenal,Bournemouth,,,,0.8,1.4,67.7
Michel,Vorm,GLK,TOT,4800000,0,3,0.0857142857142857,1.7857142857142902e-08,6.25e-07,0,9726,0,1,0,4,0,0,0,0.6,20,-2,0,3,2,0.0,0,0.0,0,0,0,0,0,0.1,7901,0,0,0,0,90,28,0,0,17,West Brom,Newcastle,Leicester,,,0.0,0.0,1.9
Molla,Wague,DEF,WAT,4500000,0,19,3.2,7.11111111111111e-07,4.2222222222222194e-06,0,4605,0,8,0,0,0,1,0,4.2,21,0,0,19,0,0.0,0,0.0,0,0,1,0,0,0.0,5076,0,0,0,0,438,11,0,0,82,Newcastle,Man Utd,,,,0.0,0.0,14.5
