FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8937,0,0,0,0,0,0,0,0.0,6,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1363,0,0,0,0,0,7,0,0,0,West Ham,Crystal Palace,Middlesbrough,Leicester,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,4900000,0,58,2.4,4.89795918367347e-07,1.18367346938776e-05,0,70322,3,31,0,0,0,0,0,11.8,2167,-6,0,58,6,0.5,0,2.5,2,0,6,0,3,1.0,35537,0,519,0,0,1705,1778,0,0,302,Sunderland,Everton,Crystal Palace,Arsenal,West Brom,2.9,1.2,1.4,1.2,1.2,2.9,1.2,2.2
Toby,Alderweireld,DEF,TOT,6300000,7,80,3.8,6.03174603174603e-07,1.26984126984127e-05,0,643962,1,12,0,0,0,0,0,12.7,544,-2,0,80,2,0.7,0,4.5,4,0,10,0,0,9.0,122701,0,598,0,0,1791,5090,0,0,420,Swansea,Watford,Bournemouth,Crystal Palace,Arsenal,3.4,4.8,5.5,4.2,5.5,4.3,4.0,3.4
Trent,Alexander-Arnold,MID,LIV,4300000,1,6,0.0666666666666667,1.55038759689922e-08,1.3953488372093e-06,0,1706,0,1,0,0,0,0,0,1.4,13,-2,0,6,2,0.1,0,0.3,0,0,0,0,0,0.0,1784,0,0,0,0,110,36,0,0,24,Bournemouth,Stoke,West Brom,Crystal Palace,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5100000,2,105,3.6,7.058823529411759e-07,2.05882352941176e-05,0,974873,8,42,0,0,0,6,0,20.6,15031,1,0,105,-1,0.4,0,2.0,10,0,8,0,3,9.9,1279723,0,132,0,1,2422,7760,0,0,457,Burnley,Liverpool,Hull City,Swansea,West Ham,2.8,3.0,4.9,2.9,3.0,2.5,3.1,2.4
Bamidele,Alli,MID,TOT,9000000,6,168,6.0,6.66666666666667e-07,1.86666666666667e-05,0,850125,4,17,0,0,0,14,0,18.9,6331,5,-1,168,-5,0.7,0,6.5,14,0,13,0,7,31.5,1726201,0,666,0,3,2251,98469,1,0,497,Swansea,Watford,Bournemouth,Crystal Palace,Arsenal,5.9,9.0,8.1,6.1,6.9,4.6,7.6,6.4
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1361,0,0,0,0,0,0,0,0.0,30,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3350,0,0,0,0,0,26,0,0,0,Liverpool,Chelsea,Tottenham,Middlesbrough,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,1,133,5.5,8.08823529411765e-07,1.95588235294118e-05,0,241646,2,14,0,0,0,4,0,19.6,20683,8,0,133,-8,0.4,0,3.0,7,0,12,0,4,15.7,848373,0,0,0,2,2063,6311,0,0,520,Man City,Bournemouth,Man Utd,Southampton,Everton,7.2,6.6,5.9,8.0,5.3,7.7,6.6,7.4
Daniel,Amartey,MID,LEI,4400000,1,47,2.4,5.454545454545451e-07,1.06818181818182e-05,0,26150,3,25,0,0,0,1,0,10.7,127,-1,0,47,1,0.1,0,0.5,3,0,4,0,1,0.2,27559,0,23,0,1,1438,82,0,0,220,Sunderland,Everton,Crystal Palace,Arsenal,West Brom,2.9,1.2,1.4,1.2,1.2,2.9,1.2,2.2
Jordi,Amat,DEF,SWA,3900000,0,21,1.2,3.07692307692308e-07,5.3846153846153804e-06,0,457204,5,36,0,0,0,0,0,5.4,4502,-1,0,21,1,0.0,0,0.0,0,0,2,0,0,8.2,416245,0,63,0,0,1409,1485,0,0,237,Tottenham,West Ham,Watford,Stoke,Man Utd,0.9,0.9,0.6,1.0,0.6,0.7,0.6,1.0
