FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Jeremy,Pied,DEF,SOU,4200000,0,7,0.23333333333333303,5.5555555555555594e-08,1.66666666666667e-06,0,6319,0,3,0,0,0,0,0,1.7,42,-3,0,7,3,0.0,0,0.0,1,0,0,0,1,0.1,3339,0,0,0,0,180,10,0,0,47,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0
Erik,Pieters,DEF,STK,4700000,0,58,2.4,5.1063829787234e-07,1.23404255319149e-05,0,56539,2,40,0,0,0,0,0,12.3,465,-3,0,58,3,0.4,0,2.0,0,0,6,0,1,0.6,27103,0,0,0,0,2087,2233,0,0,357,Everton,Arsenal,Tottenham,West Ham,Burnley,2.1,1.7,2.3,2.1,2.2,1.8,3.3,1.7,61.5
Paul,Pogba,MID,MUN,7800000,0,100,3.3333333333333304,4.27350427350427e-07,1.2820512820512801e-05,0,2796474,2,16,0,0,0,3,0,12.8,34055,-2,1,100,2,0.3,0,2.3,9,0,8,0,12,10.4,2134861,0,0,0,3,1554,833,-1,1,386,Swansea,Man City,West Brom,Bournemouth,Arsenal,0.0,3.8,1.7,4.1,2.7,4.0,2.1,3.5,156.6
Nick,Pope,GLK,BUR,4900000,9,131,4.9,1e-06,2.6734693877551e-05,0,279329,2,22,0,89,0,0,0,26.7,16775,4,0,131,-4,1.0,0,5.0,18,0,10,0,0,8.6,803899,0,0,1,3,2394,13469,0,0,565,West Brom,Watford,Leicester,Stoke,Brighton,0.0,5.2,6.1,5.8,6.2,7.1,5.4,5.6,69.2
Alex,Pritchard,MID,HUD,5400000,3,24,0.8,1.48148148148148e-07,4.44444444444444e-06,0,3859,0,4,0,0,0,1,0,4.4,478,-1,0,24,1,0.6,0,3.3,3,0,1,0,2,0.3,16028,0,0,0,1,359,3545,0,0,85,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,34.2
Sebastian,Prodl,DEF,WAT,4300000,1,38,1.26666666666667,2.94573643410853e-07,8.83720930232558e-06,0,31928,4,20,0,0,0,0,0,8.8,543,-2,0,38,2,1.0,0,4.3,0,0,5,0,0,0.3,19321,0,0,0,0,1233,821,0,0,221,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0.6,0.7,0.8,0.6,1.4,0.6,0.7,0.6,29.8
Davy,Propper,MID,BHA,5300000,2,76,2.5,4.71698113207547e-07,1.4339622641509399e-05,0,14676,2,40,0,0,0,0,0,14.3,183,-2,0,76,2,0.4,0,2.0,1,0,8,0,3,0.1,10367,0,0,0,0,2685,90,0,0,389,Leicester,Huddersfield,Crystal Palace,Tottenham,Burnley,0.0,2.3,2.8,1.4,2.0,1.5,2.0,1.2,94.3
Marc,Pugh,MID,BOU,4700000,0,26,0.866666666666667,1.8439716312056698e-07,5.5319148936170195e-06,0,6809,2,15,0,0,0,0,0,5.5,78,-3,0,26,3,0.0,0,0.0,0,0,4,0,0,0.1,2891,0,0,0,0,794,5,0,0,80,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,44.0
Jason,Puncheon,MID,CRY,4400000,0,11,0.3666666666666671,8.33333333333333e-08,2.5e-06,0,66120,5,14,0,0,0,0,0,2.5,125,-6,0,11,6,0.0,0,0.0,0,0,0,0,0,0.3,12871,0,0,0,0,574,7,0,0,38,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,25.1
Collin,Quaner,FWD,HUD,4600000,0,38,1.26666666666667,2.7536231884058e-07,8.26086956521739e-06,0,516435,3,19,0,0,0,0,0,8.3,8742,1,0,38,-1,0.4,0,2.0,0,0,2,0,4,4.7,561179,0,0,0,0,1025,5610,0,0,148,Crystal Palace,Newcastle,Brighton,Watford,Chelsea,1.0,0.6,0.6,0.9,0.6,1.1,0.6,0.9,65.9
