FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast
Christian,Eriksen,MID,TOT,8900000,2,201,5.9,6.629213483146071e-07,2.2584269662921302e-05,0,1041884,0,22,0,0,0,8,0,22.6,29922,4,0,201,-4,0.7,0,6.5,26,0,16,0,17,18.6,1378762,0,738,0,5,2979,23088,0,0,726,Man Utd,Leicester,Hull City,,,13.1,6.2
,Ethan Robson,MID,SUN,4500000,0,0,0.0,0.0,0.0,0,132,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,156,0,0,0,0,0,6,0,0,0,Swansea,Arsenal,Chelsea,,,0.0,0.0
,Evandro,MID,HUL,4900000,1,16,0.148148148148148,3.0234315948601696e-08,3.26530612244898e-06,0,690,1,6,0,0,0,0,0,3.3,13,-1,0,16,1,0.3,0,1.3,0,0,3,0,0,0.0,801,0,0,0,0,486,6,0,0,80,Crystal Palace,Tottenham,,,,0.1,0.1
Jonny,Evans,DEF,WBA,4400000,1,68,2.4,5.454545454545451e-07,1.54545454545455e-05,0,390965,8,33,0,0,0,1,0,15.5,7817,-1,0,68,1,0.3,0,1.3,6,0,4,0,1,4.1,257144,0,343,0,1,2367,394,0,0,420,Chelsea,Man City,Swansea,,,0.0,1.7
Lukasz,Fabianski,GLK,SWA,4800000,6,108,3.0,6.25e-07,2.25e-05,0,163365,1,69,0,113,0,0,0,22.5,1849,-2,0,108,2,1.1,0,5.5,7,0,7,0,0,3.4,157726,0,366,1,0,3240,1821,0,0,622,Sunderland,West Brom,,,,2.3,3.8
,Fabio,DEF,MID,4300000,0,56,0.5185185185185179,1.20585701981051e-07,1.30232558139535e-05,0,37714,8,25,0,0,0,0,0,13.0,1483,-2,0,56,2,0.0,0,0.2,8,0,6,0,0,0.4,50537,0,0,0,0,1685,154,0,0,322,Southampton,Liverpool,,,,0.3,0.3
Cesc,Fabregas,MID,CHE,6900000,12,104,0.962962962962963,1.3955984970477701e-07,1.50724637681159e-05,0,283023,8,13,0,0,0,4,0,15.1,1268,-6,0,104,6,0.7,0,5.0,14,0,3,0,13,2.9,151073,0,617,0,3,1148,43855,0,0,448,West Brom,Watford,Sunderland,,,1.2,0.6
Adam,Federici,GLK,BOU,4400000,0,8,4.0,9.09090909090909e-07,1.81818181818182e-06,0,4292,1,3,0,5,0,0,0,1.8,32,-1,0,8,1,0.0,0,0.0,1,0,1,0,0,0.1,2203,0,31,0,0,180,18,0,0,37,Burnley,Leicester,,,,0.0,0.0
Sofiane,Feghouli,MID,WHU,5000000,0,46,0.42592592592592604,8.51851851851852e-08,9.2e-06,0,159584,1,19,0,0,0,2,0,9.2,625,-5,0,46,5,0.0,0,0.0,3,0,1,0,3,0.7,34841,0,0,0,1,916,14,0,1,189,Liverpool,Burnley,,,,0.2,0.2
Marouane,Fellaini,MID,MUN,5800000,0,45,1.7,2.9310344827586197e-07,7.75862068965517e-06,0,23497,8,14,0,0,0,1,0,7.8,388,-2,0,45,2,0.2,0,1.2,0,0,9,0,0,0.3,16570,0,164,0,0,1530,84,0,1,241,Tottenham,Southampton,Crystal Palace,,,1.7,0.9
Leroy,Fer,MID,SWA,4800000,1,92,2.9,6.04166666666667e-07,1.9166666666666698e-05,0,701644,9,48,0,0,0,6,0,19.2,3834,-2,0,92,2,0.3,0,1.3,5,0,4,0,2,4.7,748314,0,107,0,2,2301,797,0,0,405,Sunderland,West Brom,,,,2.7,2.7
Edimilson,Fernandes,MID,WHU,4700000,1,32,0.296296296296296,6.30417651694247e-08,6.80851063829787e-06,0,862,3,13,0,0,0,0,0,6.8,7,-3,0,32,3,0.4,0,2.0,0,0,3,0,0,0.0,891,0,0,0,0,822,16,0,0,114,Liverpool,Burnley,,,,0.1,0.1
Federico,Fernandez,DEF,SWA,4200000,9,56,2.2,5.23809523809524e-07,1.3333333333333301e-05,0,85411,6,40,0,0,0,0,0,13.3,2221,-3,0,56,3,1.1,0,4.5,4,0,5,0,1,1.7,58611,0,333,0,1,2250,4658,0,0,399,Sunderland,West Brom,,,,1.4,2.5
,Fernandinho,MID,MCI,5300000,3,66,2.3,4.33962264150943e-07,1.2452830188679199e-05,0,132193,4,25,0,0,0,1,0,12.5,500,-2,0,66,2,0.5,0,2.8,3,0,9,0,1,1.5,88788,0,417,0,0,2485,5184,0,2,421,Leicester,West Brom,Watford,,,4.1,1.8
,Fernando,MID,MCI,4700000,0,17,0.15740740740740697,3.34909377462569e-08,3.61702127659574e-06,0,15886,3,9,0,0,0,0,0,3.6,63,-3,0,17,3,0.0,0,0.0,1,0,1,0,0,0.2,8148,0,236,0,0,558,99,0,0,99,Leicester,West Brom,Watford,,,0.2,0.1
Sam,Field,MID,WBA,4300000,1,9,0.0833333333333333,1.93798449612403e-08,2.09302325581395e-06,0,686,1,1,0,0,0,0,0,2.1,6,-2,0,9,2,0.1,0,0.3,0,0,1,0,0,0.0,695,0,0,0,0,225,12,0,0,48,Chelsea,Man City,Swansea,,,0.0,0.0
Roberto,Firmino,MID,LIV,8600000,3,174,5.1,5.930232558139529e-07,2.02325581395349e-05,0,1500094,5,39,0,0,0,11,0,20.2,99281,1,1,174,-1,0.6,0,4.8,17,0,10,0,10,10.6,1509599,0,522,0,6,2984,4411,-1,0,614,West Ham,Middlesbrough,,,,0.0,6.9
Viktor,Fischer,MID,MID,4900000,0,21,0.19444444444444395,3.96825396825397e-08,4.28571428571429e-06,0,44009,0,6,0,0,0,0,0,4.3,26,-6,0,21,6,0.0,0,0.0,0,0,1,0,2,0.2,2190,0,0,0,0,407,4,0,0,74,Southampton,Liverpool,,,,0.1,0.1
Mathieu,Flamini,MID,CRY,4200000,1,12,0.111111111111111,2.64550264550265e-08,2.8571428571428602e-06,0,6137,0,6,0,0,0,0,0,2.9,91,-3,0,12,3,0.0,0,0.2,0,0,0,0,0,0.1,7456,0,0,0,0,274,89,0,0,47,Hull City,Man Utd,,,,0.1,0.1
Jon,Flanagan,DEF,BUR,4300000,0,9,0.0833333333333333,1.93798449612403e-08,2.09302325581395e-06,0,19275,2,4,0,0,0,0,0,2.1,80,-2,0,9,2,0.1,0,0.3,0,0,1,0,0,0.2,5164,0,67,0,0,360,35,0,0,55,Bournemouth,West Ham,,,,0.0,0.0
Ashley,Fletcher,FWD,WHU,5000000,1,14,0.12962962962963,2.59259259259259e-08,2.8e-06,0,13323,2,10,0,0,0,0,0,2.8,64,0,0,14,0,0.1,0,0.3,0,0,0,0,0,0.1,14155,0,0,0,0,324,87,0,0,24,Liverpool,Burnley,,,,0.1,0.1
Darren,Fletcher,MID,WBA,4400000,2,94,2.7,6.13636363636364e-07,2.13636363636364e-05,0,631238,0,39,0,0,0,2,0,21.4,8478,-1,0,94,1,0.4,0,1.7,2,0,8,0,2,8.3,445444,0,403,0,1,2961,5415,0,0,411,Chelsea,Man City,Swansea,,,3.4,1.8
