FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Charlie,Austin,FWD,SOU,6300000,0,59,4.5,7.142857142857141e-07,9.36507936507936e-06,0,900582,1,7,0,0,0,6,0,9.4,371,-2,0,59,2,0.0,0,0.0,10,0,6,0,1,1.8,869998,0,32,0,1,866,77,0,0,211,Hull City,Liverpool,Arsenal,Middlesbrough,Man Utd,0.0,0.0,0.0,0.0
Daniel,Ayala,DEF,MID,4800000,0,30,0.294117647058824,6.127450980392161e-08,6.25e-06,0,12000,3,16,0,0,0,1,0,6.3,681,-2,0,30,2,0.3,0,1.2,0,0,3,0,0,0.1,7713,0,0,0,0,900,13,0,0,169,Man City,Chelsea,Southampton,Liverpool,,0.0,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,3,65,0.6372549019607839,8.975421154377249e-08,9.15492957746479e-06,0,281833,1,20,0,0,0,5,0,9.2,645,-4,0,65,4,0.5,0,3.2,2,0,4,0,1,1.1,18436,0,524,0,0,1122,328,0,0,196,Stoke,Tottenham,Liverpool,Burnley,,0.3,0.3,0.3,0.3
Jordan,Ayew,FWD,SWA,5000000,5,19,0.186274509803922,3.725490196078431e-08,3.8e-06,0,7829,1,5,0,0,0,0,0,3.8,958,0,0,19,0,0.6,0,2.8,0,0,3,0,2,0.2,15400,0,0,0,0,507,2242,0,0,43,Man Utd,Everton,Sunderland,West Brom,,0.1,0.1,0.1,0.1
Cesar,Azpilicueta,DEF,CHE,6400000,1,133,4.0,6.25e-07,2.078125e-05,0,595979,3,29,0,0,0,0,0,20.8,15632,4,0,133,-4,0.3,0,2.2,17,0,13,0,3,16.8,736154,0,470,0,1,2970,4581,0,0,728,Everton,Middlesbrough,West Brom,Watford,Sunderland,3.2,5.1,9.7,4.9
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1439,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,349,0,138,0,0,0,4,0,0,0,Everton,Middlesbrough,West Brom,Watford,Sunderland,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5500000,12,86,4.1,7.454545454545451e-07,1.56363636363636e-05,0,533678,3,13,0,0,0,0,0,15.6,4227,0,-1,86,0,1.1,0,6.0,13,0,10,0,0,9.8,399758,0,0,0,1,1728,35883,1,0,472,Swansea,Arsenal,Tottenham,Southampton,Crystal Palace,5.0,5.2,9.3,5.1
Leighton,Baines,DEF,EVE,5900000,6,122,4.4,7.45762711864407e-07,2.06779661016949e-05,0,677891,3,27,0,0,0,2,0,20.7,20005,4,0,122,-4,0.5,1,3.0,14,0,10,0,4,12.5,844750,0,212,0,1,2459,3899,0,0,571,Chelsea,Swansea,Watford,Arsenal,,5.9,4.2,6.0,4.9
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,12024,0,0,0,0,0,0,0,0.0,27,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,2083,0,0,0,0,0,20,0,0,0,Watford,Southampton,West Ham,Middlesbrough,,0.0,0.0,0.0,0.0
Patrick,Bamford,FWD,MID,4900000,0,11,0.107843137254902,2.20088035214086e-08,2.24489795918367e-06,0,6070,0,2,0,0,0,0,0,2.2,67,-1,0,11,1,0.1,0,0.3,0,0,0,0,0,0.1,7066,0,0,0,0,112,32,0,0,31,Man City,Chelsea,Southampton,Liverpool,,0.1,0.1,0.1,0.1
Alex,Baptiste,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,3718,0,0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2613,0,0,0,0,0,2,0,0,0,Man City,Chelsea,Southampton,Liverpool,,0.0,0.0,0.0,0.0
Phil,Bardsley,DEF,STK,4300000,0,27,0.264705882352941,6.15595075239398e-08,6.2790697674418605e-06,0,11691,4,17,0,0,0,0,0,6.3,77,-2,0,27,2,0.0,0,0.0,0,0,3,0,0,0.1,9150,0,107,0,0,1168,15,0,1,174,West Ham,Bournemouth,Arsenal,Southampton,,0.1,0.1,0.1,0.1
Ross,Barkley,MID,EVE,7100000,3,129,4.0,5.63380281690141e-07,1.8169014084507e-05,0,807158,5,31,0,0,0,4,0,18.2,12787,-4,0,129,4,0.5,0,3.2,9,0,11,0,11,7.2,709353,0,654,0,2,2621,2239,0,0,484,Chelsea,Swansea,Watford,Arsenal,,3.9,3.1,5.8,2.2
Ashley,Barnes,FWD,BUR,4500000,2,66,0.647058823529412,1.4379084967320302e-07,1.4666666666666698e-05,0,218144,5,24,0,0,0,5,0,14.7,10668,0,0,66,0,0.3,0,1.4,7,0,5,0,2,3.2,332305,0,0,0,1,1560,4343,0,1,180,Crystal Palace,West Brom,Bournemouth,West Ham,,0.3,0.3,0.3,0.3
Antonio,Barragan,DEF,MID,4400000,0,71,2.7,6.13636363636364e-07,1.6136363636363597e-05,0,114171,5,32,0,0,0,0,0,16.1,12722,-1,0,71,1,0.5,0,2.2,8,0,7,0,0,1.4,150302,0,0,0,0,2193,313,0,0,455,Man City,Chelsea,Southampton,Liverpool,,2.6,2.1,3.3,2.8
Modou,Barrow,FWD,SWA,5000000,0,34,1.9,3.8e-07,6.8e-06,0,122725,1,23,0,0,0,0,0,6.8,203,0,0,34,0,0.0,0,0.0,0,0,4,0,2,0.6,111767,0,120,0,0,1145,3,0,0,136,Man Utd,Everton,Sunderland,West Brom,,0.0,0.0,0.0,0.0
Gareth,Barry,MID,EVE,4300000,0,64,2.1,4.88372093023256e-07,1.4883720930232598e-05,0,383692,10,26,0,0,0,2,0,14.9,2469,-2,0,64,2,0.2,0,0.8,3,0,7,0,1,3.4,386983,0,418,0,0,1989,510,0,0,343,Chelsea,Swansea,Watford,Arsenal,,1.4,1.1,2.5,1.0
Joey,Barton,MID,BUR,4200000,2,37,2.6,6.19047619047619e-07,8.80952380952381e-06,0,15410,4,16,0,0,0,1,0,8.6,2578,-3,1,37,3,0.5,0,2.2,0,0,4,0,2,0.2,23228,0,0,0,0,1105,99,-1,0,205,Crystal Palace,West Brom,Bournemouth,West Ham,,0.0,0.0,0.0,0.0
