FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Gary,Cahill,DEF,CHE,6200000,6,29,2.9,4.6774193548387097e-07,4.67741935483871e-06,0,519021,0,9,0,0,0,0,0,4.7,2741,-3,0,29,3,0.8,0,5.0,1,0,4,0,0,3.5,52858,0,0,0,0,764,9348,0,1,162,Newcastle,West Ham,Huddersfield,Southampton,Everton,2.8,3.0,2.9,2.6,1.9,3.3,2.7,2.0,2.3,3.1,2.5,3.6,3.2,1.9,2.2,4.1,2.9,2.8,3.5,2.9,3.7,2.7,3.0,2.6,25.6
,Callum Wilson,FWD,BOU,6100000,2,24,1.7142857142857097,2.8103044496487105e-07,3.9344262295082004e-06,0,55293,0,2,0,0,0,3,0,3.9,32161,1,0,24,-1,1.0,0,5.8,3,0,3,0,0,5.6,347217,0,0,0,1,350,26182,0,0,80,Southampton,Crystal Palace,Man Utd,Liverpool,Man City,1.1,1.2,0.9,1.3,1.0,1.6,1.7,1.0,1.4,1.1,0.9,1.6,0.9,1.4,1.1,1.1,1.6,1.3,1.8,0.9,1.3,1.1,1.1,1.0,33.9
Dominic,Calvert-Lewin,FWD,EVE,5100000,2,38,2.7,5.294117647058821e-07,7.450980392156861e-06,0,175482,1,17,0,0,0,1,0,7.5,14056,1,0,38,-1,0.6,0,3.3,0,0,2,0,4,3.4,307536,0,0,0,0,948,20973,0,0,102,Huddersfield,Liverpool,Newcastle,Swansea,Chelsea,3.3,1.5,2.0,2.5,1.9,2.2,2.0,3.0,1.5,3.3,3.0,1.4,3.6,2.3,1.8,2.9,2.6,2.5,2.9,1.9,3.0,1.7,2.6,1.9,69.6
Geoff,Cameron,DEF,STK,4300000,0,13,0.9285714285714292,2.1594684385382105e-07,3.02325581395349e-06,0,33501,0,12,0,0,0,0,0,3.0,743,-2,1,13,2,0.0,0,0.0,0,0,1,0,0,0.3,22541,0,0,0,0,563,16,-1,0,93,Swansea,Tottenham,Burnley,West Ham,West Brom,0.5,0.5,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.3,0.5,16.2
Emre,Can,MID,LIV,4800000,5,28,2.5,5.20833333333333e-07,5.83333333333333e-06,0,409046,4,16,0,0,0,0,0,5.8,8274,-2,1,28,2,0.4,0,2.0,0,0,3,0,3,4.4,259866,0,0,0,0,815,2835,-1,0,154,Brighton,Everton,West Brom,Bournemouth,Arsenal,1.3,3.2,2.5,1.8,1.2,2.7,2.4,1.6,1.4,2.1,1.4,2.1,1.6,2.9,2.6,1.2,1.6,1.4,1.8,2.6,1.5,2.2,1.5,2.2,40.8
Etienne,Capoue,MID,WAT,5000000,0,14,1.0,2e-07,2.8e-06,0,275132,1,5,0,0,0,1,0,2.8,4030,-5,0,14,5,0.0,0,0.0,0,0,0,0,1,1.6,37929,0,0,0,0,202,141,0,0,56,Tottenham,Burnley,Crystal Palace,Huddersfield,Brighton,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,17.9
Michael,Carrick,MID,MUN,4300000,0,0,0.0,0.0,0.0,0,88912,0,0,0,0,0,0,0,0.0,2138,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,1.1,70179,0,0,0,0,0,269,0,0,0,Arsenal,Man City,Bournemouth,West Brom,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre,Carrillo,MID,WAT,5500000,4,25,2.1,3.8181818181818203e-07,4.54545454545455e-06,0,2907,0,17,0,0,0,0,0,4.5,121,0,0,25,0,0.4,0,2.0,0,0,1,0,2,0.0,3740,0,0,0,0,630,106,0,0,100,Tottenham,Burnley,Crystal Palace,Huddersfield,Brighton,1.1,1.7,1.6,1.7,1.4,1.3,1.5,1.1,1.1,1.6,1.6,1.0,1.6,1.9,1.4,1.1,1.1,1.4,1.1,1.6,1.5,1.4,1.5,1.0,31.0
Andy,Carroll,FWD,WHU,5900000,0,8,1.0,1.6949152542372902e-07,1.35593220338983e-06,0,41447,3,9,0,0,0,0,0,1.4,6188,-1,0,8,1,0.2,0,1.0,0,0,3,0,0,0.3,45425,0,0,0,0,539,171,0,1,1,Man City,Chelsea,Arsenal,Stoke,Newcastle,0.0,0.5,0.6,0.5,0.7,0.5,0.5,0.7,0.5,0.6,0.9,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.8,0.5,0.5,0.5,0.8,26.3
Tom,Carroll,MID,SWA,4500000,2,34,2.6,5.77777777777778e-07,7.55555555555556e-06,0,340288,1,14,0,0,0,0,0,7.6,20327,0,0,34,0,0.3,0,1.5,2,0,5,0,1,5.0,304368,0,0,0,0,1126,2481,0,0,175,Stoke,West Brom,Man City,Everton,Crystal Palace,2.0,2.3,1.3,2.4,2.5,1.3,2.2,2.0,2.1,1.9,2.6,1.9,1.9,1.7,2.7,1.9,2.0,1.3,2.0,3.0,1.3,1.7,2.4,2.0,55.0
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0.0,0.0,0.0,0,648,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,352,0,0,0,0,0,0,0,0,0,Watford,Stoke,Brighton,Man City,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0714285714285714,1.62337662337662e-08,2.2727272727272702e-07,0,932,0,0,0,0,0,0,0,0.2,14,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,176,0,0,0,0,19,5,0,0,4,Tottenham,Burnley,Crystal Palace,Huddersfield,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0.0,0.0,0.0,0,1738,0,0,0,0,0,0,0,0.0,41,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,558,0,0,0,0,0,20,0,0,0,Man Utd,Southampton,West Ham,Newcastle,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petr,Cech,GLK,ARS,5400000,6,60,4.3,7.96296296296296e-07,1.11111111111111e-05,0,154917,0,16,0,32,0,0,0,11.1,5462,-1,0,60,1,1.0,0,5.5,4,0,7,0,0,5.2,81244,0,0,0,0,1260,3342,0,0,273,Man Utd,Southampton,West Ham,Newcastle,Liverpool,6.0,3.6,3.6,5.9,6.3,3.8,3.6,5.5,3.1,6.4,3.2,5.4,3.3,4.6,3.8,5.7,2.6,5.9,5.8,3.1,6.4,2.2,5.7,3.5,26.6
,Cedric,DEF,SOU,4800000,2,39,2.8,5.83333333333333e-07,8.125e-06,0,531700,0,16,0,0,0,0,0,8.1,55556,-2,1,39,2,0.4,0,1.8,0,0,4,0,0,5.5,231830,0,0,0,0,1248,926,-1,0,219,Bournemouth,Arsenal,Leicester,Chelsea,Huddersfield,0.0,3.2,2.3,2.7,3.6,2.5,1.7,4.1,3.4,2.7,3.2,2.7,3.0,2.7,2.7,2.4,2.5,2.7,1.8,2.5,2.0,2.4,1.7,1.9,55.4
Nacer,Chadli,MID,WBA,5700000,0,12,0.857142857142857,1.50375939849624e-07,2.10526315789474e-06,0,37409,1,1,0,0,0,1,0,2.1,517,-3,0,12,3,0.0,0,0.0,3,0,1,0,0,0.2,9471,0,0,0,1,159,16,0,0,26,Crystal Palace,Swansea,Liverpool,Man Utd,Stoke,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,8.4
Nathaniel,Chalobah,MID,WAT,4300000,0,12,0.857142857142857,1.9933554817275698e-07,2.7906976744186e-06,0,179611,1,7,0,0,0,0,0,2.8,3067,-2,1,12,2,0.0,0,0.0,0,0,3,0,0,1.0,124514,0,0,0,0,429,410,-1,0,37,Tottenham,Burnley,Crystal Palace,Huddersfield,Brighton,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,19.6
