FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast
Tom,Huddlestone,MID,HUL,4600000,1,59,2.0,4.3478260869565203e-07,1.2826086956521699e-05,0,25939,5,38,0,0,0,1,0,12.8,189,-4,0,59,4,0.2,0,0.8,5,0,4,0,2,0.3,23799,1,0,0,1,1909,75,0,1,331,Sunderland,Crystal Palace,Tottenham,,,2.2,1.0,1.4
James,Husband,DEF,MID,4000000,0,0,0.0,0.0,0.0,0,96,0,3,0,0,0,0,0,0.0,14,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,246,0,0,0,0,58,23,0,0,3,Chelsea,Southampton,Liverpool,,,0.0,0.0,0.0
Noor,Husin,MID,CRY,4500000,0,0,0.0,0.0,0.0,0,64,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,69,0,0,0,0,0,0,0,0,0,Man City,Hull City,Man Utd,,,0.0,0.0,0.0
Robert,Huth,DEF,LEI,4900000,6,82,2.6,5.306122448979589e-07,1.6734693877551e-05,0,81968,9,49,0,0,0,2,0,16.7,1625,-1,0,82,1,0.7,0,3.6,1,0,8,0,2,2.1,104551,2,453,0,0,2836,5299,0,0,456,Watford,Man City,Tottenham,Bournemouth,,2.9,4.8,3.3
Emerson,Hyndman,MID,BOU,4400000,0,0,0.0,0.0,0.0,0,1356,0,0,0,0,0,0,0,0.0,3,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,673,0,0,0,0,0,0,0,0,0,Stoke,Burnley,Leicester,,,0.0,0.0,0.0
Jordon,Ibe,MID,BOU,4900000,0,33,0.314285714285714,6.41399416909621e-08,6.73469387755102e-06,0,163097,0,22,0,0,0,0,0,6.7,63,-6,0,33,6,0.1,0,0.6,0,0,3,0,0,1.1,26165,0,184,0,0,1011,12,0,0,128,Stoke,Burnley,Leicester,,,0.2,0.2,0.2
Zlatan,Ibrahimovic,FWD,MUN,11400000,0,163,5.8,5.08771929824561e-07,1.4298245614035098e-05,0,3414011,7,22,0,0,0,17,0,14.3,15049,-1,0,163,1,0.3,1,3.2,28,0,11,0,7,23.5,2545586,0,0,0,6,2438,63,0,0,540,Arsenal,Tottenham,Southampton,Crystal Palace,,0.0,0.0,0.0
Odion,Ighalo,FWD,WAT,6800000,0,39,2.2,3.23529411764706e-07,5.73529411764706e-06,0,337148,1,29,0,0,0,1,0,5.7,149,-7,0,39,7,0.0,0,0.0,2,0,2,0,1,2.4,94251,0,709,0,0,1291,13,0,0,84,Leicester,Everton,Chelsea,Man City,,0.0,0.0,0.0
Kelechi,Iheanacho,FWD,MCI,6000000,0,50,2.8,4.66666666666667e-07,8.33333333333333e-06,0,790226,0,9,0,0,0,4,0,8.3,423,-10,0,50,10,0.1,0,0.4,6,0,1,0,3,2.2,760799,0,242,0,1,510,175,0,0,173,Crystal Palace,Leicester,West Brom,Watford,,2.5,6.1,2.3
Giannelli,Imbula,MID,STK,4500000,0,24,0.22857142857142898,5.07936507936508e-08,5.333333333333329e-06,0,14109,1,20,0,0,0,0,0,5.3,12,-5,0,24,5,0.0,0,0.0,1,0,2,0,1,0.1,5551,1,194,0,0,796,5,0,0,126,Bournemouth,Arsenal,Southampton,,,0.1,0.1,0.1
